latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
40.597538,-4.0735474,885.0,3600,Europe/Berlin,GMT+1

time,temperature_2m (°C),relative_humidity_2m (%),rain (mm),pressure_msl (hPa),wind_speed_10m (km/h),wind_direction_10m (°)
2025-01-01T00:00,2.2,67,0.00,1032.0,4.3,332
2025-01-01T01:00,2.6,66,0.00,1032.0,2.8,325
2025-01-01T02:00,2.7,72,0.00,1031.9,2.4,333
2025-01-01T03:00,2.8,73,0.00,1032.1,1.8,349
2025-01-01T04:00,3.5,74,0.00,1032.4,1.1,360
2025-01-01T05:00,3.5,76,0.00,1032.1,2.0,333
2025-01-01T06:00,2.9,78,0.00,1031.6,2.3,337
2025-01-01T07:00,2.2,79,0.00,1031.4,1.9,343
2025-01-01T08:00,1.6,81,0.00,1031.8,0.9,349
2025-01-01T09:00,1.4,83,0.00,1031.9,1.5,306
2025-01-01T10:00,3.8,79,0.00,1032.0,3.8,301
2025-01-01T11:00,5.2,78,0.00,1032.3,1.3,188
2025-01-01T12:00,6.2,77,0.00,1032.1,3.2,180
2025-01-01T13:00,6.9,74,0.00,1031.2,4.3,182
2025-01-01T14:00,7.8,68,0.00,1030.3,4.7,178
2025-01-01T15:00,7.9,67,0.00,1029.5,4.9,163
2025-01-01T16:00,7.7,68,0.00,1029.2,5.5,163
2025-01-01T17:00,6.7,75,0.00,1029.5,5.2,164
2025-01-01T18:00,3.5,92,0.00,1030.2,2.4,189
2025-01-01T19:00,2.7,94,0.00,1030.7,2.3,299
2025-01-01T20:00,2.4,94,0.00,1030.8,3.8,319
2025-01-01T21:00,1.7,95,0.00,1031.0,6.0,327
2025-01-01T22:00,0.0,98,0.00,1031.2,6.6,319
2025-01-01T23:00,-0.8,99,0.00,1031.0,6.0,319
2025-01-02T00:00,-1.0,99,0.00,1031.0,6.2,322
2025-01-02T01:00,-0.8,97,0.00,1030.9,6.1,313
2025-01-02T02:00,-0.6,99,0.00,1030.3,6.9,317
2025-01-02T03:00,-0.8,99,0.00,1030.0,6.7,322
2025-01-02T04:00,-0.5,96,0.00,1029.9,5.2,314
2025-01-02T05:00,-0.2,95,0.00,1029.8,3.9,317
2025-01-02T06:00,-0.1,95,0.00,1029.8,4.0,309
2025-01-02T07:00,-0.2,96,0.00,1029.6,4.5,317
2025-01-02T08:00,-0.3,96,0.00,1029.9,4.5,307
2025-01-02T09:00,-0.1,96,0.00,1029.8,4.2,310
2025-01-02T10:00,2.3,95,0.00,1030.1,3.8,301
2025-01-02T11:00,4.8,89,0.00,1030.6,3.0,218
2025-01-02T12:00,6.2,85,0.00,1030.2,4.1,182
2025-01-02T13:00,7.4,78,0.00,1029.0,6.0,187
2025-01-02T14:00,8.7,69,0.00,1027.9,8.3,196
2025-01-02T15:00,9.0,66,0.00,1026.9,8.0,198
2025-01-02T16:00,8.7,67,0.00,1026.7,8.4,199
