forecast_issue_time,actual_time_24,temp_actual_24,temp_pred_24,hum_actual_24,hum_pred_24,rain_actual_24,rain_pred_24,pres_actual_24,pres_pred_24,wind_actual_24,wind_pred_24,actual_time_48,temp_actual_48,temp_pred_48,hum_actual_48,hum_pred_48,rain_actual_48,rain_pred_48,pres_actual_48,pres_pred_48,wind_actual_48,wind_pred_48,actual_time_72,temp_actual_72,temp_pred_72,hum_actual_72,hum_pred_72,rain_actual_72,rain_pred_72,pres_actual_72,pres_pred_72,wind_actual_72,wind_pred_72
2025-01-07 23:00:00,2025-01-08 23:00:00,6.1,5.7820277,97.0,78.59615,0.0,0.07053031,1019.4,1023.7911,5.3,8.079414,2025-01-09 23:00:00,8.2,5.6587777,87.0,78.757034,0.0,0.07305434,1025.3,1023.3685,7.6,8.324884,2025-01-10 23:00:00,8.8,5.6083302,91.0,78.92367,0.0,0.07459415,1026.8,1023.2663,6.7,8.371852
2025-01-08 00:00:00,2025-01-09 00:00:00,5.0,5.803595,97.0,78.88792,0.0,0.074078314,1019.4,1023.6862,5.5,8.028638,2025-01-10 00:00:00,7.2,5.6574388,90.0,79.07313,0.0,0.07614244,1025.8,1023.3092,5.9,8.2771225,2025-01-11 00:00:00,8.7,5.6071134,90.0,79.23315,0.0,0.07754817,1026.7,1023.21704,7.1,8.322198
2025-01-08 01:00:00,2025-01-09 01:00:00,5.4,5.833032,97.0,79.14833,0.0,0.077555515,1019.5,1023.5739,5.6,7.9787273,2025-01-10 01:00:00,6.5,5.658281,92.0,79.38983,0.0,0.07961458,1026.0,1023.2099,5.7,8.239256,2025-01-11 01:00:00,9.9,5.6053843,85.0,79.55529,0.0,0.081019305,1026.4,1023.11975,8.5,8.284998
2025-01-08 02:00:00,2025-01-09 02:00:00,4.7,5.8293166,95.0,79.60567,0.0,0.08377784,1019.6,1023.28754,5.7,7.96975,2025-01-10 02:00:00,6.7,5.6347833,92.0,79.855675,0.0,0.08533052,1025.9,1022.9615,7.0,8.236767,2025-01-11 02:00:00,8.6,5.582459,87.0,80.01265,0.0,0.08660987,1026.1,1022.87897,7.2,8.28152
2025-01-08 03:00:00,2025-01-09 03:00:00,5.7,5.798262,95.0,80.13711,0.0,0.090614855,1019.8,1022.95764,6.4,7.9860525,2025-01-10 03:00:00,5.9,5.5980487,93.0,80.37648,0.0,0.09182456,1025.7,1022.65314,8.3,8.254739,2025-01-11 03:00:00,9.0,5.547768,87.0,80.52361,0.0,0.093018085,1025.9,1022.5743,6.6,8.298594
2025-01-08 04:00:00,2025-01-09 04:00:00,5.7,5.7448554,94.0,80.67306,0.0,0.0971075,1019.7,1022.63586,7.0,8.021465,2025-01-10 04:00:00,5.1,5.552112,95.0,80.88409,0.0,0.098104306,1025.5,1022.3406,9.6,8.286232,2025-01-11 04:00:00,9.9,5.505071,85.0,81.02043,0.0,0.09924189,1025.5,1022.2626,5.8,8.329083
2025-01-08 05:00:00,2025-01-09 05:00:00,4.6,5.6585345,93.0,81.30741,0.0,0.1053355,1019.3,1022.1321,7.2,8.130804,2025-01-10 05:00:00,4.6,5.4816136,96.0,81.46382,0.0,0.1058093,1025.5,1021.87195,10.9,8.380368,2025-01-11 05:00:00,9.9,5.440373,89.0,81.57719,0.1,0.10676087,1025.1,1021.8019,6.8,8.42021
2025-01-08 06:00:00,2025-01-09 06:00:00,4.8,5.55638,89.0,81.92897,0.0,0.113627546,1019.6,1021.56793,7.7,8.284031,2025-01-10 06:00:00,4.5,5.4011903,96.0,82.03069,0.0,0.11378502,1025.7,1021.32733,12.2,8.517243,2025-01-11 06:00:00,10.6,5.3654027,87.0,82.124214,0.1,0.11460053,1024.9,1021.2618,14.2,8.554837
2025-01-08 07:00:00,2025-01-09 07:00:00,5.2,5.3982873,88.0,82.54668,0.0,0.121905036,1019.7,1020.87555,8.5,8.549196,2025-01-10 07:00:00,4.8,5.2924924,96.0,82.56076,0.0,0.1217946,1025.6,1020.6654,11.1,8.740033,2025-01-11 07:00:00,10.6,5.2658486,87.0,82.62599,0.0,0.12242108,1024.5,1020.6082,14.1,8.772169
2025-01-08 08:00:00,2025-01-09 08:00:00,5.6,5.2775836,88.0,82.90236,0.0,0.12601179,1020.1,1020.48425,9.9,8.741408,2025-01-10 08:00:00,4.6,5.2111306,96.0,82.872826,0.0,0.12637238,1025.9,1020.2404,8.9,8.911513,2025-01-11 08:00:00,10.8,5.1885715,89.0,82.93429,0.0,0.12710382,1024.8,1020.1734,13.1,8.943503
