latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
40.597538,-3.1824646,716.0,3600,Europe/Berlin,GMT+1

time,temperature_2m (°C),relative_humidity_2m (%),rain (mm),surface_pressure (hPa),wind_speed_10m (km/h),wind_direction_10m (°)
2025-01-01T00:00,-0.3,78,0.00,944.5,2.2,48
2025-01-01T01:00,-0.6,79,0.00,944.4,2.3,51
2025-01-01T02:00,-0.2,83,0.00,944.4,2.3,72
2025-01-01T03:00,-0.3,84,0.00,944.5,1.5,60
2025-01-01T04:00,-0.6,85,0.00,944.5,1.9,41
2025-01-01T05:00,-0.8,85,0.00,944.3,1.7,41
2025-01-01T06:00,-1.0,86,0.00,944.0,1.4,40
2025-01-01T07:00,-1.1,87,0.00,943.9,0.9,79
2025-01-01T08:00,-1.0,88,0.00,944.0,0.7,90
2025-01-01T09:00,-0.8,89,0.00,944.4,0.0,270
2025-01-01T10:00,0.8,85,0.00,945.6,0.6,252
2025-01-01T11:00,3.1,76,0.00,946.6,2.1,239
2025-01-01T12:00,5.0,68,0.00,946.8,3.1,242
2025-01-01T13:00,6.5,63,0.00,946.1,4.6,261
2025-01-01T14:00,8.9,50,0.00,945.5,4.2,280
2025-01-01T15:00,9.0,51,0.00,944.7,5.1,264
2025-01-01T16:00,8.5,55,0.00,944.3,5.5,261
2025-01-01T17:00,5.9,70,0.00,944.0,4.8,259
2025-01-01T18:00,2.8,79,0.00,943.4,1.1,252
2025-01-01T19:00,1.7,84,0.00,943.2,1.2,63
2025-01-01T20:00,0.8,87,0.00,943.0,2.0,63
2025-01-01T21:00,-0.0,89,0.00,943.1,3.6,60
2025-01-01T22:00,-0.6,91,0.00,943.1,4.0,58
2025-01-01T23:00,-0.7,92,0.00,943.2,3.8,59
2025-01-02T00:00,-0.7,91,0.00,943.2,3.0,65
2025-01-02T01:00,-0.7,92,0.00,943.0,3.4,72
2025-01-02T02:00,1.3,88,0.00,943.1,2.7,90
2025-01-02T03:00,1.8,88,0.00,942.9,2.6,102
2025-01-02T04:00,0.7,90,0.00,942.7,1.3,74
2025-01-02T05:00,0.2,93,0.00,942.4,1.8,96
2025-01-02T06:00,0.2,93,0.00,942.6,1.1,81
2025-01-02T07:00,0.2,94,0.00,942.6,1.3,98
2025-01-02T08:00,-0.3,97,0.00,942.8,2.2,104
2025-01-02T09:00,-0.3,99,0.00,942.8,1.8,114
2025-01-02T10:00,1.8,99,0.00,943.7,3.9,124
2025-01-02T11:00,4.0,92,0.00,945.0,4.1,218
2025-01-02T12:00,4.9,89,0.00,945.2,5.4,233
2025-01-02T13:00,5.5,86,0.00,944.7,5.2,224
2025-01-02T14:00,7.5,77,0.00,944.1,6.6,225
2025-01-02T15:00,7.8,73,0.00,943.2,7.2,231
2025-01-02T16:00,7.8,70,0.00,942.9,7.8,226
2025-01-02T17:00,6.9,76,0.00,942.8,6.5,236
2025-01-02T18:00,3.4,89,0.00,942.0,5.0,224
2025-01-02T19:00,2.8,90,0.00,942.0,5.4,201
2025-01-02T20:00,2.4,90,0.00,942.2,4.4,173
2025-01-02T21:00,2.0,91,0.00,942.1,4.7,162
2025-01-02T22:00,1.7,90,0.00,942.2,4.1,151
2025-01-02T23:00,1.3,91,0.00,942.0,4.2,140
2025-01-03T00:00,1.0,91,0.00,942.3,3.6,147
2025-01-03T01:00,0.6,91,0.00,942.7,3.7,145
2025-01-03T02:00,0.6,92,0.00,941.6,5.4,146
