latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
38.980667,-3.945221,632.0,3600,Europe/Berlin,GMT+1

time,temperature_2m (°C),relative_humidity_2m (%),rain (mm),surface_pressure (hPa),wind_speed_10m (km/h),wind_direction_10m (°)
2025-01-01T00:00,1.1,98,0.00,954.4,12.1,58
2025-01-01T01:00,1.0,99,0.00,954.5,12.0,62
2025-01-01T02:00,1.8,98,0.00,954.4,11.7,59
2025-01-01T03:00,1.8,99,0.00,954.6,12.6,61
2025-01-01T04:00,1.8,100,0.00,954.6,12.4,60
2025-01-01T05:00,2.1,100,0.00,954.5,12.5,63
2025-01-01T06:00,2.8,100,0.00,954.1,12.7,61
2025-01-01T07:00,3.5,99,0.00,954.1,12.3,60
2025-01-01T08:00,3.7,99,0.00,954.1,12.2,61
2025-01-01T09:00,3.7,99,0.00,954.2,12.0,58
2025-01-01T10:00,4.8,96,0.00,954.9,13.1,58
2025-01-01T11:00,6.2,84,0.00,955.4,16.0,73
2025-01-01T12:00,7.6,73,0.00,955.6,14.1,74
2025-01-01T13:00,8.4,68,0.00,955.0,13.4,72
2025-01-01T14:00,9.2,65,0.00,954.5,11.1,73
2025-01-01T15:00,10.3,58,0.00,953.7,8.8,73
2025-01-01T16:00,10.8,54,0.00,953.3,8.1,69
2025-01-01T17:00,10.4,54,0.00,953.0,8.1,29
2025-01-01T18:00,6.9,70,0.00,952.3,5.3,33
2025-01-01T19:00,5.9,77,0.00,952.5,7.5,40
2025-01-01T20:00,5.4,79,0.00,952.9,10.6,26
2025-01-01T21:00,4.9,83,0.00,953.0,8.9,38
2025-01-01T22:00,3.7,88,0.00,953.2,6.9,45
2025-01-01T23:00,2.6,92,0.00,953.3,6.3,53
2025-01-02T00:00,1.8,94,0.00,953.2,5.8,68
2025-01-02T01:00,0.8,96,0.00,953.0,5.2,63
2025-01-02T02:00,0.8,96,0.00,952.8,2.9,68
2025-01-02T03:00,0.6,96,0.00,952.7,1.5,60
2025-01-02T04:00,0.4,99,0.00,952.8,0.9,11
2025-01-02T05:00,-0.1,100,0.00,952.5,0.8,117
2025-01-02T06:00,-0.1,99,0.00,952.4,1.0,68
2025-01-02T07:00,-0.3,99,0.00,952.6,3.4,47
2025-01-02T08:00,-0.6,100,0.00,953.3,3.6,53
2025-01-02T09:00,-0.8,100,0.00,953.6,4.0,60
2025-01-02T10:00,-0.2,99,0.00,954.5,2.8,63
2025-01-02T11:00,0.9,96,0.00,955.2,2.7,67
2025-01-02T12:00,2.3,94,0.00,955.0,1.3,56
2025-01-02T13:00,4.8,84,0.00,954.6,2.6,12
2025-01-02T14:00,8.6,66,0.00,954.2,1.5,284
2025-01-02T15:00,10.7,54,0.00,953.4,4.7,252
2025-01-02T16:00,11.2,49,0.00,953.0,6.6,253
2025-01-02T17:00,10.6,51,0.00,952.7,6.5,257
2025-01-02T18:00,7.4,65,0.00,951.9,2.6,245
2025-01-02T19:00,5.9,72,0.00,951.7,3.5,235
2025-01-02T20:00,4.6,78,0.00,951.8,6.7,226
2025-01-02T21:00,3.8,80,0.00,952.0,8.5,246
2025-01-02T22:00,3.0,82,0.00,952.2,6.9,256
2025-01-02T23:00,1.7,86,0.00,951.9,5.6,243
2025-01-03T00:00,0.7,88,0.00,951.7,5.3,237
2025-01-03T01:00,-0.0,89,0.00,951.7,5.2,241
2025-01-03T02:00,-0.3,88,0.00,951.2,5.2,248
2025-01-03T03:00,-0.7,88,0.00,950.8,5.1,238
2025-01-03T04:00,-0.8,87,0.00,950.8,5.4,255
2025-01-03T05:00,-0.9,87,0.00,950.6,5.5,257
2025-01-03T06:00,-1.0,87,0.00,950.3,5.7,261
2025-01-03T07:00,-1.2,88,0.00,950.0,5.5,251
2025-01-03T08:00,-1.4,88,0.00,950.1,5.4,255
2025-01-03T09:00,-0.9,87,0.00,950.5,4.9,264
2025-01-03T10:00,2.1,74,0.00,951.6,7.0,252
2025-01-03T11:00,5.6,61,0.00,952.9,4.6,234
2025-01-03T12:00,7.6,55,0.00,953.3,4.6,252
2025-01-03T13:00,9.4,52,0.00,952.9,6.9,275
2025-01-03T14:00,10.9,51,0.00,952.4,8.2,248
2025-01-03T15:00,11.6,49,0.00,951.6,12.8,256
2025-01-03T16:00,11.5,48,0.00,951.4,13.0,260
2025-01-03T17:00,9.8,55,0.00,950.9,8.1,239
2025-01-03T18:00,6.2,70,0.00,950.5,9.5,237
2025-01-03T19:00,4.4,79,0.00,950.5,10.7,240
2025-01-03T20:00,3.4,85,0.00,950.5,10.6,238
2025-01-03T21:00,2.8,88,0.00,950.4,9.3,238
2025-01-03T22:00,2.0,90,0.00,950.6,7.8,241
2025-01-03T23:00,1.1,91,0.00,950.5,6.5,238
2025-01-04T00:00,0.4,91,0.00,950.4,6.9,233
2025-01-04T01:00,-0.0,92,0.00,950.0,7.1,243
2025-01-04T02:00,0.2,92,0.00,949.6,5.9,247
2025-01-04T03:00,-0.5,92,0.00,949.4,5.4,250
2025-01-04T04:00,-0.7,92,0.00,949.3,5.4,249
2025-01-04T05:00,-0.8,91,0.00,949.0,4.2,260
2025-01-04T06:00,-0.4,91,0.00,948.9,2.7,293
2025-01-04T07:00,-0.3,97,0.00,948.9,2.2,305
2025-01-04T08:00,-0.3,99,0.00,949.2,2.3,309
2025-01-04T09:00,0.3,98,0.00,949.5,1.5,315
2025-01-04T10:00,0.9,98,0.00,950.3,2.4,343
2025-01-04T11:00,2.0,98,0.00,951.0,2.0,355
2025-01-04T12:00,3.4,95,0.00,951.3,2.3,29
