Temperatura (ºC),Velocidad del viento (km/h),Racha (km/h),Precipitación (mm),Presión (hPa),Humedad (%),Dirección del viento,Tendencia (hPa),datetime
19.0,,,0.0,,99.0,90.0,,2025-05-10 18:00:00
18.1,24.0,,0.0,1001.0,99.0,90.0,,2025-05-10 19:00:00
17.9,23.0,,0.0,1001.0,99.0,90.0,0.0,2025-05-10 20:00:00
17.8,15.0,,0.0,1001.0,99.0,90.0,0.0,2025-05-10 21:00:00
17.7,24.0,,0.0,1001.0,99.0,90.0,0.0,2025-05-10 22:00:00
17.5,19.0,,0.0,1001.0,99.0,90.0,0.0,2025-05-10 23:00:00
17.6,21.0,,0.0,1001.0,99.0,90.0,0.0,2025-05-11 00:00:00
17.6,17.0,,0.0,1001.0,99.0,90.0,0.0,2025-05-11 01:00:00
17.6,21.0,,0.0,1000.5,99.0,90.0,-0.5,2025-05-11 02:00:00
17.6,25.0,,0.0,1000.0,99.0,90.0,-1.0,2025-05-11 03:00:00
17.5,19.0,,0.0,999.7,99.0,90.0,-1.3,2025-05-11 04:00:00
16.6,12.0,,0.0,999.0,99.0,0.0,-1.1,2025-05-11 05:00:00
14.9,5.0,,0.0,999.0,99.0,0.0,-1.0,2025-05-11 06:00:00
15.0,6.0,,0.0,998.4,99.0,270.0,-1.3,2025-05-11 07:00:00
15.0,8.0,,0.0,998.0,99.0,270.0,-1.0,2025-05-11 08:00:00
15.3,3.0,,0.0,999.0,99.0,270.0,0.0,2025-05-11 09:00:00
16.4,3.0,,0.0,999.0,99.0,270.0,0.6,2025-05-11 10:00:00
18.2,9.0,,0.0,998.0,99.0,90.0,0.0,2025-05-11 11:00:00
18.5,10.0,,0.0,998.0,99.0,90.0,-1.0,2025-05-11 12:00:00
18.3,13.0,,0.0,998.0,99.0,90.0,-1.0,2025-05-11 13:00:00
18.8,12.0,,0.0,997.0,99.0,90.0,-1.0,2025-05-11 14:00:00
19.1,15.0,,0.0,997.0,99.0,90.0,-1.0,2025-05-11 15:00:00
19.4,15.0,,0.0,997.0,99.0,90.0,-1.0,2025-05-11 16:00:00
19.0,18.0,,0.0,996.0,99.0,90.0,-1.0,2025-05-11 17:00:00
19.5,15.0,,0.0,996.0,99.0,90.0,-1.0,2025-05-11 18:00:00
