latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
42.28471,3.1625183,45.0,3600,Europe/Berlin,GMT+1

time,temperature_2m (°C),relative_humidity_2m (%),rain (mm),surface_pressure (hPa),wind_speed_10m (km/h),wind_direction_10m (°)
2025-01-01T00:00,7.7,92,0.00,1027.3,3.9,286
2025-01-01T01:00,7.8,92,0.00,1026.9,5.9,282
2025-01-01T02:00,7.4,93,0.00,1026.5,3.9,283
2025-01-01T03:00,7.4,95,0.00,1026.5,3.8,281
2025-01-01T04:00,7.4,95,0.00,1026.3,3.4,295
2025-01-01T05:00,7.2,94,0.00,1026.0,3.2,304
2025-01-01T06:00,6.7,94,0.00,1025.8,3.5,279
2025-01-01T07:00,6.6,95,0.00,1025.8,5.1,260
2025-01-01T08:00,6.5,95,0.00,1025.7,7.6,266
2025-01-01T09:00,6.8,96,0.00,1025.8,8.3,272
2025-01-01T10:00,8.1,96,0.00,1026.1,8.1,265
2025-01-01T11:00,8.8,92,0.00,1026.3,8.3,256
2025-01-01T12:00,9.8,86,0.00,1026.0,8.4,242
2025-01-01T13:00,11.0,80,0.00,1024.8,7.0,206
2025-01-01T14:00,11.7,80,0.00,1024.3,10.6,180
2025-01-01T15:00,12.5,73,0.00,1023.5,13.5,176
2025-01-01T16:00,12.3,79,0.00,1023.2,14.4,156
2025-01-01T17:00,11.5,89,0.00,1023.1,14.6,156
2025-01-01T18:00,11.1,91,0.00,1023.0,14.9,168
2025-01-01T19:00,10.9,92,0.00,1022.9,15.3,180
2025-01-01T20:00,10.4,95,0.00,1022.9,13.6,191
2025-01-01T21:00,10.0,94,0.00,1023.0,12.2,204
2025-01-01T22:00,9.4,94,0.00,1022.7,11.1,214
2025-01-01T23:00,8.4,95,0.00,1022.4,9.0,227
2025-01-02T00:00,7.2,94,0.00,1022.3,7.8,248
2025-01-02T01:00,5.5,92,0.00,1021.7,5.6,266
2025-01-02T02:00,5.3,90,0.00,1020.5,7.1,254
2025-01-02T03:00,4.3,87,0.00,1020.1,6.2,277
2025-01-02T04:00,3.2,87,0.00,1019.8,4.2,301
2025-01-02T05:00,2.6,85,0.00,1019.4,3.0,303
2025-01-02T06:00,2.6,82,0.00,1019.4,1.0,338
2025-01-02T07:00,3.2,76,0.00,1019.3,0.6,288
2025-01-02T08:00,2.7,79,0.00,1019.5,0.8,297
2025-01-02T09:00,4.0,80,0.00,1019.8,1.4,310
2025-01-02T10:00,6.7,78,0.00,1020.0,2.8,288
2025-01-02T11:00,8.5,77,0.00,1020.2,2.0,243
2025-01-02T12:00,10.1,73,0.00,1020.0,1.1,261
2025-01-02T13:00,11.0,70,0.00,1018.7,2.8,153
2025-01-02T14:00,12.1,70,0.00,1018.0,3.4,84
2025-01-02T15:00,12.1,73,0.00,1017.4,5.3,100
2025-01-02T16:00,11.5,76,0.00,1017.2,4.2,110
2025-01-02T17:00,9.8,85,0.00,1017.3,1.4,140
2025-01-02T18:00,8.7,86,0.00,1017.3,1.5,187
2025-01-02T19:00,8.1,87,0.00,1017.5,3.1,239
2025-01-02T20:00,6.9,89,0.00,1017.7,4.3,255
2025-01-02T21:00,6.5,86,0.00,1017.5,4.9,264
2025-01-02T22:00,6.6,73,0.00,1017.5,6.1,282
2025-01-02T23:00,6.7,67,0.00,1017.3,5.2,264
2025-01-03T00:00,6.0,69,0.00,1017.4,4.7,261
2025-01-03T01:00,5.8,71,0.00,1017.0,3.7,256
2025-01-03T02:00,7.0,64,0.00,1015.8,4.8,281
2025-01-03T03:00,7.1,58,0.00,1015.4,4.8,304
2025-01-03T04:00,6.6,56,0.00,1014.9,2.5,300
