latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
42.425304,-8.5903015,170.0,3600,Europe/Berlin,GMT+1

time,temperature_2m (°C),relative_humidity_2m (%),rain (mm),surface_pressure (hPa),wind_speed_10m (km/h),wind_direction_10m (°)
2025-01-01T00:00,1.2,99,0.00,1009.0,4.5,95
2025-01-01T01:00,0.9,99,0.00,1008.7,5.8,95
2025-01-01T02:00,1.6,96,0.00,1008.5,6.7,98
2025-01-01T03:00,1.6,95,0.00,1008.3,5.8,99
2025-01-01T04:00,2.4,89,0.00,1008.3,5.9,102
2025-01-01T05:00,3.5,81,0.00,1008.1,5.5,117
2025-01-01T06:00,4.2,75,0.00,1007.5,5.7,125
2025-01-01T07:00,4.4,73,0.00,1007.1,5.4,124
2025-01-01T08:00,4.3,72,0.00,1007.1,5.2,131
2025-01-01T09:00,4.5,69,0.00,1007.4,5.1,129
2025-01-01T10:00,6.1,68,0.00,1007.5,6.8,138
2025-01-01T11:00,9.0,64,0.00,1008.0,9.4,172
2025-01-01T12:00,11.1,53,0.00,1008.3,9.9,180
2025-01-01T13:00,11.8,53,0.00,1008.1,11.3,187
2025-01-01T14:00,11.7,54,0.00,1007.1,13.5,177
2025-01-01T15:00,12.1,55,0.00,1006.3,12.8,179
2025-01-01T16:00,11.7,59,0.00,1006.1,11.2,181
2025-01-01T17:00,10.9,64,0.00,1006.4,9.2,178
2025-01-01T18:00,9.0,69,0.00,1006.3,9.3,152
2025-01-01T19:00,8.2,71,0.00,1006.4,9.1,148
2025-01-01T20:00,8.5,70,0.00,1006.4,10.2,144
2025-01-01T21:00,8.4,70,0.00,1006.3,9.3,152
2025-01-01T22:00,8.2,69,0.00,1006.4,8.4,143
2025-01-01T23:00,8.0,69,0.00,1006.3,10.2,146
2025-01-02T00:00,8.5,67,0.00,1006.2,11.3,151
2025-01-02T01:00,8.9,67,0.00,1006.1,12.0,156
2025-01-02T02:00,8.4,69,0.00,1005.6,11.0,157
2025-01-02T03:00,8.4,71,0.00,1005.4,11.2,148
2025-01-02T04:00,8.5,72,0.00,1005.6,12.4,159
2025-01-02T05:00,8.4,74,0.00,1005.4,11.7,155
2025-01-02T06:00,8.4,74,0.00,1005.2,12.3,146
2025-01-02T07:00,8.4,74,0.00,1005.0,13.0,151
2025-01-02T08:00,8.5,74,0.00,1005.3,13.1,155
2025-01-02T09:00,8.8,73,0.00,1005.6,13.1,153
2025-01-02T10:00,8.5,75,0.00,1006.0,12.7,144
2025-01-02T11:00,9.8,73,0.00,1006.4,15.1,160
2025-01-02T12:00,10.5,70,0.00,1006.6,14.5,157
2025-01-02T13:00,11.6,67,0.00,1005.9,15.5,162
2025-01-02T14:00,12.1,64,0.00,1005.4,15.8,163
2025-01-02T15:00,11.8,65,0.00,1004.7,17.0,159
2025-01-02T16:00,11.7,65,0.00,1004.5,15.2,156
2025-01-02T17:00,11.5,68,0.00,1004.3,14.6,166
2025-01-02T18:00,11.3,69,0.00,1004.4,14.4,164
2025-01-02T19:00,11.1,69,0.00,1004.3,14.6,167
2025-01-02T20:00,10.3,75,0.00,1004.5,14.5,161
2025-01-02T21:00,10.4,77,0.10,1004.7,14.0,154
2025-01-02T22:00,10.6,77,0.00,1004.8,15.3,163
2025-01-02T23:00,10.6,76,0.00,1004.3,17.2,165
2025-01-03T00:00,10.7,75,0.00,1004.4,16.5,167
2025-01-03T01:00,10.7,74,0.00,1004.4,17.8,169
2025-01-03T02:00,10.6,73,0.00,1003.5,17.9,163
2025-01-03T03:00,10.8,75,0.00,1002.9,19.2,163
2025-01-03T04:00,10.7,80,0.30,1002.7,18.9,166
2025-01-03T05:00,10.1,86,0.50,1002.7,18.1,158
2025-01-03T06:00,9.8,89,0.50,1002.5,17.7,150
2025-01-03T07:00,9.5,94,0.50,1001.9,16.8,150
2025-01-03T08:00,9.7,95,1.10,1002.1,16.6,148
2025-01-03T09:00,9.8,95,1.60,1002.4,16.0,147
2025-01-03T10:00,10.0,96,2.10,1002.7,16.0,151
2025-01-03T11:00,10.4,96,1.80,1003.0,16.7,153
2025-01-03T12:00,10.8,96,1.60,1003.2,15.5,154
2025-01-03T13:00,11.5,94,0.60,1002.9,16.7,164
2025-01-03T14:00,11.8,96,0.60,1002.5,17.3,168
2025-01-03T15:00,12.6,92,0.20,1002.1,17.6,172
2025-01-03T16:00,13.0,91,0.10,1002.0,16.9,173
2025-01-03T17:00,13.1,90,0.10,1002.0,15.9,177
2025-01-03T18:00,12.8,92,0.20,1002.2,16.6,179
2025-01-03T19:00,12.5,93,0.20,1002.3,15.7,178
2025-01-03T20:00,12.3,95,0.30,1002.3,15.8,182
2025-01-03T21:00,12.2,95,0.20,1002.3,15.7,179
2025-01-03T22:00,12.2,95,0.00,1002.3,15.3,177
2025-01-03T23:00,12.1,94,0.00,1002.4,14.5,169
2025-01-04T00:00,11.9,93,0.00,1002.3,15.7,164
2025-01-04T01:00,11.8,92,0.00,1002.2,15.5,167
2025-01-04T02:00,12.4,91,0.00,1001.4,16.3,169
2025-01-04T03:00,12.0,91,0.00,1000.9,15.7,165
2025-01-04T04:00,12.0,91,0.00,1000.7,17.0,167
2025-01-04T05:00,11.8,91,0.00,1000.2,17.3,172
2025-01-04T06:00,11.9,90,0.00,999.9,17.7,171
2025-01-04T07:00,11.7,91,0.00,999.5,17.9,171
2025-01-04T08:00,11.9,89,0.00,999.4,18.7,172
2025-01-04T09:00,11.8,88,0.00,998.9,19.0,170
2025-01-04T10:00,11.9,88,0.00,998.9,19.4,170
2025-01-04T11:00,12.5,84,0.00,998.8,20.0,171
2025-01-04T12:00,13.2,81,0.00,998.4,20.2,167
2025-01-04T13:00,14.1,78,0.00,997.9,25.8,175
2025-01-04T14:00,14.5,74,0.00,996.9,27.9,181
2025-01-04T15:00,14.7,73,0.00,996.3,26.2,184
2025-01-04T16:00,13.8,79,0.20,994.9,24.6,174
2025-01-04T17:00,13.0,87,0.40,994.3,24.4,167
2025-01-04T18:00,12.8,87,0.10,993.9,25.5,167
2025-01-04T19:00,12.9,85,0.00,993.5,25.9,168
2025-01-04T20:00,12.9,83,0.10,992.8,26.1,165
2025-01-04T21:00,13.1,80,0.00,992.1,26.1,169
2025-01-04T22:00,13.3,78,0.10,991.1,26.1,168
2025-01-04T23:00,13.4,80,0.10,990.7,26.8,170
2025-01-05T00:00,13.9,79,0.00,989.7,28.0,169
2025-01-05T01:00,14.0,82,0.00,988.9,28.0,175
2025-01-05T02:00,13.1,90,0.90,987.5,29.9,170
2025-01-05T03:00,13.1,93,0.80,986.4,25.7,175
2025-01-05T04:00,13.0,97,0.70,985.5,24.1,174
2025-01-05T05:00,13.2,97,0.50,984.3,22.9,175
2025-01-05T06:00,13.5,97,1.60,983.3,24.5,176
2025-01-05T07:00,13.4,97,2.50,982.6,19.8,179
2025-01-05T08:00,13.5,97,2.90,981.6,23.5,169
2025-01-05T09:00,13.5,98,2.40,981.6,22.5,199
2025-01-05T10:00,13.5,97,1.10,980.9,23.7,194
2025-01-05T11:00,13.5,98,1.80,980.9,22.3,189
2025-01-05T12:00,13.7,96,1.00,980.7,23.5,192
2025-01-05T13:00,13.3,97,3.50,979.6,25.7,195
2025-01-05T14:00,13.0,96,0.40,979.1,22.4,193
2025-01-05T15:00,13.5,95,3.10,978.0,26.0,199
2025-01-05T16:00,12.7,96,4.60,977.8,27.5,206
2025-01-05T17:00,12.3,96,4.40,977.7,25.3,199
2025-01-05T18:00,12.2,95,6.00,977.3,27.0,204
2025-01-05T19:00,11.5,94,4.30,977.8,25.7,205
2025-01-05T20:00,11.2,94,2.00,977.8,24.2,205
2025-01-05T21:00,10.8,97,2.10,977.4,26.1,202
2025-01-05T22:00,10.5,98,1.80,977.9,27.7,216
2025-01-05T23:00,10.5,97,2.30,978.6,18.6,228
2025-01-06T00:00,10.3,98,2.40,979.7,19.6,250
2025-01-06T01:00,9.9,98,1.60,981.1,15.1,268
2025-01-06T02:00,9.8,96,0.90,982.2,12.5,277
2025-01-06T03:00,9.3,98,1.40,983.2,14.4,261
2025-01-06T04:00,8.7,96,0.90,984.1,6.8,282
2025-01-06T05:00,7.9,94,1.30,984.8,3.4,273
2025-01-06T06:00,7.3,97,0.20,985.5,4.8,209
2025-01-06T07:00,7.4,94,2.10,986.1,4.6,198
2025-01-06T08:00,7.6,92,0.30,987.1,0.8,135
2025-01-06T09:00,7.2,95,0.10,988.3,2.7,200
2025-01-06T10:00,7.6,91,0.70,989.4,6.3,173
2025-01-06T11:00,8.3,88,0.10,990.7,4.0,219
