latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
40.94903,-5.640991,781.0,3600,Europe/Berlin,GMT+1

time,temperature_2m (°C),relative_humidity_2m (%),rain (mm),surface_pressure (hPa),wind_speed_10m (km/h),wind_direction_10m (°)
2025-01-01T00:00,-1.2,98,0.00,938.6,7.0,86
2025-01-01T01:00,-1.8,99,0.00,938.2,6.0,65
2025-01-01T02:00,-1.1,100,0.00,938.7,7.6,63
2025-01-01T03:00,-1.0,100,0.00,938.7,7.5,70
2025-01-01T04:00,-1.1,100,0.00,938.9,6.5,48
2025-01-01T05:00,-1.1,99,0.00,938.5,5.5,67
2025-01-01T06:00,-1.1,99,0.00,938.2,4.3,95
2025-01-01T07:00,-1.1,98,0.00,938.1,2.7,67
2025-01-01T08:00,-1.1,98,0.00,938.1,2.7,86
2025-01-01T09:00,-1.1,96,0.00,938.2,3.0,128
2025-01-01T10:00,-0.9,97,0.00,938.4,3.4,122
2025-01-01T11:00,-0.1,95,0.00,938.5,3.7,119
2025-01-01T12:00,2.0,86,0.00,938.8,1.8,79
2025-01-01T13:00,4.0,79,0.00,938.3,3.4,16
2025-01-01T14:00,4.6,74,0.00,937.9,5.2,25
2025-01-01T15:00,5.7,72,0.00,937.1,6.2,15
2025-01-01T16:00,5.9,70,0.00,936.6,5.1,36
2025-01-01T17:00,5.2,73,0.00,936.6,4.4,52
2025-01-01T18:00,2.2,85,0.00,936.0,3.5,51
2025-01-01T19:00,0.8,89,0.00,935.7,5.8,97
2025-01-01T20:00,-0.7,92,0.00,935.1,5.2,115
2025-01-01T21:00,-1.0,92,0.00,934.9,5.3,135
2025-01-01T22:00,-1.4,93,0.00,934.7,5.1,141
2025-01-01T23:00,-1.3,94,0.00,934.6,6.0,143
2025-01-02T00:00,-1.1,94,0.00,934.4,6.2,165
2025-01-02T01:00,-1.1,95,0.00,934.5,6.4,169
2025-01-02T02:00,-1.1,97,0.00,934.5,7.7,171
2025-01-02T03:00,-1.1,99,0.00,934.0,8.7,172
2025-01-02T04:00,-1.1,99,0.00,934.1,7.8,188
2025-01-02T05:00,-1.0,99,0.00,934.1,7.2,181
2025-01-02T06:00,-0.7,100,0.00,933.9,7.9,193
2025-01-02T07:00,-0.7,98,0.00,933.7,6.8,177
2025-01-02T08:00,-0.5,95,0.00,934.1,6.9,185
2025-01-02T09:00,-0.5,93,0.00,934.0,7.0,201
2025-01-02T10:00,2.1,90,0.00,935.2,9.4,203
2025-01-02T11:00,4.5,87,0.00,936.5,6.0,226
2025-01-02T12:00,6.9,80,0.00,937.0,5.6,237
2025-01-02T13:00,8.7,66,0.00,936.5,10.5,248
2025-01-02T14:00,9.5,61,0.00,936.1,11.4,246
2025-01-02T15:00,9.8,59,0.00,935.3,12.0,254
2025-01-02T16:00,9.8,56,0.00,935.2,11.8,263
2025-01-02T17:00,8.7,63,0.00,934.9,8.7,266
2025-01-02T18:00,5.6,80,0.00,934.4,6.2,253
2025-01-02T19:00,4.4,86,0.00,934.2,9.6,208
2025-01-02T20:00,3.7,89,0.00,934.2,11.2,202
2025-01-02T21:00,3.4,89,0.00,934.2,11.2,204
2025-01-02T22:00,3.5,88,0.00,934.6,10.8,217
2025-01-02T23:00,3.1,89,0.00,934.6,11.1,222
2025-01-03T00:00,3.0,89,0.00,935.0,10.2,221
2025-01-03T01:00,2.7,89,0.00,934.9,10.5,218
2025-01-03T02:00,2.9,88,0.00,934.2,11.8,213
2025-01-03T03:00,3.1,87,0.00,934.0,11.2,218
2025-01-03T04:00,3.0,88,0.00,933.8,12.6,216
2025-01-03T05:00,3.5,87,0.00,933.4,14.5,217
2025-01-03T06:00,3.9,86,0.00,933.5,12.3,224
2025-01-03T07:00,3.2,90,0.00,933.2,13.4,220
2025-01-03T08:00,4.0,87,0.00,933.5,13.3,222
2025-01-03T09:00,4.5,87,0.00,933.6,12.6,222
2025-01-03T10:00,5.2,84,0.00,934.0,13.3,218
2025-01-03T11:00,6.9,79,0.00,934.8,10.7,222
2025-01-03T12:00,8.0,76,0.10,935.0,12.9,231
2025-01-03T13:00,7.9,78,0.00,934.7,13.3,238
2025-01-03T14:00,9.1,75,0.00,934.3,15.2,251
2025-01-03T15:00,9.2,77,0.00,933.7,13.5,251
2025-01-03T16:00,8.8,79,0.00,933.4,11.1,247
2025-01-03T17:00,9.1,77,0.00,933.3,11.3,252
2025-01-03T18:00,7.7,84,0.00,933.2,9.7,251
2025-01-03T19:00,6.1,89,0.00,932.8,10.8,223
2025-01-03T20:00,5.3,92,0.00,932.8,12.5,207
2025-01-03T21:00,5.2,93,0.00,932.8,12.7,205
2025-01-03T22:00,5.0,95,0.00,933.1,11.8,208
2025-01-03T23:00,4.5,97,0.00,933.3,11.2,206
2025-01-04T00:00,3.8,99,0.00,933.4,10.6,206
2025-01-04T01:00,3.8,100,0.00,933.4,11.4,205
2025-01-04T02:00,4.2,99,0.00,932.4,11.6,202
2025-01-04T03:00,3.8,100,0.00,931.9,12.0,201
2025-01-04T04:00,3.6,100,0.00,932.0,11.6,206
2025-01-04T05:00,3.7,100,0.00,931.9,11.8,206
2025-01-04T06:00,3.8,100,0.00,931.7,11.0,205
2025-01-04T07:00,4.1,100,0.00,931.8,11.2,212
2025-01-04T08:00,4.6,100,0.00,932.2,11.5,219
2025-01-04T09:00,4.9,100,0.00,932.0,10.7,215
2025-01-04T10:00,6.0,98,0.00,932.3,12.7,209
2025-01-04T11:00,7.0,95,0.00,932.3,15.2,209
2025-01-04T12:00,8.1,85,0.00,932.4,16.9,216
2025-01-04T13:00,9.1,75,0.00,931.9,18.0,226
2025-01-04T14:00,10.2,64,0.00,931.4,16.9,230
2025-01-04T15:00,10.9,58,0.00,930.2,17.6,225
2025-01-04T16:00,10.0,66,0.00,929.7,16.8,213
