latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
40.597538,-4.0735474,880.0,3600,Europe/Berlin,GMT+1

time,temperature_2m (°C),relative_humidity_2m (%),rain (mm),surface_pressure (hPa),wind_speed_10m (km/h),wind_direction_10m (°)
2017-01-01T00:00,-0.0,62,0.00,924.7,3.6,354
2017-01-01T01:00,-0.6,43,0.00,924.7,5.2,335
2017-01-01T02:00,-0.8,48,0.00,923.9,4.7,328
2017-01-01T03:00,-1.3,51,0.00,923.2,3.9,326
2017-01-01T04:00,-1.4,53,0.00,923.0,4.3,318
2017-01-01T05:00,-1.4,56,0.00,922.5,4.3,318
2017-01-01T06:00,-1.7,60,0.00,921.9,3.6,307
2017-01-01T07:00,-0.6,59,0.00,922.0,3.5,294
2017-01-01T08:00,1.4,54,0.00,922.9,3.1,291
2017-01-01T09:00,0.6,58,0.00,922.5,1.3,326
2017-01-01T10:00,1.1,54,0.00,922.5,0.0,270
2017-01-01T11:00,2.8,46,0.00,923.4,2.9,150
2017-01-01T12:00,3.5,53,0.00,923.3,5.2,155
2017-01-01T13:00,4.0,65,0.00,922.5,6.3,156
2017-01-01T14:00,4.4,67,0.00,921.7,6.3,156
2017-01-01T15:00,4.3,69,0.00,920.7,6.0,155
2017-01-01T16:00,3.6,75,0.00,920.2,5.0,150
2017-01-01T17:00,1.4,90,0.00,919.7,3.3,174
2017-01-01T18:00,0.9,95,0.00,919.5,2.3,309
2017-01-01T19:00,-1.8,98,0.00,918.5,3.4,328
2017-01-01T20:00,-0.6,97,0.00,919.2,1.8,349
2017-01-01T21:00,-1.6,98,0.00,919.0,4.0,355
2017-01-01T22:00,-1.0,97,0.00,919.3,3.3,6
2017-01-01T23:00,-0.9,97,0.00,919.3,2.6,16
2017-01-02T00:00,-0.7,98,0.00,919.2,3.1,21
2017-01-02T01:00,-1.1,99,0.00,918.8,2.6,16
2017-01-02T02:00,-0.8,96,0.00,918.7,4.5,14
2017-01-02T03:00,-0.7,96,0.00,918.7,3.9,22
2017-01-02T04:00,-0.6,95,0.00,918.8,4.6,18
2017-01-02T05:00,-0.7,95,0.00,918.3,5.3,28
2017-01-02T06:00,-0.8,96,0.00,917.8,5.7,18
2017-01-02T07:00,-0.7,95,0.00,918.0,5.7,18
2017-01-02T08:00,-0.6,95,0.00,918.5,4.1,15
2017-01-02T09:00,-0.2,95,0.00,918.9,5.6,15
2017-01-02T10:00,0.7,91,0.00,919.5,5.2,12
2017-01-02T11:00,2.1,85,0.00,920.2,5.8,30
2017-01-02T12:00,3.4,80,0.00,920.6,0.8,63
2017-01-02T13:00,3.7,83,0.00,920.0,3.9,112
2017-01-02T14:00,4.4,83,0.10,919.7,2.2,81
2017-01-02T15:00,5.3,79,0.00,919.1,4.3,95
2017-01-02T16:00,4.9,80,0.00,919.3,2.5,98
2017-01-02T17:00,4.6,80,0.00,919.5,2.6,56
2017-01-02T18:00,2.2,88,0.00,918.8,5.1,4
2017-01-02T19:00,1.6,88,0.00,918.6,5.4,356
2017-01-02T20:00,1.7,84,0.00,919.0,5.1,352
2017-01-02T21:00,1.6,81,0.00,919.1,5.4,352
2017-01-02T22:00,2.5,78,0.00,919.7,3.8,343
2017-01-02T23:00,3.0,75,0.00,919.8,3.3,347
2017-01-03T00:00,2.9,74,0.00,919.9,3.2,333
2017-01-03T01:00,1.8,78,0.00,919.2,4.8,312
2017-01-03T02:00,1.6,78,0.30,919.4,5.6,285
2017-01-03T03:00,1.7,80,0.00,919.5,6.7,286
2017-01-03T04:00,2.2,81,0.00,920.1,7.2,273
2017-01-03T05:00,2.4,82,0.00,919.8,6.3,283
2017-01-03T06:00,2.4,81,0.00,919.5,5.5,302
2017-01-03T07:00,2.0,82,0.00,919.5,5.4,307
2017-01-03T08:00,1.1,81,0.00,919.6,5.4,323
2017-01-03T09:00,2.1,77,0.00,920.3,3.8,319
2017-01-03T10:00,5.0,77,0.00,922.0,2.5,278
2017-01-03T11:00,6.8,70,0.00,923.2,3.3,229
2017-01-03T12:00,7.9,70,0.00,923.9,5.2,205
2017-01-03T13:00,8.7,75,0.00,923.6,5.6,165
2017-01-03T14:00,8.9,77,0.00,923.1,2.5,172
2017-01-03T15:00,8.2,82,0.00,922.8,7.2,186
2017-01-03T16:00,8.0,84,0.00,922.9,6.5,199
2017-01-03T17:00,7.7,87,0.00,923.1,4.2,200
2017-01-03T18:00,6.0,92,0.00,922.4,5.6,255
2017-01-03T19:00,6.1,87,0.00,922.3,3.6,307
2017-01-03T20:00,5.8,81,0.00,922.3,3.1,306
2017-01-03T21:00,5.1,77,0.00,922.1,3.1,315
2017-01-03T22:00,4.9,78,0.00,922.2,2.8,320
2017-01-03T23:00,4.3,81,0.00,922.3,2.1,329
2017-01-04T00:00,4.1,82,0.00,922.4,2.6,326
2017-01-04T01:00,3.8,90,0.00,921.9,12.8,328
2017-01-04T02:00,5.0,84,0.00,922.2,10.4,326
2017-01-04T03:00,5.4,82,0.00,922.5,8.2,322
2017-01-04T04:00,5.6,82,0.00,923.2,6.4,322
2017-01-04T05:00,5.9,83,0.00,923.2,7.1,319
2017-01-04T06:00,5.6,87,0.00,922.8,6.4,322
2017-01-04T07:00,4.6,91,0.00,922.7,6.4,333
2017-01-04T08:00,4.2,93,0.00,923.0,6.0,343
2017-01-04T09:00,4.5,92,0.00,923.3,7.4,331
2017-01-04T10:00,6.4,90,0.00,924.2,9.9,327
2017-01-04T11:00,8.3,83,0.00,925.3,8.5,332
2017-01-04T12:00,9.9,76,0.00,925.5,6.3,336
2017-01-04T13:00,10.2,78,0.00,924.8,15.0,336
2017-01-04T14:00,10.4,75,0.00,924.1,15.9,332
2017-01-04T15:00,10.2,76,0.00,923.7,16.1,333
2017-01-04T16:00,9.7,77,0.00,923.4,16.7,335
2017-01-04T17:00,9.1,80,0.00,923.6,15.2,338
2017-01-04T18:00,7.5,87,0.00,923.1,12.2,341
2017-01-04T19:00,7.0,89,0.00,923.1,10.6,336
2017-01-04T20:00,7.1,89,0.00,923.5,8.7,330
2017-01-04T21:00,6.8,91,0.00,923.6,8.4,317
2017-01-04T22:00,6.6,92,0.00,923.6,8.1,315
2017-01-04T23:00,6.4,92,0.00,923.8,9.2,329
2017-01-05T00:00,6.0,93,0.00,923.7,11.4,347
2017-01-05T01:00,6.0,88,0.00,923.2,19.9,343
2017-01-05T02:00,6.2,86,0.00,923.0,18.8,340
2017-01-05T03:00,6.1,85,0.00,922.7,17.3,339
2017-01-05T04:00,5.9,87,0.00,922.8,16.8,345
2017-01-05T05:00,5.9,87,0.00,922.5,16.4,351
2017-01-05T06:00,5.4,86,0.00,922.1,14.6,351
2017-01-05T07:00,5.5,80,0.00,921.9,14.6,344
2017-01-05T08:00,4.9,80,0.00,921.7,13.3,341
2017-01-05T09:00,4.5,82,0.00,922.0,13.3,341
2017-01-05T10:00,6.0,80,0.00,922.8,14.8,337
2017-01-05T11:00,7.9,74,0.00,923.6,11.1,347
