latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
40.597538,-4.0735474,901.0,3600,Europe/Berlin,GMT+1

time,temperature_2m (°C),relative_humidity_2m (%),rain (mm),surface_pressure (hPa),wind_speed_10m (km/h),wind_direction_10m (°)
2025-01-01T00:00,2.1,67,0.00,923.9,4.3,332
2025-01-01T01:00,2.5,66,0.00,924.0,2.8,325
2025-01-01T02:00,2.6,72,0.00,924.0,2.4,333
2025-01-01T03:00,2.7,73,0.00,924.2,1.8,349
2025-01-01T04:00,3.4,74,0.00,924.7,1.1,360
2025-01-01T05:00,3.4,76,0.00,924.5,2.0,333
2025-01-01T06:00,2.8,78,0.00,923.8,2.3,337
2025-01-01T07:00,2.1,79,0.00,923.4,1.9,343
2025-01-01T08:00,1.5,81,0.00,923.5,0.9,349
2025-01-01T09:00,1.3,83,0.00,923.5,1.5,306
2025-01-01T10:00,3.7,79,0.00,924.5,3.8,301
2025-01-01T11:00,5.1,78,0.00,925.3,1.3,188
2025-01-01T12:00,6.1,77,0.00,925.4,3.2,180
2025-01-01T13:00,6.8,74,0.00,924.9,4.3,182
2025-01-01T14:00,7.7,68,0.00,924.4,4.7,178
2025-01-01T15:00,7.8,67,0.00,923.7,4.9,163
2025-01-01T16:00,7.6,68,0.00,923.4,5.5,163
2025-01-01T17:00,6.6,75,0.00,923.3,5.2,164
2025-01-01T18:00,3.4,92,0.00,922.8,2.4,189
2025-01-01T19:00,2.6,94,0.00,922.9,2.3,299
2025-01-01T20:00,2.3,94,0.00,922.9,3.8,319
2025-01-01T21:00,1.6,95,0.00,922.8,6.0,327
2025-01-01T22:00,-0.1,98,0.00,922.4,6.6,319
2025-01-01T23:00,-0.9,99,0.00,921.9,6.0,319
2025-01-02T00:00,-1.1,99,0.00,921.8,6.2,322
2025-01-02T01:00,-0.9,97,0.00,921.8,6.1,313
2025-01-02T02:00,-0.7,99,0.00,921.3,6.9,317
2025-01-02T03:00,-0.9,99,0.00,921.0,6.7,322
2025-01-02T04:00,-0.6,96,0.00,921.0,5.2,314
2025-01-02T05:00,-0.3,95,0.00,921.0,3.9,317
2025-01-02T06:00,-0.2,95,0.00,921.1,4.0,309
2025-01-02T07:00,-0.3,96,0.00,920.9,4.5,317
2025-01-02T08:00,-0.4,96,0.00,921.1,4.5,307
2025-01-02T09:00,-0.2,96,0.00,921.1,4.2,310
2025-01-02T10:00,2.2,95,0.00,922.2,3.8,301
2025-01-02T11:00,4.7,89,0.00,923.6,3.0,218
2025-01-02T12:00,6.1,85,0.00,923.7,4.1,182
2025-01-02T13:00,7.3,78,0.00,923.1,6.0,187
2025-01-02T14:00,8.6,69,0.00,922.6,8.3,196
2025-01-02T15:00,8.9,66,0.00,921.8,8.0,198
2025-01-02T16:00,8.6,67,0.00,921.5,8.4,199
2025-01-02T17:00,7.5,72,0.00,921.4,7.6,198
2025-01-02T18:00,4.0,86,0.00,920.5,4.4,249
2025-01-02T19:00,2.7,86,0.00,920.3,4.4,308
2025-01-02T20:00,1.0,86,0.00,919.5,7.4,321
2025-01-02T21:00,0.3,87,0.00,919.4,9.9,323
2025-01-02T22:00,0.5,88,0.00,919.4,9.9,322
2025-01-02T23:00,0.4,90,0.00,919.3,8.2,320
2025-01-03T00:00,0.6,89,0.00,919.7,7.0,316
2025-01-03T01:00,0.6,87,0.00,919.8,7.0,318
2025-01-03T02:00,2.3,79,0.00,919.5,9.1,324
2025-01-03T03:00,1.0,83,0.00,918.7,7.6,322
2025-01-03T04:00,2.6,74,0.00,919.3,6.2,319
2025-01-03T05:00,1.3,76,0.00,918.5,5.8,321
2025-01-03T06:00,1.1,75,0.00,918.2,4.6,315
2025-01-03T07:00,1.4,73,0.00,918.3,4.8,318
2025-01-03T08:00,0.7,75,0.00,918.1,6.1,320
2025-01-03T09:00,0.6,76,0.00,918.2,5.4,320
2025-01-03T10:00,3.3,71,0.00,919.5,5.6,327
2025-01-03T11:00,6.0,63,0.00,921.0,1.2,207
2025-01-03T12:00,6.8,62,0.00,921.5,2.7,176
2025-01-03T13:00,8.3,61,0.00,921.0,2.0,180
2025-01-03T14:00,9.8,56,0.00,920.3,2.7,217
2025-01-03T15:00,8.7,62,0.00,920.0,4.5,203
2025-01-03T16:00,8.6,63,0.00,919.9,2.1,218
2025-01-03T17:00,7.7,68,0.00,919.7,2.1,200
2025-01-03T18:00,5.9,82,0.00,919.5,1.6,243
2025-01-03T19:00,5.3,82,0.00,919.4,3.3,319
2025-01-03T20:00,3.4,90,0.00,918.7,6.8,328
2025-01-03T21:00,2.4,93,0.00,918.2,7.8,322
2025-01-03T22:00,1.9,94,0.00,918.1,6.0,319
2025-01-03T23:00,1.5,94,0.00,918.1,5.3,322
2025-01-04T00:00,1.1,94,0.00,918.1,7.2,321
2025-01-04T01:00,0.5,96,0.00,917.7,6.3,323
2025-01-04T02:00,1.5,98,0.00,917.5,8.8,325
2025-01-04T03:00,0.9,98,0.00,917.2,7.4,326
2025-01-04T04:00,0.8,96,0.00,917.1,5.4,323
2025-01-04T05:00,0.7,95,0.00,917.1,3.1,324
2025-01-04T06:00,0.9,94,0.00,917.2,2.7,332
2025-01-04T07:00,0.7,97,0.00,916.9,3.5,332
2025-01-04T08:00,0.7,96,0.00,917.2,0.5,315
2025-01-04T09:00,1.5,91,0.00,918.2,0.6,304
2025-01-04T10:00,2.7,88,0.00,919.0,1.5,104
2025-01-04T11:00,3.5,97,0.00,919.6,3.4,155
2025-01-04T12:00,4.1,96,0.00,919.9,3.9,152
2025-01-04T13:00,4.4,92,0.00,919.4,3.4,137
2025-01-04T14:00,5.1,88,0.00,919.2,4.0,141
2025-01-04T15:00,5.4,86,0.00,918.4,2.9,173
2025-01-04T16:00,5.7,86,0.00,917.8,4.8,202
2025-01-04T17:00,5.2,92,0.00,917.5,5.5,203
2025-01-04T18:00,4.8,96,0.00,917.5,6.2,218
2025-01-04T19:00,4.7,96,0.00,917.3,4.3,248
2025-01-04T20:00,4.4,98,0.00,916.8,3.5,298
2025-01-04T21:00,3.3,99,0.00,916.2,5.0,316
2025-01-04T22:00,2.5,99,0.00,915.6,5.2,314
2025-01-04T23:00,2.0,100,0.00,915.3,3.8,315
2025-01-05T00:00,3.4,96,0.00,915.6,3.4,317
2025-01-05T01:00,3.8,96,0.00,915.1,1.9,319
2025-01-05T02:00,4.0,97,0.10,914.7,2.1,31
2025-01-05T03:00,4.1,98,0.00,913.9,2.7,37
2025-01-05T04:00,4.2,97,0.00,913.5,2.4,48
2025-01-05T05:00,4.2,98,0.10,912.8,3.7,61
2025-01-05T06:00,4.1,100,0.10,912.2,4.9,84
2025-01-05T07:00,4.0,100,0.20,911.9,3.8,93
