latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
37.293495,-6.923065,32.0,3600,Europe/Berlin,GMT+1

time,temperature_2m (°C),relative_humidity_2m (%),rain (mm),surface_pressure (hPa),wind_speed_10m (km/h),wind_direction_10m (°)
2025-01-01T00:00,6.0,89,0.00,1024.5,5.9,43
2025-01-01T01:00,5.7,89,0.00,1024.5,5.9,38
2025-01-01T02:00,5.7,85,0.00,1024.1,4.7,62
2025-01-01T03:00,5.5,85,0.00,1024.2,4.2,65
2025-01-01T04:00,4.9,85,0.00,1024.2,6.2,52
2025-01-01T05:00,5.0,85,0.00,1024.2,6.8,55
2025-01-01T06:00,4.9,86,0.00,1023.8,6.4,58
2025-01-01T07:00,4.9,86,0.00,1023.9,6.6,61
2025-01-01T08:00,4.8,86,0.00,1024.0,6.7,54
2025-01-01T09:00,4.8,86,0.00,1024.2,6.4,47
2025-01-01T10:00,7.6,78,0.00,1024.5,8.6,53
2025-01-01T11:00,10.3,70,0.00,1024.9,6.4,63
2025-01-01T12:00,12.7,63,0.00,1025.0,9.1,83
2025-01-01T13:00,14.2,58,0.00,1024.3,12.6,87
2025-01-01T14:00,15.2,56,0.00,1023.4,11.5,91
2025-01-01T15:00,15.8,53,0.00,1022.8,9.5,90
2025-01-01T16:00,15.8,51,0.00,1022.7,9.2,93
2025-01-01T17:00,15.2,55,0.00,1022.9,7.8,81
2025-01-01T18:00,12.4,70,0.00,1023.4,5.2,46
2025-01-01T19:00,10.2,78,0.00,1023.4,6.4,58
2025-01-01T20:00,9.1,83,0.00,1023.6,6.5,82
2025-01-01T21:00,8.0,85,0.00,1024.1,4.7,86
2025-01-01T22:00,6.8,89,0.00,1024.5,5.4,48
2025-01-01T23:00,5.9,92,0.00,1024.7,5.7,24
2025-01-02T00:00,5.1,94,0.00,1024.9,5.5,32
2025-01-02T01:00,4.7,95,0.00,1024.8,5.6,40
2025-01-02T02:00,4.8,90,0.00,1024.5,6.2,38
2025-01-02T03:00,4.5,88,0.00,1024.5,5.6,45
2025-01-02T04:00,4.6,87,0.00,1024.6,3.7,67
2025-01-02T05:00,4.0,88,0.00,1024.4,6.4,74
2025-01-02T06:00,4.3,88,0.00,1024.0,6.8,61
2025-01-02T07:00,4.2,88,0.00,1023.9,6.6,57
2025-01-02T08:00,4.3,87,0.00,1024.3,7.1,66
2025-01-02T09:00,4.5,87,0.00,1024.5,7.1,71
2025-01-02T10:00,7.0,80,0.00,1025.0,9.5,79
2025-01-02T11:00,9.8,72,0.00,1025.3,7.2,72
2025-01-02T12:00,12.5,65,0.00,1025.3,7.5,79
2025-01-02T13:00,14.3,59,0.00,1024.7,9.1,83
2025-01-02T14:00,15.7,55,0.00,1024.2,8.5,88
2025-01-02T15:00,16.2,53,0.00,1023.4,6.7,96
2025-01-02T16:00,16.2,54,0.00,1023.1,4.9,90
2025-01-02T17:00,15.7,57,0.00,1023.1,4.2,78
2025-01-02T18:00,12.8,73,0.00,1023.3,4.4,58
2025-01-02T19:00,10.6,81,0.00,1023.6,6.4,63
2025-01-02T20:00,9.0,86,0.00,1023.8,5.9,76
2025-01-02T21:00,7.8,89,0.00,1024.1,5.8,68
2025-01-02T22:00,7.0,90,0.00,1024.4,5.8,56
2025-01-02T23:00,6.2,91,0.00,1024.5,5.6,48
2025-01-03T00:00,5.5,92,0.00,1024.5,5.4,42
2025-01-03T01:00,4.8,94,0.00,1024.9,5.2,25
2025-01-03T02:00,4.0,94,0.00,1024.3,5.4,37
2025-01-03T03:00,3.8,94,0.00,1024.0,5.4,37
2025-01-03T04:00,3.7,93,0.00,1023.9,5.5,41
2025-01-03T05:00,3.6,92,0.00,1023.7,5.1,39
2025-01-03T06:00,3.6,92,0.00,1023.5,4.9,36
2025-01-03T07:00,3.4,92,0.00,1023.3,3.8,41
2025-01-03T08:00,3.1,93,0.00,1023.6,3.6,33
2025-01-03T09:00,2.9,94,0.00,1023.7,3.6,18
2025-01-03T10:00,5.4,87,0.00,1024.1,5.5,19
2025-01-03T11:00,8.2,80,0.00,1024.6,4.2,355
2025-01-03T12:00,11.4,69,0.00,1024.8,3.0,17
2025-01-03T13:00,13.9,60,0.00,1024.3,3.2,56
2025-01-03T14:00,15.0,56,0.00,1023.6,3.7,79
2025-01-03T15:00,15.5,54,0.00,1022.8,2.6,65
2025-01-03T16:00,15.7,54,0.00,1022.4,2.3,67
2025-01-03T17:00,15.3,58,0.00,1022.2,1.1,90
2025-01-03T18:00,13.0,68,0.00,1022.5,0.4,243
2025-01-03T19:00,11.5,73,0.00,1022.6,0.7,256
2025-01-03T20:00,10.0,78,0.00,1023.0,1.0,292
2025-01-03T21:00,8.6,83,0.00,1023.1,1.1,351
2025-01-03T22:00,7.1,90,0.00,1023.1,2.4,42
2025-01-03T23:00,5.8,94,0.00,1023.2,2.7,42
2025-01-04T00:00,5.3,96,0.00,1023.4,2.1,38
2025-01-04T01:00,4.9,95,0.00,1023.2,3.1,28
2025-01-04T02:00,4.7,94,0.00,1022.5,2.9,43
2025-01-04T03:00,4.3,95,0.00,1022.2,3.8,31
2025-01-04T04:00,4.2,95,0.00,1022.0,4.1,29
2025-01-04T05:00,4.4,96,0.00,1021.8,5.1,48
2025-01-04T06:00,5.2,95,0.00,1021.4,4.8,70
2025-01-04T07:00,5.1,94,0.00,1021.5,5.4,70
2025-01-04T08:00,5.0,94,0.00,1021.6,6.0,80
2025-01-04T09:00,5.3,94,0.00,1021.5,6.7,85
2025-01-04T10:00,7.3,87,0.00,1021.9,7.9,74
2025-01-04T11:00,9.9,80,0.00,1022.0,5.1,80
2025-01-04T12:00,12.5,73,0.00,1021.9,6.0,85
2025-01-04T13:00,14.6,66,0.00,1021.2,6.6,99
2025-01-04T14:00,14.6,72,0.00,1020.6,7.5,98
2025-01-04T15:00,15.2,72,0.00,1019.7,7.0,103
2025-01-04T16:00,15.6,73,0.00,1018.9,8.0,130
2025-01-04T17:00,15.1,80,0.10,1018.7,7.7,129
2025-01-04T18:00,13.9,87,0.10,1018.6,6.4,101
2025-01-04T19:00,12.9,91,0.10,1018.4,9.2,101
2025-01-04T20:00,12.0,94,0.10,1018.2,8.1,95
2025-01-04T21:00,11.3,95,0.10,1018.1,9.2,94
2025-01-04T22:00,10.7,98,0.10,1017.9,11.5,91
2025-01-04T23:00,10.5,98,0.10,1017.7,12.6,86
2025-01-05T00:00,10.4,97,0.00,1017.1,10.6,81
2025-01-05T01:00,10.6,95,0.00,1016.5,9.4,83
2025-01-05T02:00,11.2,93,0.10,1015.8,2.2,114
2025-01-05T03:00,11.9,80,0.60,1015.1,3.0,194
2025-01-05T04:00,11.8,78,0.90,1014.5,5.4,188
2025-01-05T05:00,11.6,85,0.50,1014.1,7.4,179
2025-01-05T06:00,11.7,88,0.50,1013.4,8.6,179
2025-01-05T07:00,13.3,84,0.20,1012.7,12.9,172
2025-01-05T08:00,13.8,84,0.00,1012.3,17.5,184
2025-01-05T09:00,14.6,80,0.00,1011.9,16.8,183
2025-01-05T10:00,15.6,76,0.00,1011.7,19.7,193
2025-01-05T11:00,16.8,73,0.10,1011.7,21.8,188
2025-01-05T12:00,16.9,72,0.40,1011.3,26.4,196
2025-01-05T13:00,18.0,64,0.20,1010.1,28.6,199
2025-01-05T14:00,15.7,85,1.30,1009.3,23.8,201
2025-01-05T15:00,14.7,93,1.40,1008.6,25.7,216
2025-01-05T16:00,14.2,92,3.50,1007.9,24.2,223
2025-01-05T17:00,14.5,94,1.70,1007.4,21.8,212
2025-01-05T18:00,13.8,96,4.10,1007.0,21.3,205
2025-01-05T19:00,14.1,95,1.40,1006.7,22.5,205
2025-01-05T20:00,14.6,92,0.20,1007.0,21.3,220
2025-01-05T21:00,14.5,94,0.10,1007.2,16.8,232
2025-01-05T22:00,13.9,95,0.00,1007.5,12.2,229
2025-01-05T23:00,13.8,96,0.00,1007.5,11.8,236
2025-01-06T00:00,13.5,95,0.00,1007.6,11.6,248
2025-01-06T01:00,13.2,96,0.10,1007.3,12.0,249
2025-01-06T02:00,12.8,95,0.90,1006.8,11.4,275
2025-01-06T03:00,12.5,94,0.20,1006.1,2.4,171
2025-01-06T04:00,11.9,96,0.00,1006.2,10.9,214
2025-01-06T05:00,11.9,97,0.10,1006.0,10.1,229
2025-01-06T06:00,11.5,97,0.00,1005.8,7.5,262
2025-01-06T07:00,11.0,98,0.00,1006.1,8.8,270
2025-01-06T08:00,10.7,97,0.00,1006.8,9.5,280
2025-01-06T09:00,10.4,96,0.00,1007.4,12.2,287
2025-01-06T10:00,11.3,93,0.00,1008.5,12.5,290
2025-01-06T11:00,12.9,87,0.00,1009.7,12.4,301
2025-01-06T12:00,14.3,75,0.00,1010.6,17.4,313
2025-01-06T13:00,15.4,66,0.00,1010.7,15.7,308
2025-01-06T14:00,16.2,57,0.00,1010.7,17.5,296
2025-01-06T15:00,16.3,56,0.00,1010.7,17.7,309
2025-01-06T16:00,16.3,54,0.00,1010.9,15.3,302
2025-01-06T17:00,15.7,54,0.00,1011.7,15.6,310
2025-01-06T18:00,13.9,65,0.00,1012.6,9.4,324
2025-01-06T19:00,11.3,80,0.00,1013.5,6.5,328
2025-01-06T20:00,10.2,85,0.00,1014.5,7.1,315
2025-01-06T21:00,9.7,86,0.00,1015.6,8.2,308
2025-01-06T22:00,9.2,87,0.00,1016.8,8.1,307
2025-01-06T23:00,8.5,89,0.00,1017.3,8.0,304
2025-01-07T00:00,8.0,90,0.00,1018.0,7.4,309
2025-01-07T01:00,7.4,91,0.00,1018.4,6.5,321
2025-01-07T02:00,6.1,94,0.00,1018.6,5.8,340
2025-01-07T03:00,5.7,94,0.00,1018.6,4.3,5
2025-01-07T04:00,5.5,95,0.00,1018.7,2.3,360
2025-01-07T05:00,5.0,97,0.00,1018.8,2.9,22
2025-01-07T06:00,4.3,99,0.00,1018.8,4.4,38
2025-01-07T07:00,4.3,100,0.00,1019.0,2.7,37
2025-01-07T08:00,4.2,100,0.00,1019.5,1.7,32
2025-01-07T09:00,4.2,100,0.00,1019.9,1.6,27
2025-01-07T10:00,6.5,94,0.00,1020.6,4.4,63
2025-01-07T11:00,9.9,84,0.00,1021.7,3.3,54
2025-01-07T12:00,12.7,74,0.00,1021.8,4.7,106
2025-01-07T13:00,14.7,67,0.00,1021.3,5.8,144
2025-01-07T14:00,15.6,64,0.00,1020.9,7.3,164
2025-01-07T15:00,15.8,64,0.00,1020.3,7.6,194
2025-01-07T16:00,15.5,66,0.00,1020.0,6.7,183
2025-01-07T17:00,14.9,69,0.00,1019.8,5.6,165
2025-01-07T18:00,13.1,80,0.00,1019.6,3.3,139
2025-01-07T19:00,10.9,86,0.00,1019.3,6.0,134
2025-01-07T20:00,10.4,89,0.00,1019.6,5.8,126
2025-01-07T21:00,9.7,90,0.00,1020.2,5.4,111
2025-01-07T22:00,9.5,91,0.00,1020.4,6.5,92
2025-01-07T23:00,8.8,93,0.00,1020.7,6.3,92
2025-01-08T00:00,8.7,92,0.00,1020.7,6.5,120
2025-01-08T01:00,9.4,88,0.00,1020.4,6.8,102
2025-01-08T02:00,9.3,91,0.00,1019.8,7.2,84
2025-01-08T03:00,9.0,92,0.00,1019.8,6.2,73
2025-01-08T04:00,8.4,94,0.00,1019.5,6.7,87
2025-01-08T05:00,8.3,93,0.00,1018.9,7.8,95
2025-01-08T06:00,8.2,92,0.00,1018.1,9.7,100
2025-01-08T07:00,7.9,92,0.00,1017.9,8.9,99
2025-01-08T08:00,6.9,93,0.00,1018.4,6.5,93
2025-01-08T09:00,6.7,93,0.00,1019.0,5.8,95
2025-01-08T10:00,8.2,89,0.00,1019.7,9.3,98
2025-01-08T11:00,11.1,82,0.00,1019.1,11.6,96
2025-01-08T12:00,14.6,73,0.00,1019.1,8.9,130
2025-01-08T13:00,17.0,72,0.00,1018.4,13.1,199
2025-01-08T14:00,16.2,75,0.00,1017.8,11.8,167
2025-01-08T15:00,17.4,72,0.20,1017.3,22.8,217
2025-01-08T16:00,17.5,70,0.00,1017.1,21.2,211
2025-01-08T17:00,16.9,76,0.00,1017.4,16.9,203
2025-01-08T18:00,16.6,78,0.00,1017.2,18.9,205
2025-01-08T19:00,15.8,85,1.00,1017.7,18.9,214
2025-01-08T20:00,15.1,94,4.40,1017.6,19.0,215
2025-01-08T21:00,15.4,94,0.20,1018.0,18.1,214
2025-01-08T22:00,15.8,94,0.00,1018.3,19.1,229
2025-01-08T23:00,15.9,94,0.00,1018.4,18.8,233
2025-01-09T00:00,16.0,95,0.10,1018.4,15.8,236
2025-01-09T01:00,15.8,97,0.00,1018.6,15.3,252
