Temperatura (ºC),Humedad (%),Precipitación (mm),Presión (hPa),Velocidad del viento (km/h),Dirección del viento,datetime
20.9,78.0,0.0,1012.3,7,180.0,2025-05-16 19:00:00
20.7,77.0,0.0,1012.1,5,180.0,2025-05-16 20:00:00
20.2,76.0,0.0,1012.3,6,150.0,2025-05-16 21:00:00
19.4,81.0,0.0,1012.7,8,120.0,2025-05-16 22:00:00
18.7,82.0,0.0,1013.1,5,90.0,2025-05-16 23:00:00
18.4,80.0,0.0,1013.3,6,270.0,2025-05-17 00:00:00
18.1,71.0,0.0,1012.9,0,180.0,2025-05-17 01:00:00
17.5,76.0,0.0,1013.2,4,90.0,2025-05-17 02:00:00
17.6,87.0,0.0,1012.8,7,270.0,2025-05-17 03:00:00
17.2,84.0,0.0,1012.3,6,0.0,2025-05-17 04:00:00
15.9,81.0,0.0,1012.5,9,0.0,2025-05-17 05:00:00
16.4,70.0,0.0,1012.4,3,0.0,2025-05-17 06:00:00
15.7,73.0,0.0,1012.4,6,0.0,2025-05-17 07:00:00
16.9,65.0,0.0,1013.0,4,36.0,2025-05-17 08:00:00
21.0,50.0,0.0,1013.0,0,72.0,2025-05-17 09:00:00
23.3,46.0,0.0,1012.9,5,108.0,2025-05-17 10:00:00
25.8,35.0,0.0,1012.9,14,144.0,2025-05-17 11:00:00
23.0,61.0,0.0,1012.8,9,180.0,2025-05-17 12:00:00
24.2,53.0,0.0,1012.8,15,180.0,2025-05-17 13:00:00
25.6,45.0,0.0,1012.4,16,180.0,2025-05-17 14:00:00
25.0,51.0,0.0,1011.8,20,180.0,2025-05-17 15:00:00
25.0,47.0,0.0,1011.5,20,180.0,2025-05-17 16:00:00
24.7,53.0,0.0,1011.0,22,180.0,2025-05-17 17:00:00
28.7,25.0,0.0,1010.8,23,90.0,2025-05-17 18:00:00
