Temperatura (ºC),Humedad (%),Precipitación (mm),Presión (hPa),Velocidad del viento (km/h),Dirección del viento,datetime
16.5,52.0,0.0,916.1,22,90.0,2025-05-16 19:00:00
15.5,56.0,0.0,916.0,21,90.0,2025-05-16 20:00:00
13.2,72.0,0.0,916.0,18,90.0,2025-05-16 21:00:00
9.8,85.0,0.0,916.2,14,90.0,2025-05-16 22:00:00
8.4,89.0,0.0,916.7,11,90.0,2025-05-16 23:00:00
7.3,92.0,0.0,916.8,13,90.0,2025-05-17 00:00:00
6.7,93.0,0.0,916.5,12,90.0,2025-05-17 01:00:00
5.3,94.0,0.0,916.2,11,90.0,2025-05-17 02:00:00
5.1,98.0,0.0,915.8,14,90.0,2025-05-17 03:00:00
5.0,97.0,0.0,915.6,11,90.0,2025-05-17 04:00:00
4.0,97.0,0.0,915.4,7,90.0,2025-05-17 05:00:00
3.0,98.0,0.0,915.4,8,90.0,2025-05-17 06:00:00
2.9,100.0,0.0,915.4,4,90.0,2025-05-17 07:00:00
4.1,100.0,0.0,915.5,4,90.0,2025-05-17 08:00:00
6.7,100.0,0.0,915.4,3,90.0,2025-05-17 09:00:00
11.7,82.0,0.0,915.2,9,67.5,2025-05-17 10:00:00
14.5,61.0,0.0,915.2,12,45.0,2025-05-17 11:00:00
16.8,56.0,0.0,915.0,7,22.5,2025-05-17 12:00:00
17.9,46.0,0.0,914.8,6,0.0,2025-05-17 13:00:00
18.7,48.0,0.0,914.4,8,0.0,2025-05-17 14:00:00
19.8,45.0,0.0,913.9,8,157.5,2025-05-17 15:00:00
20.4,33.0,0.0,913.8,7,315.0,2025-05-17 16:00:00
20.8,32.0,0.0,913.5,6,270.0,2025-05-17 17:00:00
21.2,40.0,0.0,913.3,6,315.0,2025-05-17 18:00:00
