Temperatura (ºC),Humedad (%),Precipitación (mm),Presión (hPa),Velocidad del viento (km/h),Dirección del viento,datetime
24.6,31.0,0.0,943.2,8,0.0,2025-05-16 19:00:00
23.2,33.0,0.0,943.2,7,315.0,2025-05-16 20:00:00
21.7,37.0,0.0,943.4,3,0.0,2025-05-16 21:00:00
19.9,44.0,0.0,943.7,3,0.0,2025-05-16 22:00:00
18.2,49.0,0.0,944.2,3,0.0,2025-05-16 23:00:00
16.8,56.0,0.0,944.4,2,30.0,2025-05-17 00:00:00
15.6,60.0,0.0,944.3,2,60.0,2025-05-17 01:00:00
14.6,63.0,0.0,944.1,2,90.0,2025-05-17 02:00:00
13.5,70.0,0.0,943.9,0,90.0,2025-05-17 03:00:00
12.7,73.0,0.0,943.7,0,90.0,2025-05-17 04:00:00
11.8,75.0,0.0,943.5,0,90.0,2025-05-17 05:00:00
11.1,82.0,0.0,943.4,2,90.0,2025-05-17 06:00:00
10.6,84.0,0.0,943.5,0,90.0,2025-05-17 07:00:00
10.5,85.0,0.0,944.1,3,90.0,2025-05-17 08:00:00
13.0,78.0,0.0,944.3,2,90.0,2025-05-17 09:00:00
17.3,60.0,0.0,944.2,3,90.0,2025-05-17 10:00:00
20.6,50.0,0.0,944.0,6,90.0,2025-05-17 11:00:00
22.8,40.0,0.0,943.9,7,90.0,2025-05-17 12:00:00
24.3,35.0,0.0,943.6,6,90.0,2025-05-17 13:00:00
25.7,31.0,0.0,943.0,6,90.0,2025-05-17 14:00:00
26.7,28.0,0.0,942.5,6,202.5,2025-05-17 15:00:00
26.5,29.0,0.0,942.2,6,315.0,2025-05-17 16:00:00
26.6,28.0,0.0,941.8,8,315.0,2025-05-17 17:00:00
27.7,27.0,0.0,941.4,7,315.0,2025-05-17 18:00:00
