Temperatura (ºC),Humedad (%),Precipitación (mm),Presión (hPa),Velocidad del viento (km/h),Dirección del viento,datetime
23.6,25.0,0.0,931.6,6,157.5,2025-05-16 19:00:00
22.1,30.0,0.0,931.6,5,315.0,2025-05-16 20:00:00
20.7,40.0,0.0,931.7,9,270.0,2025-05-16 21:00:00
17.9,51.0,0.0,932.1,3,270.0,2025-05-16 22:00:00
15.6,61.0,0.0,932.5,0,225.0,2025-05-16 23:00:00
13.9,68.0,0.0,932.9,2,180.0,2025-05-17 00:00:00
14.1,62.0,0.0,933.0,5,90.0,2025-05-17 01:00:00
12.8,69.0,0.0,933.1,2,0.0,2025-05-17 02:00:00
12.5,71.0,0.0,932.8,5,0.0,2025-05-17 03:00:00
11.1,78.0,0.0,932.6,5,157.5,2025-05-17 04:00:00
10.8,78.0,0.0,932.8,4,315.0,2025-05-17 05:00:00
9.3,84.0,0.0,932.5,2,240.0,2025-05-17 06:00:00
8.5,88.0,0.0,932.4,3,165.0,2025-05-17 07:00:00
10.2,83.0,0.0,932.8,3,90.0,2025-05-17 08:00:00
13.0,72.0,0.0,932.9,4,0.0,2025-05-17 09:00:00
15.6,67.0,0.0,932.9,5,157.5,2025-05-17 10:00:00
18.7,54.0,0.0,932.8,4,315.0,2025-05-17 11:00:00
20.6,48.0,0.0,932.6,6,270.0,2025-05-17 12:00:00
22.0,47.0,0.0,932.4,8,270.0,2025-05-17 13:00:00
22.8,40.0,0.0,931.8,9,270.0,2025-05-17 14:00:00
23.2,36.0,0.0,931.4,13,270.0,2025-05-17 15:00:00
24.3,32.0,0.0,931.3,9,270.0,2025-05-17 16:00:00
24.2,30.0,0.0,930.9,7,270.0,2025-05-17 17:00:00
24.6,29.0,0.0,930.8,10,270.0,2025-05-17 18:00:00
