Temperatura (ºC),Humedad (%),Precipitación (mm),Presión (hPa),Velocidad del viento (km/h),Dirección del viento,datetime
21.8,34.0,0.0,928.9,6,90.0,2025-05-16 19:00:00
20.6,36.0,0.0,928.4,4,90.0,2025-05-16 20:00:00
19.4,36.0,0.0,928.6,5,90.0,2025-05-16 21:00:00
17.7,43.0,0.0,928.7,0,90.0,2025-05-16 22:00:00
15.2,56.0,0.0,929.2,2,90.0,2025-05-16 23:00:00
13.4,69.0,0.0,929.5,2,90.0,2025-05-17 00:00:00
12.1,76.0,0.0,929.1,0,90.0,2025-05-17 01:00:00
10.7,79.0,0.0,929.2,4,90.0,2025-05-17 02:00:00
9.8,81.0,0.0,928.9,2,90.0,2025-05-17 03:00:00
9.2,86.0,0.0,928.7,3,90.0,2025-05-17 04:00:00
8.8,87.0,0.0,928.4,3,90.0,2025-05-17 05:00:00
8.2,87.0,0.0,928.1,3,90.0,2025-05-17 06:00:00
7.9,87.0,0.0,928.2,3,90.0,2025-05-17 07:00:00
8.2,86.0,0.0,928.6,3,90.0,2025-05-17 08:00:00
10.1,81.0,0.0,928.7,5,90.0,2025-05-17 09:00:00
14.1,64.0,0.0,928.6,5,90.0,2025-05-17 10:00:00
16.2,57.0,0.0,928.5,5,90.0,2025-05-17 11:00:00
19.3,45.0,0.0,928.2,5,90.0,2025-05-17 12:00:00
21.6,36.0,0.0,927.9,7,90.0,2025-05-17 13:00:00
21.7,34.0,0.0,927.4,2,120.0,2025-05-17 14:00:00
22.9,34.0,0.0,926.9,5,150.0,2025-05-17 15:00:00
23.2,32.0,0.0,926.6,5,180.0,2025-05-17 16:00:00
24.0,32.0,0.0,926.1,5,90.0,2025-05-17 17:00:00
25.0,32.0,0.0,925.7,6,90.0,2025-05-17 18:00:00
