Temperatura (ºC),Humedad (%),Precipitación (mm),Presión (hPa),Velocidad del viento (km/h),Dirección del viento,datetime
16.1,80.0,0.0,1013.8,9,315.0,2025-05-16 19:00:00
15.8,83.0,0.0,1013.4,8,315.0,2025-05-16 20:00:00
15.4,86.0,0.0,1013.3,6,0.0,2025-05-16 21:00:00
14.3,90.0,0.0,1013.3,4,45.0,2025-05-16 22:00:00
14.0,92.0,0.0,1013.6,8,90.0,2025-05-16 23:00:00
13.5,93.0,0.0,1013.7,8,90.0,2025-05-17 00:00:00
13.6,94.0,0.0,1013.5,10,90.0,2025-05-17 01:00:00
13.7,94.0,0.0,1013.0,8,90.0,2025-05-17 02:00:00
13.3,95.0,0.0,1012.7,8,90.0,2025-05-17 03:00:00
12.8,95.0,0.0,1012.2,10,90.0,2025-05-17 04:00:00
12.1,96.0,0.0,1011.8,10,90.0,2025-05-17 05:00:00
11.8,97.0,0.0,1011.3,8,90.0,2025-05-17 06:00:00
11.4,96.0,0.0,1011.1,10,90.0,2025-05-17 07:00:00
12.2,97.0,0.0,1011.2,10,90.0,2025-05-17 08:00:00
13.6,93.0,0.0,1011.3,9,90.0,2025-05-17 09:00:00
14.8,89.0,0.0,1011.0,14,90.0,2025-05-17 10:00:00
15.8,86.0,0.0,1010.8,18,90.0,2025-05-17 11:00:00
16.2,84.0,0.0,1010.6,23,90.0,2025-05-17 12:00:00
16.3,83.0,0.0,1010.2,31,90.0,2025-05-17 13:00:00
16.6,85.0,0.0,1009.9,29,90.0,2025-05-17 14:00:00
16.7,82.0,0.0,1009.5,28,90.0,2025-05-17 15:00:00
16.9,83.0,0.0,1009.1,28,90.0,2025-05-17 16:00:00
16.6,83.0,0.0,1008.8,26,90.0,2025-05-17 17:00:00
16.7,83.0,0.0,1008.6,26,90.0,2025-05-17 18:00:00
