Temperatura (ºC),Humedad (%),Precipitación (mm),Presión (hPa),Velocidad del viento (km/h),Dirección del viento,datetime
18.6,43.0,0.0,903.1,7,0.0,2025-05-16 19:00:00
17.8,37.0,0.0,903.1,8,315.0,2025-05-16 20:00:00
16.6,41.0,0.0,903.1,5,0.0,2025-05-16 21:00:00
14.2,53.0,0.0,903.2,6,30.0,2025-05-16 22:00:00
12.4,60.0,0.0,903.9,9,60.0,2025-05-16 23:00:00
11.1,68.0,0.0,904.0,11,90.0,2025-05-17 00:00:00
10.1,69.0,0.0,904.0,9,90.0,2025-05-17 01:00:00
9.7,69.0,0.0,903.6,8,90.0,2025-05-17 02:00:00
9.0,70.0,0.0,903.3,3,90.0,2025-05-17 03:00:00
7.6,75.0,0.0,903.0,4,90.0,2025-05-17 04:00:00
7.4,76.0,0.0,902.9,4,90.0,2025-05-17 05:00:00
6.8,78.0,0.0,902.5,6,90.0,2025-05-17 06:00:00
6.6,76.0,0.0,902.5,5,90.0,2025-05-17 07:00:00
8.6,70.0,0.0,902.8,5,90.0,2025-05-17 08:00:00
13.2,58.0,0.0,902.9,5,90.0,2025-05-17 09:00:00
15.1,45.0,0.0,903.0,4,180.0,2025-05-17 10:00:00
17.1,49.0,0.0,902.8,6,270.0,2025-05-17 11:00:00
18.3,38.0,0.0,902.7,6,0.0,2025-05-17 12:00:00
19.2,36.0,0.0,902.5,8,315.0,2025-05-17 13:00:00
19.8,37.0,0.0,902.1,7,270.0,2025-05-17 14:00:00
20.2,39.0,0.0,901.9,6,315.0,2025-05-17 15:00:00
20.8,38.0,0.0,901.6,9,270.0,2025-05-17 16:00:00
21.6,41.0,0.0,901.2,10,270.0,2025-05-17 17:00:00
22.2,38.0,0.0,900.9,4,315.0,2025-05-17 18:00:00
