Temperatura (ºC),Humedad (%),Precipitación (mm),Presión (hPa),Velocidad del viento (km/h),Dirección del viento,datetime
26.5,34.0,0.0,1006.0,21,90.0,2025-05-16 17:00:00
25.8,40.0,0.0,1005.9,21,90.0,2025-05-16 18:00:00
24.7,43.0,0.0,1005.8,19,90.0,2025-05-16 19:00:00
23.2,60.0,0.0,1006.1,15,72.0,2025-05-16 20:00:00
21.6,68.0,0.0,1006.6,14,54.0,2025-05-16 21:00:00
20.9,70.0,0.0,1007.2,14,36.0,2025-05-16 22:00:00
20.5,69.0,0.0,1007.8,13,18.0,2025-05-16 23:00:00
19.9,65.0,0.0,1008.2,6,0.0,2025-05-17 00:00:00
18.2,68.0,0.0,1008.4,4,315.0,2025-05-17 01:00:00
17.5,71.0,0.0,1008.4,8,180.0,2025-05-17 02:00:00
17.8,71.0,0.0,1008.4,7,180.0,2025-05-17 03:00:00
17.0,76.0,0.0,1008.4,5,180.0,2025-05-17 04:00:00
15.9,78.0,0.0,1008.4,2,180.0,2025-05-17 05:00:00
14.3,86.0,0.0,1008.5,4,270.0,2025-05-17 06:00:00
14.7,80.0,0.0,1008.9,9,315.0,2025-05-17 07:00:00
15.6,75.0,0.0,1009.4,8,315.0,2025-05-17 08:00:00
18.3,68.0,0.0,1009.5,9,315.0,2025-05-17 09:00:00
20.7,59.0,0.0,1009.5,5,315.0,2025-05-17 10:00:00
22.3,54.0,0.0,1009.4,4,0.0,2025-05-17 11:00:00
24.2,48.0,0.0,1009.2,6,30.0,2025-05-17 12:00:00
24.8,52.0,0.0,1008.7,12,60.0,2025-05-17 13:00:00
24.8,53.0,0.0,1008.2,13,90.0,2025-05-17 14:00:00
24.7,54.0,0.0,1007.8,17,90.0,2025-05-17 15:00:00
24.9,52.0,0.0,1007.5,17,90.0,2025-05-17 16:00:00
