Temperatura (ºC),Humedad (%),Precipitación (mm),Presión (hPa),Velocidad del viento (km/h),Dirección del viento,datetime
21.6,62.0,0.0,1001.0,27.0,270.0,2025-05-16 19:00:00
21.7,58.0,0.0,1001.0,37.0,270.0,2025-05-16 20:00:00
21.9,51.0,0.0,1001.0,42.0,270.0,2025-05-16 21:00:00
22.1,45.0,0.0,1001.1,45.0,270.0,2025-05-16 22:00:00
21.9,45.0,0.0,1002.0,28.0,270.0,2025-05-16 23:00:00
21.9,41.0,0.0,1003.0,29.0,270.0,2025-05-17 00:00:00
20.7,56.0,0.0,1002.0,41.0,270.0,2025-05-17 01:00:00
20.6,56.0,0.0,1002.7,37.0,270.0,2025-05-17 02:00:00
20.1,58.0,0.0,1002.3,34.0,270.0,2025-05-17 03:00:00
20.8,52.0,0.0,1002.0,37.0,270.0,2025-05-17 04:00:00
20.5,54.0,0.0,1002.0,38.0,270.0,2025-05-17 05:00:00
20.3,56.0,0.0,1002.0,40.0,270.0,2025-05-17 06:00:00
20.4,55.0,0.0,1002.0,33.0,270.0,2025-05-17 07:00:00
19.0,74.0,0.0,1003.0,27.0,270.0,2025-05-17 08:00:00
18.9,70.0,0.0,1003.0,28.0,270.0,2025-05-17 09:00:00
19.1,70.0,0.0,1003.2,20.0,270.0,2025-05-17 10:00:00
19.6,69.0,0.0,1004.0,11.0,315.0,2025-05-17 11:00:00
19.9,77.0,0.0,1003.0,10.0,0.0,2025-05-17 12:00:00
20.6,70.0,0.0,1003.0,10.0,0.0,2025-05-17 13:00:00
22.9,61.0,0.0,1003.0,4.0,90.0,2025-05-17 14:00:00
21.3,69.0,0.0,1003.0,9.0,90.0,2025-05-17 15:00:00
21.4,72.0,0.0,1003.0,9.0,90.0,2025-05-17 16:00:00
21.1,90.0,0.0,1003.0,11.0,90.0,2025-05-17 17:00:00
20.4,99.0,0.0,1003.0,13.0,90.0,2025-05-17 18:00:00
