Temperatura (ºC),Humedad (%),Precipitación (mm),Presión (hPa),Velocidad del viento (km/h),Dirección del viento,datetime
22.4,34.0,0.0,915.9,8,90.0,2025-05-16 17:00:00
22.1,34.0,0.0,915.6,0,90.0,2025-05-16 18:00:00
21.3,34.0,0.0,915.4,6,90.0,2025-05-16 19:00:00
21.1,38.0,0.0,915.3,9,180.0,2025-05-16 20:00:00
19.1,45.0,0.0,915.4,10,270.0,2025-05-16 21:00:00
15.5,55.0,0.0,915.5,8,315.0,2025-05-16 22:00:00
14.7,50.0,0.0,916.0,10,315.0,2025-05-16 23:00:00
13.6,54.0,0.0,916.4,7,315.0,2025-05-17 00:00:00
12.3,62.0,0.0,916.2,8,315.0,2025-05-17 01:00:00
10.0,77.0,0.0,916.1,3,315.0,2025-05-17 02:00:00
11.7,68.0,0.0,916.2,4,300.0,2025-05-17 03:00:00
12.4,60.0,0.0,915.9,5,285.0,2025-05-17 04:00:00
9.9,73.0,0.0,916.0,4,270.0,2025-05-17 05:00:00
9.3,76.0,0.0,915.6,3,0.0,2025-05-17 06:00:00
8.1,84.0,0.0,915.5,4,0.0,2025-05-17 07:00:00
10.1,78.0,0.0,915.9,3,0.0,2025-05-17 08:00:00
15.5,59.0,0.0,916.1,3,90.0,2025-05-17 09:00:00
17.9,47.0,0.0,916.2,4,180.0,2025-05-17 10:00:00
18.8,43.0,0.0,916.1,5,90.0,2025-05-17 11:00:00
19.8,41.0,0.0,915.9,6,112.5,2025-05-17 12:00:00
21.5,35.0,0.0,915.7,5,135.0,2025-05-17 13:00:00
21.2,33.0,0.0,915.3,8,157.5,2025-05-17 14:00:00
23.5,30.0,0.0,915.0,3,180.0,2025-05-17 15:00:00
22.2,30.0,0.0,914.9,8,180.0,2025-05-17 16:00:00
