latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
36.871704,-2.3684082,100.0,3600,Europe/Berlin,GMT+1

time,temperature_2m (°C),relative_humidity_2m (%),rain (mm),surface_pressure (hPa),wind_speed_10m (km/h),wind_direction_10m (°)
2025-01-01T00:00,9.9,75,0.00,1017.2,11.0,10
2025-01-01T01:00,9.6,75,0.00,1017.0,10.6,358
2025-01-01T02:00,9.0,80,0.00,1016.2,9.0,360
2025-01-01T03:00,8.4,81,0.00,1016.4,8.5,5
2025-01-01T04:00,8.4,80,0.00,1016.2,9.5,9
2025-01-01T05:00,7.8,82,0.00,1015.8,8.8,1
2025-01-01T06:00,7.1,85,0.00,1015.4,10.1,360
2025-01-01T07:00,7.1,84,0.00,1015.5,10.6,3
2025-01-01T08:00,7.6,82,0.00,1015.7,11.0,5
2025-01-01T09:00,8.6,77,0.00,1015.6,10.5,7
2025-01-01T10:00,10.9,67,0.00,1016.2,10.6,14
2025-01-01T11:00,13.4,59,0.00,1016.6,13.9,25
2025-01-01T12:00,14.9,51,0.00,1016.4,18.3,40
2025-01-01T13:00,15.9,47,0.00,1015.5,18.1,46
2025-01-01T14:00,16.9,41,0.00,1014.9,13.9,53
2025-01-01T15:00,16.7,42,0.00,1014.4,16.2,52
2025-01-01T16:00,15.9,48,0.00,1014.6,16.8,55
2025-01-01T17:00,14.9,55,0.00,1014.8,16.7,56
2025-01-01T18:00,13.3,64,0.00,1015.0,12.6,54
2025-01-01T19:00,11.9,71,0.00,1015.3,7.2,37
2025-01-01T20:00,10.8,76,0.00,1015.8,4.8,25
2025-01-01T21:00,10.3,78,0.00,1015.9,5.5,13
2025-01-01T22:00,9.7,78,0.00,1016.0,6.7,9
2025-01-01T23:00,8.9,79,0.00,1016.2,7.1,7
2025-01-02T00:00,8.3,79,0.00,1016.4,7.9,11
2025-01-02T01:00,8.0,78,0.00,1016.2,7.9,3
2025-01-02T02:00,7.8,78,0.00,1015.8,7.7,359
2025-01-02T03:00,7.3,80,0.00,1015.7,7.6,360
2025-01-02T04:00,7.3,78,0.00,1015.8,7.4,359
2025-01-02T05:00,7.3,77,0.00,1015.5,7.4,359
2025-01-02T06:00,7.2,77,0.00,1015.4,8.0,354
2025-01-02T07:00,7.4,76,0.00,1015.4,8.3,355
2025-01-02T08:00,7.7,74,0.00,1016.0,8.0,352
2025-01-02T09:00,8.2,72,0.00,1016.0,8.5,354
2025-01-02T10:00,10.9,61,0.00,1016.6,8.4,351
2025-01-02T11:00,14.2,50,0.00,1017.2,4.7,344
2025-01-02T12:00,15.5,47,0.00,1016.9,1.5,210
2025-01-02T13:00,16.1,48,0.00,1016.0,7.3,196
2025-01-02T14:00,16.4,50,0.00,1015.5,10.7,209
2025-01-02T15:00,15.6,57,0.00,1015.0,12.2,204
2025-01-02T16:00,14.7,60,0.00,1015.0,10.6,204
2025-01-02T17:00,14.1,63,0.00,1015.1,8.6,203
2025-01-02T18:00,12.5,76,0.00,1015.1,5.3,204
2025-01-02T19:00,11.1,87,0.00,1015.4,4.8,217
2025-01-02T20:00,10.9,87,0.00,1015.7,2.1,250
2025-01-02T21:00,10.5,86,0.00,1015.8,0.9,323
2025-01-02T22:00,9.3,86,0.00,1016.0,3.3,351
2025-01-02T23:00,9.0,87,0.00,1016.1,4.7,356
2025-01-03T00:00,8.6,87,0.00,1016.1,5.2,360
2025-01-03T01:00,8.2,84,0.00,1016.0,5.2,358
2025-01-03T02:00,8.0,83,0.00,1015.5,3.9,347
2025-01-03T03:00,7.5,77,0.00,1015.2,6.2,353
2025-01-03T04:00,7.0,71,0.00,1015.0,6.5,360
2025-01-03T05:00,6.8,63,0.00,1014.6,6.5,2
2025-01-03T06:00,6.7,58,0.00,1014.2,5.8,4
2025-01-03T07:00,6.5,57,0.00,1014.0,6.1,5
2025-01-03T08:00,6.4,57,0.00,1013.9,5.8,5
2025-01-03T09:00,6.8,56,0.00,1013.9,7.0,4
2025-01-03T10:00,9.9,46,0.00,1014.4,7.8,8
2025-01-03T11:00,13.7,36,0.00,1015.0,3.1,353
2025-01-03T12:00,15.3,43,0.00,1014.6,6.7,216
2025-01-03T13:00,16.0,57,0.00,1013.8,11.5,215
2025-01-03T14:00,16.9,58,0.00,1012.8,13.7,214
2025-01-03T15:00,16.9,58,0.00,1011.9,14.1,215
2025-01-03T16:00,16.3,64,0.00,1011.7,13.2,219
2025-01-03T17:00,15.4,70,0.00,1011.7,9.9,222
2025-01-03T18:00,13.3,82,0.00,1011.9,4.4,232
2025-01-03T19:00,11.8,87,0.00,1012.0,1.3,270
2025-01-03T20:00,10.9,87,0.00,1012.4,1.3,360
2025-01-03T21:00,10.3,83,0.00,1012.2,2.4,13
2025-01-03T22:00,9.7,72,0.00,1012.3,3.8,11
2025-01-03T23:00,9.3,57,0.00,1012.4,4.7,7
2025-01-04T00:00,9.1,52,0.00,1012.4,5.8,2
2025-01-04T01:00,8.6,51,0.00,1012.0,6.1,358
2025-01-04T02:00,9.6,47,0.00,1011.4,9.0,1
2025-01-04T03:00,9.1,43,0.00,1011.0,9.2,358
2025-01-04T04:00,9.0,42,0.00,1010.8,8.7,354
2025-01-04T05:00,8.8,42,0.00,1010.4,8.8,355
2025-01-04T06:00,8.5,43,0.00,1010.3,8.6,358
2025-01-04T07:00,8.2,44,0.00,1010.5,7.2,357
2025-01-04T08:00,7.9,46,0.00,1010.9,6.0,357
2025-01-04T09:00,8.4,45,0.00,1011.0,5.8,358
2025-01-04T10:00,11.4,38,0.00,1011.6,6.7,360
2025-01-04T11:00,16.0,28,0.00,1011.9,3.3,347
2025-01-04T12:00,17.6,25,0.00,1011.9,4.2,205
2025-01-04T13:00,17.9,31,0.00,1010.9,7.7,196
2025-01-04T14:00,17.2,53,0.00,1010.3,8.7,187
2025-01-04T15:00,16.9,55,0.00,1009.4,7.7,181
2025-01-04T16:00,16.4,59,0.00,1009.1,6.8,191
2025-01-04T17:00,15.7,63,0.00,1009.1,6.1,204
2025-01-04T18:00,13.7,73,0.00,1009.1,1.3,214
2025-01-04T19:00,12.8,76,0.00,1009.0,1.6,354
2025-01-04T20:00,11.2,79,0.00,1008.7,4.3,15
2025-01-04T21:00,10.5,70,0.00,1008.8,3.0,17
2025-01-04T22:00,10.1,59,0.00,1008.9,2.3,23
2025-01-04T23:00,9.8,55,0.00,1008.9,2.8,27
2025-01-05T00:00,9.7,55,0.00,1008.6,2.5,30
2025-01-05T01:00,9.4,56,0.00,1008.2,2.3,23
2025-01-05T02:00,9.1,59,0.00,1007.4,2.8,27
2025-01-05T03:00,8.5,57,0.00,1007.0,3.3,22
2025-01-05T04:00,9.0,48,0.00,1006.8,3.7,23
2025-01-05T05:00,8.7,45,0.00,1006.3,4.4,19
2025-01-05T06:00,8.5,44,0.00,1005.9,4.6,18
2025-01-05T07:00,8.7,44,0.00,1005.6,4.2,18
2025-01-05T08:00,8.8,45,0.00,1005.5,4.6,18
2025-01-05T09:00,9.4,45,0.00,1005.5,4.7,18
2025-01-05T10:00,10.9,43,0.00,1005.5,5.3,18
