latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
42.355007,-3.5630798,892.0,3600,Europe/Berlin,GMT+1

time,temperature_2m (°C),relative_humidity_2m (%),rain (mm),surface_pressure (hPa),wind_speed_10m (km/h),wind_direction_10m (°)
2025-01-01T00:00,-1.1,77,0.00,923.7,7.0,198
2025-01-01T01:00,-1.4,76,0.00,923.4,7.6,207
2025-01-01T02:00,-0.8,87,0.00,924.4,7.9,221
2025-01-01T03:00,-0.8,84,0.00,924.0,9.1,216
2025-01-01T04:00,-0.8,82,0.00,924.1,9.9,224
2025-01-01T05:00,-1.1,81,0.00,924.2,10.6,224
2025-01-01T06:00,-1.1,79,0.00,924.1,10.3,226
2025-01-01T07:00,-1.2,78,0.00,923.8,10.3,224
2025-01-01T08:00,-1.0,75,0.00,923.8,10.2,212
2025-01-01T09:00,-0.4,72,0.00,923.9,10.2,203
2025-01-01T10:00,1.3,68,0.00,924.5,11.8,208
2025-01-01T11:00,2.8,67,0.00,925.1,11.4,219
2025-01-01T12:00,4.7,63,0.00,925.5,10.8,212
2025-01-01T13:00,6.7,58,0.00,925.0,11.6,222
2025-01-01T14:00,6.1,57,0.00,924.7,13.8,243
2025-01-01T15:00,5.5,62,0.00,924.2,12.7,238
2025-01-01T16:00,4.9,66,0.00,923.7,11.8,223
2025-01-01T17:00,3.0,76,0.00,923.4,10.7,222
2025-01-01T18:00,0.4,88,0.00,922.6,11.3,211
2025-01-01T19:00,0.0,89,0.00,922.3,13.1,201
2025-01-01T20:00,0.1,90,0.00,922.4,14.2,198
2025-01-01T21:00,0.1,90,0.00,922.7,14.0,204
2025-01-01T22:00,-0.2,91,0.00,922.9,13.8,204
2025-01-01T23:00,-0.3,92,0.00,922.8,14.4,200
2025-01-02T00:00,-0.3,92,0.00,922.9,14.7,205
2025-01-02T01:00,-0.4,93,0.00,922.9,15.2,204
2025-01-02T02:00,-0.2,96,0.00,923.2,16.9,202
2025-01-02T03:00,0.0,95,0.00,922.5,17.3,202
2025-01-02T04:00,0.3,94,0.00,922.7,16.2,210
2025-01-02T05:00,0.0,96,0.00,922.5,17.0,211
2025-01-02T06:00,-0.3,98,0.00,922.2,17.6,209
2025-01-02T07:00,-0.3,99,0.00,922.2,18.0,206
2025-01-02T08:00,-0.1,98,0.00,922.3,19.0,203
2025-01-02T09:00,0.0,97,0.00,922.6,18.5,205
2025-01-02T10:00,0.5,96,0.00,923.0,19.3,202
2025-01-02T11:00,1.5,93,0.00,923.6,20.5,211
2025-01-02T12:00,2.3,89,0.00,923.7,20.3,213
2025-01-02T13:00,3.5,83,0.00,923.3,21.2,220
2025-01-02T14:00,3.6,80,0.00,923.0,21.1,220
2025-01-02T15:00,4.4,75,0.00,922.3,21.1,226
2025-01-02T16:00,4.1,77,0.00,922.0,18.9,220
2025-01-02T17:00,3.4,82,0.00,921.9,16.9,211
2025-01-02T18:00,1.7,91,0.00,921.4,16.1,200
2025-01-02T19:00,1.9,89,0.00,921.2,18.6,199
2025-01-02T20:00,1.7,90,0.00,921.5,17.0,195
2025-01-02T21:00,1.6,90,0.00,921.4,17.8,196
2025-01-02T22:00,1.4,90,0.00,921.3,17.2,196
2025-01-02T23:00,1.4,90,0.00,921.3,17.0,200
2025-01-03T00:00,1.2,91,0.00,921.8,15.7,202
2025-01-03T01:00,1.6,90,0.00,921.8,16.9,202
2025-01-03T02:00,3.1,90,0.00,920.8,20.5,201
2025-01-03T03:00,3.3,90,0.00,920.8,21.5,206
2025-01-03T04:00,3.3,90,0.00,920.4,21.5,204
2025-01-03T05:00,3.3,89,0.00,920.1,21.5,208
2025-01-03T06:00,3.2,89,0.00,920.1,23.2,211
2025-01-03T07:00,2.9,89,0.10,919.6,23.8,206
2025-01-03T08:00,2.4,94,0.50,919.6,24.5,207
2025-01-03T09:00,2.4,95,0.50,919.7,24.4,204
2025-01-03T10:00,2.9,92,0.10,920.2,24.2,203
2025-01-03T11:00,3.4,92,0.10,920.8,23.6,204
2025-01-03T12:00,4.0,91,0.10,920.9,23.8,207
2025-01-03T13:00,4.4,93,0.20,920.4,22.8,209
2025-01-03T14:00,4.6,95,0.70,920.2,22.1,212
2025-01-03T15:00,4.8,97,0.70,919.7,21.5,210
2025-01-03T16:00,5.1,98,0.30,919.5,21.2,212
2025-01-03T17:00,5.4,98,0.30,919.5,20.5,209
2025-01-03T18:00,5.4,98,0.40,919.6,19.9,209
2025-01-03T19:00,5.6,98,0.40,919.7,20.5,209
2025-01-03T20:00,5.7,99,0.30,919.7,20.3,209
2025-01-03T21:00,5.8,99,0.60,919.9,19.7,210
2025-01-03T22:00,5.9,99,0.60,919.9,20.0,208
2025-01-03T23:00,5.9,99,0.50,920.0,19.3,202
2025-01-04T00:00,6.0,98,0.10,920.1,21.3,205
2025-01-04T01:00,6.0,98,0.00,920.0,21.2,210
2025-01-04T02:00,6.4,99,0.00,919.3,22.4,210
2025-01-04T03:00,6.3,99,0.10,919.1,22.8,208
2025-01-04T04:00,6.2,98,0.00,919.0,22.8,210
2025-01-04T05:00,6.0,98,0.00,918.7,22.2,210
2025-01-04T06:00,5.7,98,0.00,918.5,20.9,209
2025-01-04T07:00,5.5,98,0.00,918.4,21.2,206
2025-01-04T08:00,5.4,97,0.00,918.4,22.2,206
2025-01-04T09:00,5.4,96,0.00,918.5,21.0,205
2025-01-04T10:00,5.6,95,0.00,918.6,21.6,205
2025-01-04T11:00,6.2,92,0.00,918.6,22.1,207
2025-01-04T12:00,6.7,87,0.00,918.7,25.3,210
2025-01-04T13:00,7.3,83,0.00,918.1,26.3,216
2025-01-04T14:00,7.6,85,0.00,917.7,25.1,219
2025-01-04T15:00,7.8,80,0.00,917.1,25.2,219
2025-01-04T16:00,7.6,79,0.00,916.5,24.4,219
2025-01-04T17:00,7.0,82,0.00,916.0,23.3,219
2025-01-04T18:00,6.2,86,0.00,915.8,21.8,215
2025-01-04T19:00,6.0,86,0.00,915.8,22.7,207
2025-01-04T20:00,5.8,86,0.00,915.3,23.1,200
2025-01-04T21:00,5.8,85,0.00,914.7,23.2,199
2025-01-04T22:00,5.6,85,0.00,914.7,23.2,203
2025-01-04T23:00,5.2,87,0.00,914.7,23.0,204
2025-01-05T00:00,4.7,88,0.00,914.4,22.8,201
2025-01-05T01:00,4.2,90,0.00,913.8,22.8,202
