latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
43.479786,-3.6486511,153.0,3600,Europe/Berlin,GMT+1

time,temperature_2m (°C),relative_humidity_2m (%),rain (mm),surface_pressure (hPa),wind_speed_10m (km/h),wind_direction_10m (°)
2025-01-01T00:00,3.5,87,0.00,1010.5,4.0,170
2025-01-01T01:00,3.6,83,0.00,1010.1,1.7,283
2025-01-01T02:00,4.2,92,0.00,1010.4,3.5,258
2025-01-01T03:00,3.7,87,0.00,1010.0,3.2,218
2025-01-01T04:00,2.0,88,0.00,1009.5,1.5,173
2025-01-01T05:00,0.8,89,0.00,1008.9,1.4,157
2025-01-01T06:00,0.7,92,0.00,1008.7,1.5,216
2025-01-01T07:00,0.6,93,0.00,1008.3,1.3,188
2025-01-01T08:00,-0.2,87,0.00,1008.2,0.6,162
2025-01-01T09:00,-0.4,85,0.00,1008.3,0.9,180
2025-01-01T10:00,1.9,85,0.00,1008.6,3.2,180
2025-01-01T11:00,5.3,88,0.00,1008.9,2.6,164
2025-01-01T12:00,8.0,77,0.00,1009.1,1.2,63
2025-01-01T13:00,9.5,74,0.00,1008.5,4.3,28
2025-01-01T14:00,10.1,70,0.00,1007.9,9.6,47
2025-01-01T15:00,10.3,67,0.00,1007.0,9.3,65
2025-01-01T16:00,10.3,71,0.00,1006.6,10.1,73
2025-01-01T17:00,9.4,75,0.00,1006.4,8.3,84
2025-01-01T18:00,7.5,81,0.00,1006.0,6.1,109
2025-01-01T19:00,6.3,82,0.00,1005.9,1.9,119
2025-01-01T20:00,5.2,81,0.00,1006.3,1.9,236
2025-01-01T21:00,3.8,77,0.00,1006.6,5.1,207
2025-01-01T22:00,3.3,72,0.00,1006.4,6.9,195
2025-01-01T23:00,2.6,74,0.00,1006.2,6.3,182
2025-01-02T00:00,2.2,75,0.00,1006.1,5.2,182
2025-01-02T01:00,2.0,76,0.00,1005.9,6.1,185
2025-01-02T02:00,4.9,64,0.00,1005.3,10.0,186
2025-01-02T03:00,5.8,60,0.00,1005.1,12.7,192
2025-01-02T04:00,6.3,59,0.00,1004.9,15.4,185
2025-01-02T05:00,5.9,62,0.00,1004.4,13.3,193
2025-01-02T06:00,5.9,63,0.00,1004.1,13.5,199
2025-01-02T07:00,6.4,63,0.00,1004.2,12.4,196
2025-01-02T08:00,7.3,60,0.00,1004.1,13.7,183
2025-01-02T09:00,7.5,61,0.00,1004.4,9.1,194
2025-01-02T10:00,7.8,64,0.00,1004.8,10.9,187
2025-01-02T11:00,8.9,66,0.00,1005.2,10.4,191
2025-01-02T12:00,10.8,65,0.00,1005.3,11.9,183
2025-01-02T13:00,11.8,65,0.00,1004.6,10.8,195
2025-01-02T14:00,14.0,60,0.00,1004.4,8.7,240
2025-01-02T15:00,14.2,61,0.00,1004.1,9.8,238
2025-01-02T16:00,14.2,60,0.00,1004.1,9.6,237
2025-01-02T17:00,12.6,63,0.00,1004.3,6.5,222
2025-01-02T18:00,10.5,65,0.00,1004.6,6.6,206
2025-01-02T19:00,8.4,69,0.00,1004.6,8.2,203
2025-01-02T20:00,7.0,70,0.00,1004.5,9.9,181
2025-01-02T21:00,6.0,70,0.00,1004.3,9.4,173
2025-01-02T22:00,5.8,71,0.00,1004.4,5.6,184
2025-01-02T23:00,6.9,66,0.00,1004.4,5.4,178
2025-01-03T00:00,7.3,70,0.00,1004.5,1.8,156
2025-01-03T01:00,7.3,71,0.00,1004.6,1.7,108
2025-01-03T02:00,8.8,71,0.00,1003.4,3.8,90
2025-01-03T03:00,8.4,69,0.00,1002.6,4.6,126
2025-01-03T04:00,9.3,65,0.00,1002.3,6.3,177
2025-01-03T05:00,10.2,63,0.20,1001.8,11.9,207
2025-01-03T06:00,9.1,78,0.70,1000.8,11.7,169
2025-01-03T07:00,9.0,78,0.00,1000.0,12.5,162
2025-01-03T08:00,10.0,67,0.00,999.6,7.6,183
2025-01-03T09:00,11.5,62,0.00,999.6,12.6,211
2025-01-03T10:00,12.0,66,0.00,1000.2,13.0,221
2025-01-03T11:00,12.5,70,0.00,1001.0,10.6,230
2025-01-03T12:00,12.3,78,0.10,1001.2,6.4,241
2025-01-03T13:00,12.2,86,0.40,1000.7,3.1,220
2025-01-03T14:00,12.1,98,1.60,1000.7,4.8,248
2025-01-03T15:00,12.0,93,1.10,999.9,3.6,174
2025-01-03T16:00,12.7,90,0.30,999.8,3.0,155
2025-01-03T17:00,12.4,88,0.50,999.9,4.2,198
2025-01-03T18:00,11.7,89,0.60,999.7,1.8,174
2025-01-03T19:00,10.7,96,0.00,1000.5,4.6,26
2025-01-03T20:00,10.6,96,0.00,1000.7,1.6,84
2025-01-03T21:00,9.6,98,0.00,1000.8,1.3,146
2025-01-03T22:00,9.0,97,0.00,1000.6,1.9,119
2025-01-03T23:00,9.2,94,0.00,1000.6,1.0,112
2025-01-04T00:00,9.3,94,0.00,1001.0,2.4,283
2025-01-04T01:00,9.7,92,0.00,1000.9,1.0,225
2025-01-04T02:00,10.4,96,1.00,999.9,6.1,178
2025-01-04T03:00,10.3,96,0.50,999.5,7.3,170
2025-01-04T04:00,10.2,96,0.30,999.4,4.7,148
2025-01-04T05:00,10.1,93,0.00,998.9,1.7,139
2025-01-04T06:00,10.0,92,0.00,998.7,0.6,198
2025-01-04T07:00,9.8,90,0.00,998.7,1.2,219
2025-01-04T08:00,9.1,92,0.10,998.6,4.0,162
2025-01-04T09:00,8.1,94,0.00,998.1,5.7,145
2025-01-04T10:00,10.0,89,0.00,998.2,8.4,149
2025-01-04T11:00,12.2,86,0.00,998.2,8.5,156
2025-01-04T12:00,14.1,81,0.00,998.0,8.5,148
2025-01-04T13:00,15.6,77,0.00,997.1,6.7,121
2025-01-04T14:00,17.4,69,0.00,996.3,8.0,171
2025-01-04T15:00,16.9,64,0.00,995.4,15.2,187
2025-01-04T16:00,15.7,57,0.00,994.9,24.4,197
2025-01-04T17:00,14.4,55,0.00,994.6,26.8,206
2025-01-04T18:00,13.6,54,0.00,994.5,26.3,208
2025-01-04T19:00,13.6,54,0.00,993.9,27.7,207
2025-01-04T20:00,13.9,53,0.00,993.7,28.3,208
2025-01-04T21:00,14.0,52,0.00,993.2,28.5,207
2025-01-04T22:00,14.2,51,0.00,992.7,29.9,206
2025-01-04T23:00,14.2,52,0.00,992.3,33.2,202
2025-01-05T00:00,14.1,53,0.00,991.6,33.6,199
2025-01-05T01:00,13.9,53,0.00,991.0,34.2,201
2025-01-05T02:00,14.4,53,0.00,990.3,38.3,198
2025-01-05T03:00,14.5,54,0.00,989.2,37.9,204
2025-01-05T04:00,14.4,55,0.00,989.2,38.7,207
2025-01-05T05:00,14.1,58,0.00,988.5,41.7,210
2025-01-05T06:00,14.5,57,0.00,987.7,42.2,209
2025-01-05T07:00,14.9,55,0.00,987.0,41.9,209
2025-01-05T08:00,15.0,54,0.00,986.3,37.3,212
2025-01-05T09:00,15.0,52,0.00,986.4,32.1,216
2025-01-05T10:00,14.8,53,0.00,986.0,29.3,205
2025-01-05T11:00,14.8,54,0.00,985.3,28.0,198
2025-01-05T12:00,15.2,55,0.00,985.0,29.1,203
2025-01-05T13:00,15.5,54,0.00,983.8,31.1,199
2025-01-05T14:00,16.4,56,0.00,982.9,24.4,184
2025-01-05T15:00,16.2,56,0.00,981.8,24.8,190
2025-01-05T16:00,16.4,55,0.00,980.7,25.9,186
2025-01-05T17:00,16.3,55,0.00,980.2,21.3,184
2025-01-05T18:00,16.1,51,0.00,979.3,25.4,194
2025-01-05T19:00,16.1,51,0.00,978.8,28.5,209
2025-01-05T20:00,15.9,52,0.00,978.2,35.2,206
2025-01-05T21:00,16.0,53,0.00,977.3,39.1,205
2025-01-05T22:00,16.0,53,0.00,977.0,36.8,211
2025-01-05T23:00,15.6,54,0.00,976.9,35.9,214
2025-01-06T00:00,15.4,54,0.00,976.2,31.7,222
