latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
39.47276,-0.4979248,68.0,3600,Europe/Berlin,GMT+1

time,temperature_2m (°C),relative_humidity_2m (%),rain (mm),surface_pressure (hPa),wind_speed_10m (km/h),wind_direction_10m (°)
2025-01-01T00:00,6.7,98,0.60,1023.6,5.6,277
2025-01-01T01:00,6.3,98,0.60,1023.5,8.5,298
2025-01-01T02:00,6.7,100,0.30,1023.1,5.6,295
2025-01-01T03:00,6.4,99,0.20,1023.0,7.7,309
2025-01-01T04:00,6.3,98,0.10,1022.9,7.2,295
2025-01-01T05:00,6.6,97,0.00,1022.6,8.9,304
2025-01-01T06:00,6.2,97,0.00,1022.3,7.6,301
2025-01-01T07:00,5.7,98,0.00,1022.3,9.1,306
2025-01-01T08:00,5.3,96,0.00,1022.2,8.9,308
2025-01-01T09:00,5.5,94,0.00,1022.1,9.0,305
2025-01-01T10:00,7.1,89,0.00,1022.5,7.6,306
2025-01-01T11:00,9.4,86,0.00,1022.8,7.5,278
2025-01-01T12:00,10.9,76,0.00,1022.8,6.0,261
2025-01-01T13:00,12.4,72,0.00,1022.0,1.5,263
2025-01-01T14:00,12.9,76,0.00,1021.6,4.2,83
2025-01-01T15:00,13.1,74,0.00,1021.0,7.7,79
2025-01-01T16:00,13.1,74,0.00,1020.9,5.4,75
2025-01-01T17:00,12.6,82,0.00,1021.0,1.0,135
2025-01-01T18:00,11.0,84,0.00,1020.9,1.0,248
2025-01-01T19:00,10.3,87,0.00,1021.1,3.1,260
2025-01-01T20:00,9.0,93,0.00,1021.5,5.6,270
2025-01-01T21:00,8.1,94,0.00,1021.4,4.3,272
2025-01-01T22:00,7.4,95,0.00,1021.5,5.8,277
2025-01-01T23:00,6.8,96,0.00,1021.6,6.8,287
2025-01-02T00:00,6.1,96,0.00,1021.5,8.2,293
2025-01-02T01:00,5.5,95,0.00,1021.1,7.7,300
2025-01-02T02:00,6.1,94,0.00,1020.5,6.6,299
2025-01-02T03:00,5.6,94,0.00,1020.3,7.2,288
2025-01-02T04:00,4.9,95,0.00,1020.2,6.8,281
2025-01-02T05:00,4.6,95,0.00,1019.8,7.0,283
2025-01-02T06:00,4.4,94,0.00,1019.7,8.5,287
2025-01-02T07:00,4.6,93,0.00,1019.5,7.1,276
2025-01-02T08:00,4.8,92,0.00,1019.8,8.3,276
2025-01-02T09:00,5.2,92,0.00,1019.9,8.7,283
2025-01-02T10:00,7.1,87,0.00,1020.2,7.6,278
2025-01-02T11:00,9.5,82,0.00,1020.3,6.0,254
2025-01-02T12:00,12.1,72,0.00,1019.7,7.7,240
2025-01-02T13:00,13.9,62,0.00,1018.6,9.4,238
2025-01-02T14:00,14.8,57,0.00,1017.8,14.3,235
2025-01-02T15:00,15.2,54,0.00,1016.8,14.7,239
2025-01-02T16:00,15.2,55,0.00,1016.5,12.9,238
2025-01-02T17:00,14.2,59,0.00,1016.4,10.5,243
2025-01-02T18:00,12.5,62,0.00,1016.3,10.6,251
2025-01-02T19:00,11.3,64,0.00,1016.7,11.7,268
2025-01-02T20:00,10.5,65,0.00,1017.1,12.4,284
2025-01-02T21:00,9.9,65,0.00,1017.3,12.0,292
2025-01-02T22:00,8.9,67,0.00,1017.7,10.7,300
2025-01-02T23:00,8.1,69,0.00,1017.9,9.5,303
2025-01-03T00:00,7.6,68,0.00,1017.6,9.2,298
2025-01-03T01:00,7.2,66,0.00,1017.5,10.2,300
2025-01-03T02:00,8.4,58,0.00,1016.6,12.2,299
2025-01-03T03:00,8.7,57,0.00,1016.1,12.6,292
2025-01-03T04:00,9.2,57,0.00,1016.0,14.5,289
2025-01-03T05:00,9.6,57,0.00,1015.4,16.2,287
2025-01-03T06:00,9.9,55,0.00,1014.9,18.2,288
2025-01-03T07:00,10.2,54,0.00,1014.9,19.0,288
2025-01-03T08:00,10.1,54,0.00,1014.8,18.2,287
2025-01-03T09:00,10.3,54,0.00,1014.9,17.4,293
2025-01-03T10:00,12.0,51,0.00,1015.2,17.1,289
2025-01-03T11:00,13.4,52,0.00,1015.4,12.9,290
2025-01-03T12:00,14.6,54,0.00,1014.9,11.5,268
2025-01-03T13:00,16.1,50,0.00,1013.6,10.8,271
2025-01-03T14:00,17.0,50,0.00,1012.7,11.9,274
2025-01-03T15:00,17.3,48,0.00,1012.1,15.3,282
2025-01-03T16:00,17.0,46,0.00,1012.0,16.5,283
2025-01-03T17:00,16.0,47,0.00,1012.1,16.2,283
2025-01-03T18:00,15.3,47,0.00,1012.7,17.2,288
2025-01-03T19:00,14.6,44,0.00,1013.2,17.8,291
2025-01-03T20:00,13.6,48,0.00,1013.8,15.6,297
2025-01-03T21:00,13.4,50,0.00,1013.9,12.7,300
2025-01-03T22:00,12.9,54,0.00,1014.0,9.0,303
2025-01-03T23:00,12.2,60,0.00,1014.5,6.9,295
2025-01-04T00:00,11.9,60,0.00,1014.7,9.4,282
2025-01-04T01:00,11.5,62,0.00,1014.4,11.4,267
2025-01-04T02:00,13.4,57,0.00,1013.6,10.7,283
2025-01-04T03:00,12.9,60,0.00,1013.4,9.7,266
2025-01-04T04:00,11.9,66,0.00,1013.2,12.2,271
2025-01-04T05:00,11.1,70,0.00,1012.9,14.3,277
2025-01-04T06:00,10.6,71,0.00,1013.0,15.1,278
2025-01-04T07:00,10.1,71,0.00,1013.3,15.7,275
2025-01-04T08:00,9.8,71,0.00,1013.4,16.2,274
2025-01-04T09:00,9.9,70,0.00,1013.4,16.5,276
2025-01-04T10:00,11.1,65,0.00,1013.7,16.0,281
2025-01-04T11:00,13.2,55,0.00,1013.7,13.4,281
2025-01-04T12:00,14.6,56,0.00,1013.8,10.6,259
2025-01-04T13:00,15.9,52,0.00,1012.7,11.4,258
2025-01-04T14:00,17.3,48,0.00,1012.0,12.3,267
2025-01-04T15:00,17.9,46,0.00,1011.1,10.6,269
2025-01-04T16:00,17.6,47,0.00,1010.7,10.1,259
2025-01-04T17:00,16.1,52,0.00,1010.5,10.0,257
2025-01-04T18:00,13.9,56,0.00,1010.7,11.3,262
2025-01-04T19:00,12.8,56,0.00,1011.1,10.7,283
2025-01-04T20:00,12.6,56,0.00,1011.2,10.0,296
2025-01-04T21:00,11.8,59,0.00,1011.0,9.1,292
2025-01-04T22:00,11.6,60,0.00,1011.1,9.7,294
2025-01-04T23:00,11.1,59,0.00,1011.0,9.0,293
2025-01-05T00:00,10.9,59,0.00,1010.7,8.9,288
2025-01-05T01:00,10.5,60,0.00,1010.1,8.5,270
2025-01-05T02:00,10.9,60,0.00,1009.7,13.3,279
2025-01-05T03:00,11.0,60,0.00,1009.2,13.0,281
2025-01-05T04:00,10.4,61,0.00,1008.9,11.9,276
2025-01-05T05:00,10.1,61,0.00,1008.4,11.2,264
2025-01-05T06:00,10.2,60,0.00,1008.2,12.9,254
2025-01-05T07:00,10.0,61,0.00,1007.9,14.2,250
2025-01-05T08:00,9.7,62,0.00,1007.8,14.4,248
2025-01-05T09:00,9.9,63,0.00,1007.6,14.3,247
2025-01-05T10:00,11.1,62,0.00,1007.6,13.7,242
2025-01-05T11:00,13.9,58,0.00,1007.5,11.9,256
2025-01-05T12:00,14.8,56,0.00,1007.0,12.8,269
2025-01-05T13:00,15.9,55,0.00,1006.0,14.0,270
2025-01-05T14:00,16.7,54,0.00,1004.8,13.5,270
2025-01-05T15:00,17.7,48,0.00,1003.6,12.4,248
2025-01-05T16:00,17.6,50,0.00,1003.1,12.3,231
2025-01-05T17:00,16.8,47,0.00,1002.9,12.6,245
2025-01-05T18:00,15.4,50,0.00,1002.7,11.3,260
2025-01-05T19:00,14.0,55,0.00,1002.7,9.5,241
2025-01-05T20:00,13.1,58,0.00,1002.7,10.3,234
2025-01-05T21:00,12.3,59,0.00,1002.6,9.7,225
2025-01-05T22:00,11.4,62,0.00,1002.4,9.1,234
2025-01-05T23:00,10.0,67,0.00,1002.1,7.5,253
2025-01-06T00:00,9.6,70,0.00,1001.9,9.1,262
2025-01-06T01:00,9.7,67,0.00,1002.0,11.1,283
2025-01-06T02:00,9.3,70,0.00,1000.7,10.5,245
2025-01-06T03:00,11.1,58,0.00,1000.3,13.0,229
2025-01-06T04:00,11.1,59,0.00,999.9,11.8,219
2025-01-06T05:00,11.3,61,0.00,999.4,11.7,212
2025-01-06T06:00,11.4,65,0.00,998.9,10.8,201
2025-01-06T07:00,11.1,67,0.00,998.5,10.7,192
2025-01-06T08:00,10.9,69,0.00,998.6,9.1,207
2025-01-06T09:00,10.6,73,0.00,998.8,7.0,220
2025-01-06T10:00,11.8,72,0.00,999.1,8.1,227
2025-01-06T11:00,14.8,61,0.00,999.1,11.6,242
2025-01-06T12:00,16.6,55,0.00,998.6,13.4,253
2025-01-06T13:00,17.5,50,0.00,998.0,16.2,268
2025-01-06T14:00,16.0,55,0.00,998.2,15.1,262
2025-01-06T15:00,15.6,57,0.00,997.4,11.9,250
2025-01-06T16:00,15.4,57,0.00,997.4,12.9,258
2025-01-06T17:00,15.4,55,0.00,997.6,12.6,257
2025-01-06T18:00,14.4,57,0.00,998.5,13.7,273
2025-01-06T19:00,13.9,57,0.00,999.6,17.6,285
2025-01-06T20:00,13.5,56,0.00,1001.0,17.2,294
2025-01-06T21:00,12.9,56,0.00,1002.0,15.9,301
2025-01-06T22:00,11.9,59,0.00,1003.3,15.0,300
2025-01-06T23:00,11.1,58,0.00,1004.3,14.0,296
2025-01-07T00:00,10.9,55,0.00,1005.2,14.2,296
2025-01-07T01:00,10.7,54,0.00,1005.7,15.0,294
2025-01-07T02:00,10.6,54,0.00,1006.1,16.2,293
2025-01-07T03:00,10.6,53,0.00,1006.6,16.7,297
2025-01-07T04:00,10.1,54,0.00,1007.2,14.5,298
2025-01-07T05:00,9.9,54,0.00,1007.9,14.5,304
2025-01-07T06:00,9.6,55,0.00,1008.6,12.9,309
2025-01-07T07:00,9.1,57,0.00,1009.3,10.0,298
2025-01-07T08:00,7.6,65,0.00,1010.1,6.5,268
2025-01-07T09:00,7.3,66,0.00,1010.7,5.4,217
2025-01-07T10:00,9.3,61,0.00,1011.7,8.1,174
2025-01-07T11:00,11.4,56,0.00,1012.3,8.3,181
2025-01-07T12:00,13.0,51,0.00,1012.3,10.5,200
2025-01-07T13:00,14.7,43,0.00,1011.5,12.0,246
2025-01-07T14:00,15.9,40,0.00,1011.0,15.2,257
2025-01-07T15:00,15.6,40,0.00,1010.7,19.6,271
2025-01-07T16:00,14.8,42,0.00,1010.9,17.8,278
2025-01-07T17:00,14.2,43,0.00,1010.8,13.2,282
2025-01-07T18:00,13.2,46,0.00,1011.2,6.7,261
