t_s,red_x_cm,red_y_cm,green_x_cm,green_y_cm,blue_x_cm,blue_y_cm
0.0285,2.065,3.494,0.787,23.455,0.000,0.000
0.0661,2.065,3.494,0.787,23.455,0.000,0.000
0.1069,2.065,3.494,0.787,23.455,0.000,0.000
0.1326,2.067,3.494,0.630,23.455,0.000,0.000
0.1653,2.067,3.494,0.630,23.455,0.000,0.000
0.2002,2.065,3.494,0.787,23.455,0.000,0.000
0.2312,2.065,3.494,0.787,23.455,0.000,0.000
0.2638,2.065,3.494,0.787,23.455,0.000,0.000
0.2981,2.065,3.494,0.787,23.455,0.000,0.000
0.3314,2.067,3.494,0.630,23.455,0.000,0.000
0.3660,2.065,3.494,0.787,23.455,0.000,0.000
0.3990,2.065,3.494,0.787,23.455,0.000,0.000
0.4294,2.065,3.494,0.787,23.455,0.000,0.000
0.4652,2.065,3.494,0.787,23.455,0.000,0.000
0.4987,2.067,3.494,0.630,23.455,0.000,0.000
0.5302,2.067,3.650,0.630,23.769,0.000,0.000
0.5657,2.065,3.652,0.787,23.612,0.000,0.000
0.6004,2.065,3.494,0.787,23.455,0.000,0.000
0.6312,2.067,3.494,0.630,23.455,0.000,0.000
0.6621,2.065,3.494,0.787,23.455,0.000,0.000
0.7004,2.065,3.652,0.787,23.612,0.000,0.000
0.7339,2.067,3.494,0.630,23.455,0.000,0.000
0.7688,2.065,3.494,0.787,23.455,0.000,0.000
0.7994,2.067,3.494,0.630,23.455,0.000,0.000
0.8322,2.065,3.494,0.787,23.455,0.000,0.000
0.8652,2.065,3.494,0.787,23.455,0.000,0.000
0.8952,2.065,3.494,0.787,23.455,0.000,0.000
0.9319,2.065,3.494,0.787,23.455,0.000,0.000
0.9636,2.065,3.654,0.787,23.455,0.000,0.000
1.0007,2.065,3.494,0.787,23.455,0.000,0.000
1.0328,2.065,3.494,0.787,23.455,0.000,0.000
1.0664,2.065,3.494,0.787,23.455,0.000,0.000
1.1044,2.065,3.494,0.787,23.455,0.000,0.000
1.1363,2.065,3.494,0.787,23.455,0.000,0.000
1.1648,2.065,3.494,0.787,23.455,0.000,0.000
1.2000,2.065,3.494,0.787,23.455,0.000,0.000
1.2351,2.067,3.494,0.630,23.455,0.000,0.000
1.2663,2.065,3.494,0.787,23.455,0.000,0.000
1.2995,2.065,3.494,0.787,23.455,0.000,0.000
1.3360,2.065,3.494,0.787,23.455,0.000,0.000
1.3649,2.067,3.494,0.630,23.455,0.000,0.000
1.3995,2.065,3.494,0.787,23.455,0.000,0.000
1.4342,2.065,3.494,0.787,23.455,0.000,0.000
1.4649,2.065,3.494,0.787,23.455,0.000,0.000
1.4987,2.065,3.492,0.787,23.612,0.000,0.000
1.5325,2.065,3.494,0.787,23.455,0.000,0.000
1.5655,2.065,3.652,0.787,23.612,0.000,0.000
1.5989,2.067,3.652,0.630,23.612,0.000,0.000
1.6312,2.065,3.494,0.787,23.455,0.000,0.000
1.6661,2.065,3.652,0.787,23.612,0.000,0.000
1.6994,2.065,3.494,0.787,23.455,0.000,0.000
1.7324,2.065,3.494,0.787,23.455,0.000,0.000
1.7648,2.065,3.494,0.787,23.455,0.000,0.000
1.7974,2.065,3.494,0.787,23.455,0.000,0.000
1.8306,2.065,3.494,0.787,23.455,0.000,0.000
1.8655,2.065,3.654,0.787,23.455,0.000,0.000
1.8992,2.065,3.494,0.787,23.455,0.000,0.000
1.9305,2.067,3.494,0.630,23.455,0.000,0.000
1.9652,2.065,3.652,0.787,23.612,0.000,0.000
2.0003,2.065,3.652,0.787,23.612,0.000,0.000
2.0326,2.065,3.494,0.787,23.455,0.000,0.000
2.0666,2.067,3.652,0.630,23.612,0.000,0.000
2.0978,2.065,3.652,0.787,23.612,0.000,0.000
2.1335,2.067,3.652,0.630,23.612,0.000,0.000
2.1704,2.065,3.652,0.787,23.612,0.000,0.000
2.2005,2.065,3.494,0.787,23.455,0.000,0.000
2.2303,2.067,3.494,0.630,23.455,0.000,0.000
2.2649,2.067,3.494,0.630,23.455,0.000,0.000
2.2988,2.067,3.494,0.630,23.455,0.000,0.000
2.3331,2.067,3.494,0.630,23.455,0.000,0.000
2.3685,2.065,3.494,0.787,23.455,0.000,0.000
2.4004,2.067,3.494,0.630,23.455,0.000,0.000
2.4308,2.065,3.494,0.787,23.455,0.000,0.000
2.4724,2.065,3.494,0.787,23.455,0.000,0.000
2.5006,2.065,3.494,0.787,23.455,0.000,0.000
2.5343,2.065,3.494,0.787,23.455,0.000,0.000
2.5653,2.065,3.494,0.787,23.455,0.000,0.000
2.5993,2.067,3.494,0.630,23.455,0.000,0.000
2.6329,2.065,3.494,0.787,23.455,0.000,0.000
2.6661,2.065,3.494,0.787,23.455,0.000,0.000
2.6986,2.065,3.494,0.787,23.455,0.000,0.000
2.7333,2.067,3.652,0.630,23.612,0.000,0.000
2.7728,2.067,3.652,0.630,23.612,0.000,0.000
2.7987,2.065,3.652,0.787,23.612,0.000,0.000
2.8335,2.065,3.652,0.787,23.612,0.000,0.000
2.8686,2.065,3.494,0.787,23.455,0.000,0.000
2.8992,2.065,3.494,0.787,23.455,0.000,0.000
2.9366,2.065,3.494,0.787,23.455,0.000,0.000
2.9691,2.065,3.494,0.787,23.455,0.000,0.000
3.0022,2.065,3.494,0.787,23.455,0.000,0.000
3.0311,2.065,3.652,0.787,23.612,0.000,0.000
3.0660,2.065,3.494,0.787,23.455,0.000,0.000
3.0987,2.065,3.494,0.787,23.455,0.000,0.000
3.1334,2.065,3.652,0.787,23.612,0.000,0.000
