t_s,red_x_cm,red_y_cm,green_x_cm,green_y_cm,blue_x_cm,blue_y_cm
0.0312,1.958,3.739,0.832,23.578,0.000,0.000
0.0677,1.960,3.598,0.693,23.578,0.000,0.000
0.0994,1.960,3.737,0.693,23.717,0.000,0.000
0.1313,1.958,3.739,0.832,23.578,0.000,0.000
0.1628,-5.218,-2.030,0.832,23.578,0.000,0.000
0.1968,1.958,3.602,0.832,23.301,0.000,0.000
0.2301,1.958,3.739,0.832,23.578,0.000,0.000
0.2635,1.958,3.739,0.832,23.578,0.000,0.000
0.2965,1.958,3.739,0.832,23.578,0.000,0.000
0.3320,1.964,3.741,0.416,23.439,0.000,0.000
0.3713,1.958,3.600,0.832,23.439,0.000,0.000
0.3992,1.964,3.743,0.416,23.301,0.000,0.000
0.4355,1.962,3.745,0.555,23.162,0.000,0.000
0.4635,1.962,3.745,0.555,23.162,0.000,0.000
0.4978,1.958,3.739,0.832,23.578,0.000,0.000
0.5334,1.958,3.739,0.832,23.578,0.000,0.000
0.5638,1.960,3.743,0.693,23.301,0.000,0.000
0.5963,1.958,3.600,0.832,23.439,0.000,0.000
0.6386,1.958,3.600,0.832,23.439,0.000,0.000
0.6650,1.962,3.741,0.555,23.439,0.000,0.000
0.6994,1.960,3.743,0.693,23.301,0.000,0.000
0.7310,1.960,3.745,0.693,23.162,0.000,0.000
0.7659,1.958,3.739,0.832,23.578,0.000,0.000
0.7996,1.964,3.600,0.416,23.439,0.000,0.000
0.8305,1.958,3.741,0.832,23.439,0.000,0.000
0.8649,1.966,3.739,0.277,23.578,0.000,0.000
0.8975,1.958,3.741,0.832,23.439,0.000,0.000
0.9333,1.964,3.739,0.416,23.578,0.000,0.000
0.9648,1.958,3.600,0.832,23.439,0.000,0.000
1.0012,1.958,3.598,0.832,23.578,0.000,0.000
1.0325,1.960,3.598,0.693,23.578,0.000,0.000
1.0654,1.964,3.743,0.416,23.301,0.000,0.000
1.0982,1.960,3.737,0.693,23.717,0.000,0.000
1.1315,1.960,3.739,0.693,23.578,0.000,0.000
1.1647,1.962,3.604,0.555,23.162,0.000,0.000
1.1981,1.960,3.739,0.693,23.578,0.000,0.000
1.2345,1.958,3.741,0.832,23.439,0.000,0.000
1.2647,1.958,3.739,0.832,23.578,0.000,0.000
1.2997,1.960,3.737,0.693,23.717,0.000,0.000
1.3340,-5.218,-2.171,0.832,23.578,0.000,0.000
1.3729,1.958,3.598,0.832,23.578,0.000,0.000
1.4053,1.958,3.739,0.832,23.578,0.000,0.000
1.4362,1.962,3.600,0.555,23.439,0.000,0.000
1.4656,1.958,3.739,0.832,23.578,0.000,0.000
1.5054,1.960,3.598,0.693,23.578,0.000,0.000
1.5351,1.958,3.739,0.832,23.578,0.000,0.000
1.5635,1.960,3.737,0.693,23.717,0.000,0.000
1.5992,1.960,3.598,0.693,23.578,0.000,0.000
1.6346,1.960,3.737,0.693,23.717,0.000,0.000
1.6697,1.960,3.737,0.693,23.717,0.000,0.000
1.7007,1.958,3.739,0.832,23.578,0.000,0.000
1.7343,1.960,3.737,0.693,23.717,0.000,0.000
1.7661,1.960,3.745,0.693,23.162,0.000,0.000
1.7987,1.960,3.596,0.693,23.717,0.000,0.000
1.8359,1.958,3.741,0.832,23.439,0.000,0.000
1.8670,1.962,3.741,0.555,23.439,0.000,0.000
1.8981,1.960,3.737,0.693,23.717,0.000,0.000
1.9353,1.960,3.596,0.693,23.717,0.000,0.000
1.9670,1.958,3.598,0.832,23.578,0.000,0.000
2.0000,1.958,3.598,0.832,23.578,0.000,0.000
2.0338,1.958,3.600,0.832,23.439,0.000,0.000
2.0646,1.962,3.737,0.555,23.717,0.000,0.000
2.0977,1.958,3.739,0.832,23.578,0.000,0.000
2.1346,1.960,3.596,0.693,23.717,0.000,0.000
2.1654,1.958,3.598,0.832,23.578,0.000,0.000
2.2001,1.960,3.596,0.693,23.717,0.000,0.000
2.2337,1.960,3.737,0.693,23.717,0.000,0.000
2.2659,1.960,3.737,0.693,23.717,0.000,0.000
2.3003,1.960,3.737,0.693,23.717,0.000,0.000
2.3335,1.958,3.598,0.832,23.578,0.000,0.000
2.3664,1.960,3.743,0.693,23.301,0.000,0.000
2.3999,1.960,3.596,0.693,23.717,0.000,0.000
2.4339,1.960,3.604,0.693,23.162,0.000,0.000
2.4664,1.958,3.598,0.832,23.578,0.000,0.000
2.4991,1.960,3.739,0.693,23.578,0.000,0.000
2.5337,1.958,3.598,0.832,23.578,0.000,0.000
2.5668,1.960,3.747,0.693,23.023,0.000,0.000
2.6000,1.958,3.598,0.832,23.578,0.000,0.000
2.6339,1.960,3.739,0.693,23.578,0.000,0.000
2.6641,1.960,3.739,0.693,23.578,0.000,0.000
2.6996,1.960,3.739,0.693,23.578,0.000,0.000
2.7320,1.958,3.737,0.832,23.717,0.000,0.000
2.7700,1.958,3.600,0.832,23.439,0.000,0.000
2.7986,1.960,3.737,0.693,23.717,0.000,0.000
2.8382,1.960,3.743,0.693,23.301,0.000,0.000
2.8648,1.960,3.739,0.693,23.578,0.000,0.000
2.9008,1.962,3.604,0.555,23.162,0.000,0.000
2.9328,1.960,3.737,0.693,23.717,0.000,0.000
2.9686,1.960,3.739,0.693,23.578,0.000,0.000
2.9973,1.960,3.739,0.693,23.578,0.000,0.000
3.0345,1.960,3.739,0.693,23.578,0.000,0.000
3.0672,1.960,3.737,0.693,23.717,0.000,0.000
3.1005,1.960,3.737,0.693,23.717,0.000,0.000
3.1400,1.960,3.739,0.693,23.578,0.000,0.000
3.1692,1.962,3.606,0.555,23.023,0.000,0.000
3.1995,1.962,3.737,0.555,23.717,0.000,0.000
3.2326,1.962,3.737,0.555,23.717,0.000,0.000
3.2685,1.960,3.739,0.693,23.578,0.000,0.000
3.2993,1.962,3.739,0.555,23.578,0.000,0.000
3.3361,1.960,3.737,0.693,23.717,0.000,0.000
3.3660,1.958,3.739,0.832,23.578,0.000,0.000
3.3988,1.960,3.737,0.693,23.717,0.000,0.000
3.4377,1.962,3.737,0.555,23.717,0.000,0.000
3.4662,1.960,3.737,0.693,23.717,0.000,0.000
3.5032,1.960,3.739,0.693,23.578,0.000,0.000
3.5360,1.960,3.598,0.693,23.578,0.000,0.000
3.5654,1.960,3.596,0.693,23.717,0.000,0.000
3.6048,1.960,3.598,0.693,23.578,0.000,0.000
3.6349,1.960,3.598,0.693,23.578,0.000,0.000
3.6678,1.958,3.739,0.832,23.578,0.000,0.000
3.6992,1.960,3.598,0.693,23.578,0.000,0.000
3.7329,1.960,3.598,0.693,23.578,0.000,0.000
3.7698,1.958,3.739,0.832,23.578,0.000,0.000
3.7997,1.958,3.600,0.832,23.439,0.000,0.000
3.8361,1.960,3.741,0.693,23.439,0.000,0.000
3.8688,1.960,3.739,0.693,23.578,0.000,0.000
3.9047,1.960,3.739,0.693,23.578,0.000,0.000
3.9348,1.960,3.739,0.693,23.578,0.000,0.000
3.9703,1.960,3.737,0.693,23.717,0.000,0.000
4.0047,1.960,3.739,0.693,23.578,0.000,0.000
4.0347,1.960,3.739,0.693,23.578,0.000,0.000
4.0697,1.962,3.739,0.555,23.578,0.000,0.000
4.1026,1.958,3.598,0.832,23.578,0.000,0.000
4.1353,1.960,3.596,0.693,23.717,0.000,0.000
4.1649,1.960,3.737,0.693,23.717,0.000,0.000
4.2057,1.960,3.598,0.693,23.578,0.000,0.000
4.2382,1.960,3.598,0.693,23.578,0.000,0.000
4.2666,1.960,3.598,0.693,23.578,0.000,0.000
4.3024,1.958,3.739,0.832,23.578,0.000,0.000
4.3352,1.960,3.598,0.693,23.578,0.000,0.000
4.3682,1.962,3.596,0.555,23.717,0.000,0.000
4.4008,1.958,3.598,0.832,23.578,0.000,0.000
4.4439,1.960,3.596,0.693,23.717,0.000,0.000
4.4675,1.960,3.745,0.693,23.162,0.000,0.000
4.5006,1.960,3.598,0.693,23.578,0.000,0.000
4.5380,1.962,3.604,0.555,23.162,0.000,0.000
4.5698,1.960,3.598,0.693,23.578,0.000,0.000
4.6024,1.960,3.606,0.693,23.023,0.000,0.000
4.6400,1.958,3.598,0.832,23.578,0.000,0.000
4.6685,1.960,3.596,0.693,23.717,0.000,0.000
4.7044,1.958,3.598,0.832,23.578,0.000,0.000
4.7365,1.958,3.596,0.832,23.717,0.000,0.000
4.7667,1.960,3.745,0.693,23.162,0.000,0.000
4.8019,1.960,3.604,0.693,23.162,0.000,0.000
4.8386,1.958,3.598,0.832,23.578,0.000,0.000
4.8692,1.960,3.598,0.693,23.578,0.000,0.000
4.8992,1.960,3.598,0.693,23.578,0.000,0.000
4.9354,1.960,3.739,0.693,23.578,0.000,0.000
4.9699,1.960,3.604,0.693,23.162,0.000,0.000
5.0022,1.958,3.598,0.832,23.578,0.000,0.000
5.0388,1.960,3.598,0.693,23.578,0.000,0.000
5.0705,1.960,3.598,0.693,23.578,0.000,0.000
5.1028,1.958,3.598,0.832,23.578,0.000,0.000
5.1407,1.960,3.596,0.693,23.717,0.000,0.000
5.1753,1.958,3.739,0.832,23.578,0.000,0.000
5.2143,1.958,3.739,0.832,23.578,0.000,0.000
5.2444,1.960,3.598,0.693,23.578,0.000,0.000
5.2761,1.960,3.598,0.693,23.578,0.000,0.000
5.3101,1.960,3.604,0.693,23.162,0.000,0.000
5.3430,1.960,3.739,0.693,23.578,0.000,0.000
5.3762,1.960,3.604,0.693,23.162,0.000,0.000
5.4096,1.960,3.598,0.693,23.578,0.000,0.000
5.4434,1.960,3.598,0.693,23.578,0.000,0.000
5.4773,1.960,3.598,0.693,23.578,0.000,0.000
5.5042,1.960,3.739,0.693,23.578,0.000,0.000
5.5394,1.958,3.739,0.832,23.578,0.000,0.000
5.5711,1.960,3.737,0.693,23.717,0.000,0.000
5.6022,1.960,3.745,0.693,23.162,0.000,0.000
5.6368,1.960,3.596,0.693,23.717,0.000,0.000
5.6684,1.960,3.598,0.693,23.578,0.000,0.000
5.7052,1.960,3.598,0.693,23.578,0.000,0.000
5.7370,1.960,3.739,0.693,23.578,0.000,0.000
5.7705,1.958,3.739,0.832,23.578,0.000,0.000
5.8021,1.960,3.739,0.693,23.578,0.000,0.000
5.8462,1.960,3.598,0.693,23.578,0.000,0.000
5.8717,1.960,3.739,0.693,23.578,0.000,0.000
5.8967,1.960,3.739,0.693,23.578,0.000,0.000
5.9369,1.958,3.598,0.832,23.578,0.000,0.000
5.9779,1.960,3.598,0.693,23.578,0.000,0.000
6.0039,1.960,3.737,0.693,23.717,0.000,0.000
6.0394,1.960,3.739,0.693,23.578,0.000,0.000
6.0721,1.960,3.596,0.693,23.717,0.000,0.000
6.1092,1.960,3.598,0.693,23.578,0.000,0.000
6.1427,1.958,3.600,0.832,23.439,0.000,0.000
6.1721,1.960,3.596,0.693,23.717,0.000,0.000
6.2063,1.960,3.598,0.693,23.578,0.000,0.000
6.2390,1.960,3.459,0.693,23.439,0.000,0.000
6.2717,1.958,3.598,0.832,23.578,0.000,0.000
6.3069,1.960,3.596,0.693,23.717,0.000,0.000
6.3423,1.960,3.596,0.693,23.717,0.000,0.000
6.3735,1.960,3.739,0.693,23.578,0.000,0.000
6.4095,1.958,3.602,0.832,23.301,0.000,0.000
6.4423,1.958,3.598,0.832,23.578,0.000,0.000
6.4748,1.960,3.596,0.693,23.717,0.000,0.000
6.5046,1.960,3.739,0.693,23.578,0.000,0.000
6.5390,1.960,3.743,0.693,23.301,0.000,0.000
6.5742,1.958,3.743,0.832,23.301,0.000,0.000
6.6046,1.960,3.596,0.693,23.717,0.000,0.000
6.6414,1.958,3.741,0.832,23.439,0.000,0.000
6.6744,1.960,3.596,0.693,23.717,0.000,0.000
6.7078,1.958,3.739,0.832,23.578,0.000,0.000
6.7409,1.962,3.598,0.555,23.578,0.000,0.000
6.7737,1.960,3.598,0.693,23.578,0.000,0.000
6.8074,1.958,3.598,0.832,23.578,0.000,0.000
6.8465,1.960,3.596,0.693,23.717,0.000,0.000
6.8715,1.958,3.739,0.832,23.578,0.000,0.000
6.9036,1.958,3.739,0.832,23.578,0.000,0.000
6.9374,1.960,3.596,0.693,23.717,0.000,0.000
6.9746,1.958,3.739,0.832,23.578,0.000,0.000
7.0042,1.960,3.739,0.693,23.578,0.000,0.000
7.0374,1.960,3.737,0.693,23.717,0.000,0.000
7.0728,1.960,3.745,0.693,23.162,0.000,0.000
7.1051,1.958,3.739,0.832,23.578,0.000,0.000
7.1418,1.960,3.598,0.693,23.578,0.000,0.000
7.1744,1.960,3.737,0.693,23.717,0.000,0.000
7.2067,1.960,3.739,0.693,23.578,0.000,0.000
7.2411,1.960,3.739,0.693,23.578,0.000,0.000
7.2719,1.958,3.596,0.832,23.717,0.000,0.000
7.3095,1.958,3.739,0.832,23.578,0.000,0.000
7.3450,1.958,3.739,0.832,23.578,0.000,0.000
7.3776,1.960,3.459,0.693,23.439,0.000,0.000
7.4107,1.960,3.739,0.693,23.578,0.000,0.000
7.4440,1.960,3.598,0.693,23.578,0.000,0.000
7.4780,1.960,3.604,0.693,23.162,0.000,0.000
7.5109,1.960,3.737,0.693,23.717,0.000,0.000
7.5438,1.960,3.598,0.693,23.578,0.000,0.000
7.5773,1.960,3.737,0.693,23.717,0.000,0.000
7.6101,1.960,3.596,0.693,23.717,0.000,0.000
7.6443,1.960,3.745,0.693,23.162,0.000,0.000
7.6775,1.958,3.737,0.832,23.717,0.000,0.000
7.7204,1.960,3.598,0.693,23.578,0.000,0.000
7.7507,1.960,3.598,0.693,23.578,0.000,0.000
7.7792,1.960,3.596,0.693,23.717,0.000,0.000
7.8107,1.960,3.596,0.693,23.717,0.000,0.000
7.8456,1.960,3.739,0.693,23.578,0.000,0.000
7.8774,1.962,3.598,0.555,23.578,0.000,0.000
7.9069,1.960,3.598,0.693,23.578,0.000,0.000
7.9448,1.960,3.598,0.693,23.578,0.000,0.000
7.9737,1.960,3.598,0.693,23.578,0.000,0.000
8.0095,1.958,3.598,0.832,23.578,0.000,0.000
8.0406,1.962,3.600,0.555,23.439,0.000,0.000
8.0753,1.962,3.600,0.555,23.439,0.000,0.000
8.1083,1.960,3.598,0.693,23.578,0.000,0.000
8.1419,1.958,3.598,0.832,23.578,0.000,0.000
8.1760,1.960,3.739,0.693,23.578,0.000,0.000
8.2105,1.960,3.743,0.693,23.301,0.000,0.000
8.2413,1.958,3.598,0.832,23.578,0.000,0.000
8.2747,1.958,3.600,0.832,23.439,0.000,0.000
8.3049,1.958,3.739,0.832,23.578,0.000,0.000
8.3397,1.960,3.600,0.693,23.439,0.000,0.000
8.3795,1.960,3.739,0.693,23.578,0.000,0.000
8.4060,1.960,3.457,0.693,23.578,0.000,0.000
8.4402,1.960,3.598,0.693,23.578,0.000,0.000
8.4745,1.960,3.739,0.693,23.578,0.000,0.000
8.5066,1.960,3.739,0.693,23.578,0.000,0.000
8.5416,1.960,3.739,0.693,23.578,0.000,0.000
8.5730,1.958,3.602,0.832,23.301,0.000,0.000
8.6063,1.958,3.602,0.832,23.301,0.000,0.000
8.6446,1.960,3.596,0.693,23.717,0.000,0.000
8.6742,1.960,3.739,0.693,23.578,0.000,0.000
8.7058,1.960,3.739,0.693,23.578,0.000,0.000
8.7404,1.960,3.598,0.693,23.578,0.000,0.000
8.7719,1.960,3.598,0.693,23.578,0.000,0.000
8.8067,1.960,3.739,0.693,23.578,0.000,0.000
8.8446,1.960,3.598,0.693,23.578,0.000,0.000
8.8730,1.960,3.739,0.693,23.578,0.000,0.000
8.9078,1.960,3.739,0.693,23.578,0.000,0.000
8.9414,1.960,3.598,0.693,23.578,0.000,0.000
8.9731,1.962,3.604,0.555,23.162,0.000,0.000
9.0066,1.958,3.741,0.832,23.439,0.000,0.000
9.0422,1.962,3.741,0.555,23.439,0.000,0.000
9.0774,1.960,3.739,0.693,23.578,0.000,0.000
9.1098,1.958,3.737,0.832,23.717,0.000,0.000
9.1427,1.960,3.459,0.693,23.439,0.000,0.000
9.1748,1.962,3.600,0.555,23.439,0.000,0.000
9.2078,1.958,3.739,0.832,23.578,0.000,0.000
9.2423,1.960,3.745,0.693,23.162,0.000,0.000
9.2719,1.958,3.739,0.832,23.578,0.000,0.000
9.3042,1.960,3.739,0.693,23.578,0.000,0.000
9.3427,1.960,3.600,0.693,23.439,0.000,0.000
9.3718,1.960,3.745,0.693,23.162,0.000,0.000
9.4089,1.958,3.602,0.832,23.301,0.000,0.000
9.4419,1.960,3.739,0.693,23.578,0.000,0.000
9.4738,1.958,3.741,0.832,23.439,0.000,0.000
9.5077,1.958,3.461,0.832,23.301,0.000,0.000
9.5439,1.962,3.598,0.555,23.578,0.000,0.000
9.5742,1.960,3.739,0.693,23.578,0.000,0.000
9.6100,1.960,3.737,0.693,23.717,0.000,0.000
9.6405,1.960,3.598,0.693,23.578,0.000,0.000
9.6746,1.819,3.457,0.693,23.578,0.000,0.000
9.7127,1.821,3.461,0.555,23.301,0.000,0.000
9.7455,1.958,3.457,0.832,23.578,0.000,0.000
9.7793,1.960,3.598,0.693,23.578,0.000,0.000
9.8119,1.960,3.596,0.693,23.717,0.000,0.000
9.8453,1.958,3.598,0.832,23.578,0.000,0.000
9.8790,1.958,3.598,0.832,23.578,0.000,0.000
9.9114,1.960,3.598,0.693,23.578,0.000,0.000
