t_s,red_x_cm,red_y_cm,green_x_cm,green_y_cm,blue_x_cm,blue_y_cm
0.0323,0.021,-43.511,-0.195,-23.602,0.000,0.000
0.0639,0.021,-43.532,-0.195,-23.407,0.000,0.000
0.0965,0.021,-43.532,-0.195,-23.407,0.000,0.000
0.1310,0.021,-43.511,-0.195,-23.602,0.000,0.000
0.1635,0.021,-43.511,-0.195,-23.602,0.000,0.000
0.2004,0.021,-43.490,-0.195,-23.797,0.000,0.000
0.2316,0.021,-43.532,-0.195,-23.407,0.000,0.000
0.2697,0.043,-43.511,-0.390,-23.602,0.000,0.000
0.2998,0.021,-43.532,-0.195,-23.407,0.000,0.000
0.3296,0.021,-43.532,-0.195,-23.407,0.000,0.000
0.3624,0.021,-43.511,-0.195,-23.602,0.000,0.000
0.4000,0.043,-43.532,-0.390,-23.407,0.000,0.000
0.4307,0.021,-43.511,-0.195,-23.602,0.000,0.000
0.4661,0.021,-43.532,-0.195,-23.407,0.000,0.000
0.4994,0.021,-43.532,-0.195,-23.407,0.000,0.000
0.5313,0.021,-43.532,-0.195,-23.407,0.000,0.000
0.5655,0.021,-43.532,-0.195,-23.407,0.000,0.000
0.5968,0.021,-43.532,-0.195,-23.407,0.000,0.000
0.6310,0.064,-43.575,-0.585,-23.017,0.000,0.000
0.6672,0.021,-43.532,-0.195,-23.407,0.000,0.000
0.7059,0.021,-43.532,-0.195,-23.407,0.000,0.000
0.7339,0.021,-43.532,-0.195,-23.407,0.000,0.000
0.7652,0.021,-43.532,-0.195,-23.407,0.000,0.000
0.7983,0.021,-43.532,-0.195,-23.407,0.000,0.000
0.8312,0.021,-43.490,-0.195,-23.797,0.000,0.000
0.8658,0.021,-43.532,-0.195,-23.407,0.000,0.000
0.8965,0.021,-43.532,-0.195,-23.407,0.000,0.000
0.9314,0.043,-43.532,-0.390,-23.407,0.000,0.000
0.9652,0.021,-43.511,-0.195,-23.602,0.000,0.000
0.9999,0.021,-43.532,-0.195,-23.407,0.000,0.000
1.0318,0.021,-43.532,-0.195,-23.407,0.000,0.000
1.0675,0.021,-43.532,-0.195,-23.407,0.000,0.000
1.0973,0.021,-43.511,-0.195,-23.602,0.000,0.000
1.1305,0.021,-43.532,-0.195,-23.407,0.000,0.000
1.1633,0.021,-43.511,-0.195,-23.602,0.000,0.000
1.1964,0.021,-43.532,-0.195,-23.407,0.000,0.000
1.2290,0.021,-43.532,-0.195,-23.407,0.000,0.000
1.2651,0.021,-43.511,-0.195,-23.602,0.000,0.000
1.2992,0.021,-43.511,-0.195,-23.602,0.000,0.000
1.3315,0.021,-43.532,-0.195,-23.407,0.000,0.000
1.3631,0.000,-43.511,0.000,-23.602,0.000,0.000
1.4004,0.021,-43.511,-0.195,-23.602,0.000,0.000
1.4315,0.021,-43.532,-0.195,-23.407,0.000,0.000
1.4673,0.021,-43.532,-0.195,-23.407,0.000,0.000
1.4977,0.021,-43.511,-0.195,-23.602,0.000,0.000
1.5333,0.021,-43.532,-0.195,-23.407,0.000,0.000
1.5683,0.021,-43.532,-0.195,-23.407,0.000,0.000
1.5999,0.021,-43.532,-0.195,-23.407,0.000,0.000
1.6324,0.021,-43.511,-0.195,-23.602,0.000,0.000
