time_s,red_x_cm,red_y_cm,green_x_cm,green_y_cm,blue_x_cm,blue_y_cm
33.1188,0.000,43.500,0.000,23.500,0.000,0.000
33.1739,-1.174,43.465,0.000,23.500,0.000,0.000
33.3067,-0.526,43.493,0.000,23.500,0.000,0.000
33.3650,-0.554,43.496,-0.255,23.499,0.000,0.000
33.4170,-0.780,43.493,-0.359,23.497,0.000,0.000
33.4897,-0.779,43.493,-0.441,23.496,0.000,0.000
33.5424,-0.717,43.493,-0.263,23.499,0.000,0.000
33.5980,-0.661,43.495,-0.375,23.497,0.000,0.000
33.6502,-0.651,43.495,-0.367,23.497,0.000,0.000
33.7322,-0.657,43.495,-0.371,23.497,0.000,0.000
33.8096,-0.671,43.495,-0.379,23.497,0.000,0.000
33.8672,-0.690,43.495,-0.389,23.497,0.000,0.000
33.9502,-0.559,43.496,-0.403,23.497,0.000,0.000
34.0113,-0.717,43.493,-0.556,23.493,0.000,0.000
34.0929,-0.740,43.492,-0.573,23.493,0.000,0.000
34.1523,-0.614,43.495,-0.443,23.496,0.000,0.000
34.2148,-0.630,43.495,-0.455,23.496,0.000,0.000
34.2763,-0.642,43.495,-0.464,23.495,0.000,0.000
34.3328,-0.650,43.494,-0.470,23.495,0.000,0.000
34.3837,-0.655,43.494,-0.473,23.495,0.000,0.000
34.4380,-0.658,43.494,-0.476,23.495,0.000,0.000
34.5151,-0.660,43.494,-0.476,23.495,0.000,0.000
34.5924,-0.661,43.494,-0.476,23.495,0.000,0.000
34.6727,-0.688,43.494,-0.318,23.498,0.000,0.000
34.7255,-0.684,43.494,-0.318,23.498,0.000,0.000
34.8064,-0.682,43.495,-0.315,23.498,0.000,0.000
34.8841,-0.657,43.494,-0.473,23.495,0.000,0.000
34.9428,-0.681,43.495,-0.318,23.498,0.000,0.000
35.6663,-0.679,43.495,-0.315,23.498,0.000,0.000
35.7491,-0.703,43.492,-0.158,23.499,0.000,0.000
35.8255,-0.679,43.495,-0.315,23.498,0.000,0.000
35.8839,-0.657,43.494,-0.473,23.495,0.000,0.000
35.9404,-0.682,43.495,-0.315,23.498,0.000,0.000
35.9978,-0.682,43.495,-0.315,23.498,0.000,0.000
36.0557,-0.655,43.494,-0.470,23.495,0.000,0.000
36.1177,-0.655,43.494,-0.470,23.495,0.000,0.000
36.1998,-0.655,43.494,-0.470,23.495,0.000,0.000
36.2877,-0.653,43.494,-0.470,23.495,0.000,0.000
36.3682,-0.653,43.494,-0.470,23.495,0.000,0.000
36.4525,-0.653,43.494,-0.470,23.495,0.000,0.000
36.5336,-0.657,43.494,-0.473,23.495,0.000,0.000
36.5944,-0.653,43.494,-0.470,23.495,0.000,0.000
36.6757,-0.653,43.494,-0.470,23.495,0.000,0.000
36.7608,-0.653,43.494,-0.470,23.495,0.000,0.000
36.8311,-0.653,43.494,-0.470,23.495,0.000,0.000
36.9078,-0.657,43.494,-0.473,23.495,0.000,0.000
36.9643,-0.657,43.494,-0.473,23.495,0.000,0.000
37.0421,-0.658,43.494,-0.473,23.495,0.000,0.000
37.1244,-0.658,43.494,-0.473,23.495,0.000,0.000
37.1765,-0.709,43.492,-0.159,23.499,0.000,0.000
37.2294,-0.709,43.492,-0.159,23.499,0.000,0.000
37.2906,-0.709,43.492,-0.159,23.499,0.000,0.000
37.3761,-0.709,43.492,-0.159,23.499,0.000,0.000
37.4277,-0.684,43.494,-0.318,23.498,0.000,0.000
37.4847,-0.684,43.494,-0.318,23.498,0.000,0.000
37.5647,-0.682,43.495,-0.315,23.498,0.000,0.000
37.6174,-0.682,43.495,-0.315,23.498,0.000,0.000
37.6912,-0.682,43.495,-0.315,23.498,0.000,0.000
37.7409,-0.684,43.494,-0.313,23.498,0.000,0.000
37.8158,-0.684,43.494,-0.313,23.498,0.000,0.000
37.8650,-0.684,43.494,-0.313,23.498,0.000,0.000
37.9439,-4.307,43.164,-3.940,23.167,0.000,0.000
37.9975,-3.331,43.287,-3.147,23.288,0.000,0.000
38.0479,-2.370,43.380,-2.370,23.380,0.000,0.000
38.1241,-1.757,43.446,-1.574,23.447,0.000,0.000
38.1758,-1.134,43.480,-0.952,23.481,0.000,0.000
38.2505,-0.817,43.491,-0.635,23.491,0.000,0.000
38.3049,-0.655,43.494,-0.473,23.495,0.000,0.000
38.3809,-0.497,43.497,-0.315,23.498,0.000,0.000
38.4353,-0.340,43.499,-0.158,23.499,0.000,0.000
38.5113,-0.340,43.499,-0.158,23.499,0.000,0.000
38.5855,-0.340,43.499,-0.157,23.499,0.000,0.000
38.6402,-0.340,43.499,-0.157,23.499,0.000,0.000
38.7290,-0.340,43.499,-0.157,23.499,0.000,0.000
38.7874,-0.340,43.499,-0.157,23.499,0.000,0.000
38.8461,-0.497,43.497,-0.313,23.498,0.000,0.000
38.9112,-0.497,43.497,-0.313,23.498,0.000,0.000
38.9689,-0.497,43.497,-0.315,23.498,0.000,0.000
39.0494,-0.497,43.497,-0.315,23.498,0.000,0.000
39.1303,-0.499,43.497,-0.318,23.498,0.000,0.000
39.1858,-0.499,43.497,-0.318,23.498,0.000,0.000
39.2706,-0.681,43.495,-0.318,23.498,0.000,0.000
39.3283,-0.840,43.492,-0.476,23.495,0.000,0.000
39.4135,-0.840,43.492,-0.476,23.495,0.000,0.000
39.4686,-0.837,43.492,-0.473,23.495,0.000,0.000
39.5509,-0.837,43.492,-0.473,23.495,0.000,0.000
39.6053,-0.837,43.492,-0.473,23.495,0.000,0.000
39.6859,-0.837,43.492,-0.473,23.495,0.000,0.000
39.7699,-0.837,43.492,-0.473,23.495,0.000,0.000
39.8531,-0.837,43.492,-0.470,23.495,0.000,0.000
39.9399,-0.840,43.492,-0.473,23.495,0.000,0.000
40.0168,-0.840,43.492,-0.473,23.495,0.000,0.000
40.0702,-0.861,43.490,-0.315,23.498,0.000,0.000
40.1238,-0.837,43.492,-0.473,23.495,0.000,0.000
40.1969,-0.655,43.494,-0.473,23.495,0.000,0.000
40.2487,-0.655,43.494,-0.473,23.495,0.000,0.000
40.3268,-0.655,43.494,-0.473,23.495,0.000,0.000
40.5350,-0.497,43.497,-0.315,23.498,0.000,0.000
40.6094,-0.498,43.497,-0.318,23.498,0.000,0.000
40.6869,-0.476,43.495,-0.476,23.495,0.000,0.000
40.7653,-0.496,43.497,-0.315,23.498,0.000,0.000
40.8180,-0.496,43.497,-0.315,23.498,0.000,0.000
40.8944,-0.495,43.497,-0.313,23.498,0.000,0.000
40.9701,-0.497,43.497,-0.313,23.498,0.000,0.000
41.0255,-0.497,43.497,-0.313,23.498,0.000,0.000
41.0974,-0.497,43.497,-0.313,23.498,0.000,0.000
41.1742,-0.497,43.497,-0.313,23.498,0.000,0.000
41.2496,-0.524,43.496,-0.157,23.499,0.000,0.000
41.3289,-0.521,43.496,-0.158,23.499,0.000,0.000
41.4053,-0.703,43.492,-0.158,23.499,0.000,0.000
41.4809,-0.698,43.492,-0.158,23.499,0.000,0.000
41.5600,-0.676,43.495,-0.315,23.498,0.000,0.000
41.6340,-0.676,43.495,-0.315,23.498,0.000,0.000
41.7185,-0.676,43.495,-0.315,23.498,0.000,0.000
41.8003,-0.833,43.492,-0.473,23.495,0.000,0.000
41.8830,-0.833,43.492,-0.473,23.495,0.000,0.000
41.9637,-0.856,43.491,-0.315,23.498,0.000,0.000
42.0252,-0.833,43.492,-0.473,23.495,0.000,0.000
42.1032,-0.837,43.492,-0.476,23.495,0.000,0.000
42.1802,-0.837,43.492,-0.476,23.495,0.000,0.000
42.2367,-0.840,43.492,-0.476,23.495,0.000,0.000
42.3160,-0.840,43.492,-0.476,23.495,0.000,0.000
42.3768,-0.657,43.494,-0.473,23.495,0.000,0.000
42.4696,-0.682,43.495,-0.315,23.498,0.000,0.000
42.5314,-0.657,43.494,-0.473,23.495,0.000,0.000
42.6156,-0.657,43.494,-0.473,23.495,0.000,0.000
42.6741,-0.658,43.494,-0.473,23.495,0.000,0.000
42.7540,-0.657,43.494,-0.473,23.495,0.000,0.000
42.8314,-0.657,43.494,-0.473,23.495,0.000,0.000
42.8948,-0.499,43.497,-0.315,23.498,0.000,0.000
42.9745,-0.499,43.497,-0.315,23.498,0.000,0.000
43.0347,-0.497,43.497,-0.315,23.498,0.000,0.000
43.1169,-0.498,43.497,-0.318,23.498,0.000,0.000
43.1963,-0.496,43.497,-0.315,23.498,0.000,0.000
43.2721,-0.496,43.497,-0.315,23.498,0.000,0.000
