t_s,red_x_cm,red_y_cm,green_x_cm,green_y_cm,blue_x_cm,blue_y_cm
0.0271,0.024,-43.503,-0.194,-23.480,0.000,0.000
0.0616,0.024,-43.479,-0.194,-23.674,0.000,0.000
0.0953,0.024,-43.432,-0.194,-24.062,0.000,0.000
0.1283,0.024,-43.432,-0.194,-24.062,0.000,0.000
0.1604,0.024,-43.503,-0.194,-23.480,0.000,0.000
0.1994,0.047,-43.479,-0.388,-23.674,0.000,0.000
0.2290,0.024,-43.479,-0.194,-23.674,0.000,0.000
0.2655,0.024,-43.503,-0.194,-23.480,0.000,0.000
0.2977,0.024,-43.503,-0.194,-23.480,0.000,0.000
0.3293,0.047,-43.432,-0.388,-24.062,0.000,0.000
0.3648,0.024,-43.503,-0.194,-23.480,0.000,0.000
0.3969,0.024,-43.503,-0.194,-23.480,0.000,0.000
0.4272,0.024,-43.309,-0.194,-23.286,0.000,0.000
0.4617,0.024,-43.503,-0.194,-23.480,0.000,0.000
0.4942,0.024,-43.503,-0.194,-23.480,0.000,0.000
0.5273,0.047,-43.503,-0.388,-23.480,0.000,0.000
0.5631,0.024,-43.503,-0.194,-23.480,0.000,0.000
0.5968,0.024,-43.503,-0.194,-23.480,0.000,0.000
0.6277,0.024,-43.503,-0.194,-23.480,0.000,0.000
0.6600,0.024,-43.503,-0.194,-23.480,0.000,0.000
0.6958,0.024,-43.456,-0.194,-23.868,0.000,0.000
0.7302,0.024,-43.574,-0.194,-22.898,0.000,0.000
0.7609,0.047,-43.503,-0.388,-23.480,0.000,0.000
0.7927,0.024,-43.503,-0.194,-23.480,0.000,0.000
0.8271,0.024,-43.309,-0.194,-23.286,0.000,0.000
0.8627,0.024,-43.503,-0.194,-23.480,0.000,0.000
0.8973,0.024,-43.503,-0.194,-23.480,0.000,0.000
0.9284,0.024,-43.503,-0.194,-23.480,0.000,0.000
0.9621,0.024,-43.503,-0.194,-23.480,0.000,0.000
0.9954,0.024,-43.503,-0.194,-23.480,0.000,0.000
1.0298,0.047,-43.503,-0.388,-23.480,0.000,0.000
1.0612,0.024,-43.503,-0.194,-23.480,0.000,0.000
1.0952,0.024,-43.479,-0.194,-23.674,0.000,0.000
1.1272,0.024,-43.503,-0.194,-23.480,0.000,0.000
1.1607,0.024,-43.503,-0.194,-23.480,0.000,0.000
1.1970,0.024,-43.503,-0.194,-23.480,0.000,0.000
1.2304,0.024,-43.503,-0.194,-23.480,0.000,0.000
1.2611,0.024,-43.503,-0.194,-23.480,0.000,0.000
1.2965,0.024,-43.503,-0.194,-23.480,0.000,0.000
1.3309,0.024,-43.503,-0.194,-23.480,0.000,0.000
1.3629,0.024,-43.503,-0.194,-23.480,0.000,0.000
1.3960,0.024,-43.456,-0.194,-23.868,0.000,0.000
1.4287,0.024,-43.503,-0.194,-23.480,0.000,0.000
1.4627,0.024,-43.503,-0.194,-23.480,0.000,0.000
1.4997,0.024,-43.503,-0.194,-23.480,0.000,0.000
1.5278,0.024,-43.503,-0.194,-23.480,0.000,0.000
1.5617,0.024,-43.503,-0.194,-23.480,0.000,0.000
1.5971,0.024,-43.503,-0.194,-23.480,0.000,0.000
1.6287,0.024,-43.503,-0.194,-23.480,0.000,0.000
1.6623,0.024,-43.503,-0.194,-23.480,0.000,0.000
1.6992,0.024,-43.309,-0.194,-23.286,0.000,0.000
1.7309,0.024,-43.503,-0.194,-23.480,0.000,0.000
1.7628,0.024,-43.503,-0.194,-23.480,0.000,0.000
1.8000,0.024,-43.456,-0.194,-23.868,0.000,0.000
1.8280,0.024,-43.503,-0.194,-23.480,0.000,0.000
1.8616,0.024,-43.503,-0.194,-23.480,0.000,0.000
1.8986,0.024,-43.503,-0.194,-23.480,0.000,0.000
1.9297,0.024,-43.503,-0.194,-23.480,0.000,0.000
1.9647,0.024,-43.479,-0.194,-23.674,0.000,0.000
1.9951,0.024,-43.503,-0.194,-23.480,0.000,0.000
2.0292,0.024,-43.503,-0.194,-23.480,0.000,0.000
