t_s,red_x_cm,red_y_cm,green_x_cm,green_y_cm,blue_x_cm,blue_y_cm
13.0092,1.953,3.596,0.691,23.640,0.000,0.000
13.2785,2.604,3.183,4.286,23.087,0.000,0.000
13.3101,2.870,3.183,5.253,23.087,0.000,0.000
13.3438,3.412,3.047,6.636,22.810,0.000,0.000
13.3735,3.811,2.774,8.156,22.257,0.000,0.000
13.4099,4.485,2.225,10.092,21.428,0.000,0.000
13.4427,5.714,1.401,12.442,20.184,0.000,0.000
13.4750,6.935,0.025,15.345,18.386,0.000,0.000
13.5103,8.154,-2.174,18.386,15.207,0.000,0.000
13.5421,9.235,-5.474,21.290,10.645,0.000,0.000
13.5774,10.186,-10.574,23.502,4.424,0.000,0.000
13.6093,10.464,-18.039,23.640,-3.041,0.000,0.000
13.7124,16.229,-35.001,23.640,-3.041,0.000,0.000
13.8812,16.229,-35.001,23.640,-3.041,0.000,0.000
13.9135,16.229,-35.001,23.640,-3.041,0.000,0.000
13.9442,16.229,-35.001,23.640,-3.041,0.000,0.000
13.9762,16.229,-35.001,23.640,-3.041,0.000,0.000
14.0093,16.229,-35.001,23.640,-3.041,0.000,0.000
14.0438,16.229,-35.001,23.640,-3.041,0.000,0.000
14.0749,16.229,-35.001,23.640,-3.041,0.000,0.000
14.1125,16.229,-35.001,23.640,-3.041,0.000,0.000
14.1443,16.229,-35.001,23.640,-3.041,0.000,0.000
14.1761,16.229,-35.001,23.640,-3.041,0.000,0.000
14.2770,16.229,-35.001,23.640,-3.041,0.000,0.000
14.3117,16.229,-35.001,23.640,-3.041,0.000,0.000
14.3446,16.229,-35.001,23.640,-3.041,0.000,0.000
14.3760,16.229,-35.001,23.640,-3.041,0.000,0.000
14.4116,16.229,-35.001,22.119,-8.295,0.000,0.000
14.4439,16.229,-35.001,23.363,-3.594,0.000,0.000
14.4750,16.229,-35.001,23.778,1.106,0.000,0.000
14.5173,16.229,-35.001,23.225,5.253,0.000,0.000
14.5530,16.229,-35.001,22.396,7.880,0.000,0.000
14.5844,16.229,-35.001,22.257,8.295,0.000,0.000
14.6181,16.229,-35.001,22.949,6.221,0.000,0.000
14.6535,16.229,-35.001,23.778,1.935,0.000,0.000
14.6827,16.229,-35.001,23.087,-5.392,0.000,0.000
14.7166,16.229,-35.001,19.631,-13.410,0.000,0.000
14.8165,16.229,-35.001,19.631,-13.410,0.000,0.000
14.8509,16.229,-35.001,19.631,-13.410,0.000,0.000
14.8843,16.229,-35.001,19.631,-13.410,0.000,0.000
14.9488,16.229,-35.001,19.631,-13.410,0.000,0.000
14.9837,16.229,-35.001,19.631,-13.410,0.000,0.000
15.0269,16.229,-35.001,19.631,-13.410,0.000,0.000
15.0553,16.229,-35.001,19.631,-13.410,0.000,0.000
15.0833,16.229,-35.001,19.631,-13.410,0.000,0.000
15.1142,16.229,-35.001,19.631,-13.410,0.000,0.000
15.1439,16.229,-35.001,19.631,-13.410,0.000,0.000
15.1786,16.229,-35.001,19.631,-13.410,0.000,0.000
15.2128,16.229,-35.001,19.631,-13.410,0.000,0.000
15.2434,16.229,-35.001,19.631,-13.410,0.000,0.000
15.2769,16.229,-35.001,19.631,-13.410,0.000,0.000
15.3152,16.229,-35.001,19.631,-13.410,0.000,0.000
15.3459,5.605,-32.094,19.631,-13.410,0.000,0.000
15.3776,16.582,-28.133,19.631,-13.410,0.000,0.000
15.4146,25.287,-25.608,19.631,-13.410,0.000,0.000
15.4795,33.371,-23.794,19.354,-12.580,0.000,0.000
15.5124,32.057,-20.806,23.087,-5.668,0.000,0.000
15.5448,30.366,-16.684,23.778,0.276,0.000,0.000
15.5770,29.110,-13.239,23.363,4.562,0.000,0.000
15.6154,27.860,-10.620,22.534,7.742,0.000,0.000
15.6487,26.330,-8.965,21.704,9.677,0.000,0.000
15.6783,24.654,-8.418,21.290,10.645,0.000,0.000
15.7116,22.831,-8.977,21.290,10.507,0.000,0.000
15.7469,20.861,-10.359,21.843,9.124,0.000,0.000
15.7757,18.605,-12.707,22.810,6.636,0.000,0.000
15.8119,16.631,-15.737,23.640,2.765,0.000,0.000
15.8434,14.669,-20.147,23.640,-2.627,0.000,0.000
15.8791,13.150,-26.366,21.981,-8.986,0.000,0.000
15.9143,12.645,-33.142,17.972,-15.622,0.000,0.000
16.0466,1.475,-27.369,17.972,-15.622,0.000,0.000
16.0781,-6.595,-25.769,17.972,-15.622,0.000,0.000
16.1119,-15.673,-24.020,17.972,-15.622,0.000,0.000
16.1463,-25.616,-20.288,17.972,-15.622,0.000,0.000
16.1795,-34.446,-13.439,17.972,-15.622,0.000,0.000
16.2129,-38.931,-4.030,17.972,-15.622,0.000,0.000
16.2466,-36.414,5.532,17.972,-15.622,0.000,0.000
16.2881,-28.713,10.887,17.972,-15.622,0.000,0.000
16.3109,-18.630,11.054,17.972,-15.622,0.000,0.000
16.3497,-8.270,5.054,17.972,-15.622,0.000,0.000
16.3840,-0.441,-5.843,17.972,-15.622,0.000,0.000
16.4140,3.585,-19.114,17.972,-15.622,0.000,0.000
16.4484,3.379,-32.941,17.972,-15.622,0.000,0.000
16.4791,-3.314,-39.634,17.972,-15.622,0.000,0.000
16.5121,-8.635,-31.923,17.972,-15.622,0.000,0.000
16.5461,-7.314,-20.883,11.889,-20.322,0.000,0.000
16.5784,-2.466,-9.990,16.036,-17.419,0.000,0.000
16.6133,5.067,0.062,18.663,-14.516,0.000,0.000
16.6493,13.031,6.613,20.460,-11.889,0.000,0.000
16.6807,22.828,10.084,21.566,-9.539,0.000,0.000
16.7132,32.345,9.074,22.534,-7.465,0.000,0.000
16.7452,39.626,3.161,23.087,-5.530,0.000,0.000
16.7802,41.303,-6.538,23.502,-3.594,0.000,0.000
16.8136,36.115,-15.937,23.640,-3.041,0.000,0.000
16.8438,27.430,-22.501,23.225,-4.700,0.000,0.000
16.8787,18.054,-26.797,22.119,-8.295,0.000,0.000
16.9158,9.821,-29.809,19.492,-13.410,0.000,0.000
16.9507,2.461,-33.378,14.516,-18.801,0.000,0.000
17.0167,-4.723,-39.488,14.516,-18.801,0.000,0.000
17.1174,-13.454,-27.749,14.516,-18.801,0.000,0.000
17.1615,-18.755,-23.753,14.516,-18.801,0.000,0.000
17.1896,-24.072,-19.881,14.516,-18.801,0.000,0.000
17.2177,-29.398,-15.846,14.516,-18.801,0.000,0.000
17.2587,-34.024,-11.791,14.516,-18.801,0.000,0.000
17.2887,-37.668,-7.291,14.516,-18.801,0.000,0.000
17.3165,-37.668,-7.291,14.516,-18.801,0.000,0.000
17.3557,-37.541,0.791,14.516,-18.801,0.000,0.000
17.3856,-33.361,2.110,14.516,-18.801,0.000,0.000
17.4189,-28.494,1.050,14.516,-18.801,0.000,0.000
17.4516,-23.371,-2.116,14.516,-18.801,0.000,0.000
17.4840,-19.253,-6.559,14.516,-18.801,0.000,0.000
17.5147,-16.133,-12.849,14.516,-18.801,0.000,0.000
17.5485,-11.323,-21.839,7.880,-22.119,0.000,0.000
17.5785,-0.457,-31.963,12.718,-19.769,0.000,0.000
17.6128,15.921,-35.625,14.239,-18.525,0.000,0.000
17.6471,29.945,-26.787,13.686,-19.078,0.000,0.000
17.6823,31.627,-12.069,13.686,-19.078,0.000,0.000
17.7163,24.596,-0.453,15.345,-17.834,0.000,0.000
17.7487,13.210,3.581,17.695,-15.622,0.000,0.000
17.7794,2.386,-4.307,19.907,-12.857,0.000,0.000
17.8172,1.949,-13.871,21.151,-10.507,0.000,0.000
17.8479,9.237,-25.366,21.151,-10.368,0.000,0.000
17.8704,9.237,-25.366,21.151,-10.368,0.000,0.000
17.9135,9.237,-25.366,15.622,-17.557,0.000,0.000
17.9464,9.237,-25.366,10.230,-21.013,0.000,0.000
17.9812,21.228,-9.917,5.530,-22.672,0.000,0.000
18.0145,9.933,-5.142,1.382,-23.363,0.000,0.000
18.0447,-3.886,-3.323,-2.765,-23.087,0.000,0.000
18.0809,-15.190,-4.598,-6.359,-22.119,0.000,0.000
18.1133,-25.789,-10.088,-10.230,-20.460,0.000,0.000
18.1482,-31.197,-18.955,-14.377,-17.834,0.000,0.000
18.1830,-27.075,-27.705,-18.525,-13.548,0.000,0.000
18.2138,-16.117,-27.893,-20.322,-10.092,0.000,0.000
18.2466,-6.718,-22.584,-20.875,-8.848,0.000,0.000
18.2841,-0.839,-14.151,-20.322,-10.507,0.000,0.000
18.3151,-0.445,-5.414,-18.386,-13.824,0.000,0.000
18.3499,-5.822,0.106,-14.792,-17.695,0.000,0.000
18.3833,-14.439,-1.113,-9.954,-20.737,0.000,0.000
18.4144,-21.090,-10.762,-5.392,-22.396,0.000,0.000
18.4467,-20.005,-26.451,-2.765,-23.087,0.000,0.000
18.4812,-6.832,-39.208,-2.627,-22.949,0.000,0.000
18.5140,9.720,-35.425,-3.456,-22.810,0.000,0.000
18.5473,18.101,-23.227,-1.382,-23.087,0.000,0.000
18.5826,19.020,-11.593,3.041,-23.087,0.000,0.000
18.6151,15.437,-3.201,8.709,-21.843,0.000,0.000
