t_s,red_x_cm,red_y_cm,green_x_cm,green_y_cm,blue_x_cm,blue_y_cm
11.8104,0.158,43.675,0.158,23.538,0.000,0.000
11.8471,0.335,43.675,0.158,23.538,0.000,0.000
11.8799,0.474,43.480,0.474,23.696,0.000,0.000
11.9111,0.651,43.536,0.474,23.222,0.000,0.000
11.9473,0.985,43.517,0.632,23.380,0.000,0.000
11.9847,1.143,43.517,0.790,23.380,0.000,0.000
12.0121,1.478,43.517,0.948,23.380,0.000,0.000
12.0445,1.775,43.675,1.422,23.538,0.000,0.000
12.0782,2.463,43.480,1.580,23.696,0.000,0.000
12.1172,2.974,43.498,1.738,23.538,0.000,0.000
12.1462,3.606,43.340,2.370,23.380,0.000,0.000
12.1812,4.452,43.228,2.686,24.328,0.000,0.000
12.2116,5.279,43.164,3.159,23.380,0.000,0.000
12.2478,6.460,42.829,3.633,23.222,0.000,0.000
12.2822,7.956,42.513,4.423,22.906,0.000,0.000
12.3185,9.592,42.197,5.529,22.590,0.000,0.000
12.3479,11.757,41.509,6.635,22.432,0.000,0.000
12.3866,14.258,40.682,7.899,21.958,0.000,0.000
12.4181,17.213,39.539,9.794,21.168,0.000,0.000
12.4486,20.699,37.708,11.690,20.221,0.000,0.000
12.4804,24.872,34.985,13.744,17.851,0.000,0.000
12.5152,29.287,31.053,16.745,16.745,0.000,0.000
12.5452,33.971,25.597,18.957,13.586,0.000,0.000
12.5807,38.284,17.976,21.326,9.320,0.000,0.000
12.6148,41.044,8.114,23.380,4.581,0.000,0.000
12.6470,41.453,-4.201,22.906,-3.317,0.000,0.000
12.7185,27.967,-30.486,15.955,-17.061,0.000,0.000
12.7478,14.025,-39.483,8.373,-21.642,0.000,0.000
12.8160,-19.277,-37.912,-10.268,-21.484,0.000,0.000
12.8459,-31.685,-28.831,-17.377,-16.113,0.000,0.000
12.8826,-39.771,-16.600,-20.695,-9.005,0.000,0.000
12.9158,-43.089,-4.369,-24.012,-1.896,0.000,0.000
12.9505,-42.931,6.618,-23.854,3.791,0.000,0.000
12.9846,-40.645,16.126,-22.274,8.531,0.000,0.000
13.0226,-37.001,23.394,-20.221,12.796,0.000,0.000
13.0537,-32.903,28.925,-17.535,15.323,0.000,0.000
13.0842,-29.008,32.651,-16.113,18.167,0.000,0.000
13.1233,-25.699,35.310,-14.218,19.589,0.000,0.000
13.1535,-23.060,37.141,-12.638,20.537,0.000,0.000
13.1816,-21.285,38.377,-11.216,20.537,0.000,0.000
13.2152,-20.104,38.990,-10.742,21.326,0.000,0.000
13.2473,-19.713,39.130,-11.058,21.642,0.000,0.000
13.2801,-20.160,39.084,-10.268,20.537,0.000,0.000
13.3149,-21.266,38.358,-11.374,20.695,0.000,0.000
13.3507,-23.255,37.234,-12.480,19.747,0.000,0.000
13.3807,-25.894,35.366,-14.060,19.115,0.000,0.000
13.4164,-29.203,32.689,-15.955,17.851,0.000,0.000
13.4491,-32.986,28.729,-18.325,15.481,0.000,0.000
13.4818,-37.215,23.097,-19.905,12.322,0.000,0.000
13.5159,-41.119,15.280,-22.748,8.215,0.000,0.000
13.5495,-43.619,4.843,-24.012,2.370,0.000,0.000
13.5827,-42.596,-7.603,-23.696,-4.423,0.000,0.000
13.6162,-37.438,-21.191,-21.011,-12.006,0.000,0.000
13.6476,-27.196,-32.959,-15.008,-17.061,0.000,0.000
13.6803,-12.250,-40.468,-6.951,-22.274,0.000,0.000
13.7500,19.491,-37.159,9.952,-20.379,0.000,0.000
13.7813,31.286,-27.242,16.271,-16.113,0.000,0.000
13.8155,38.256,-16.153,20.063,-9.794,0.000,0.000
13.8498,41.202,-5.001,23.538,-2.528,0.000,0.000
13.8826,41.360,5.316,23.696,2.844,0.000,0.000
13.9149,39.799,14.100,21.958,7.741,0.000,0.000
13.9507,36.750,20.913,20.853,11.374,0.000,0.000
13.9807,33.832,25.876,18.641,14.218,0.000,0.000
14.0174,30.783,29.501,17.535,16.429,0.000,0.000
14.0511,28.515,31.917,15.797,16.903,0.000,0.000
14.0826,26.861,33.377,14.850,18.009,0.000,0.000
14.1223,26.015,34.046,14.534,18.325,0.000,0.000
14.1507,26.015,34.120,14.534,17.693,0.000,0.000
14.1865,27.019,33.237,15.008,17.693,0.000,0.000
14.2142,28.599,31.880,16.587,17.219,0.000,0.000
14.2499,31.155,29.241,17.377,15.639,0.000,0.000
14.2847,33.971,25.597,18.957,13.586,0.000,0.000
14.3186,37.280,20.123,20.853,10.584,0.000,0.000
14.3494,40.217,12.799,22.906,6.793,0.000,0.000
14.3810,41.769,3.207,23.222,1.264,0.000,0.000
14.4488,35.551,-21.033,20.537,-11.848,0.000,0.000
14.4825,25.801,-32.587,14.850,-17.219,0.000,0.000
14.5158,11.915,-40.208,6.793,-21.484,0.000,0.000
14.6188,11.915,-40.208,6.793,-21.484,0.000,0.000
14.6490,11.915,-40.208,6.793,-21.484,0.000,0.000
14.7497,11.915,-40.208,6.793,-21.484,0.000,0.000
14.7816,11.915,-40.208,6.793,-21.484,0.000,0.000
14.8197,11.915,-40.208,6.793,-21.484,0.000,0.000
14.8490,11.915,-40.208,6.793,-21.484,0.000,0.000
14.8807,11.915,-40.208,6.793,-21.484,0.000,0.000
14.9174,11.915,-40.208,6.793,-21.484,0.000,0.000
15.0233,11.915,-40.208,6.793,-21.484,0.000,0.000
15.0541,11.915,-40.208,6.793,-21.484,0.000,0.000
15.0869,11.915,-40.208,6.793,-21.484,0.000,0.000
15.1275,11.915,-40.208,6.793,-21.484,0.000,0.000
15.1573,11.915,-40.208,6.793,-21.484,0.000,0.000
15.1843,11.915,-40.208,6.793,-21.484,0.000,0.000
15.2193,11.915,-40.208,6.793,-21.484,0.000,0.000
15.2506,11.915,-40.208,6.793,-21.484,0.000,0.000
15.2806,-15.168,-39.483,-9.162,-21.642,0.000,0.000
15.3496,15.095,-39.148,6.793,-21.484,0.000,0.000
15.3841,26.963,-31.490,15.481,-17.535,0.000,0.000
15.4172,35.542,-21.916,19.115,-11.848,0.000,0.000
15.4495,40.227,-10.912,21.326,-6.319,0.000,0.000
15.4842,41.686,-0.753,22.432,-1.106,0.000,0.000
15.5198,41.081,7.975,23.064,4.265,0.000,0.000
15.5807,37.457,19.751,20.853,10.742,0.000,0.000
15.6175,35.486,23.218,19.589,12.796,0.000,0.000
15.6567,34.148,25.402,18.957,13.744,0.000,0.000
15.7164,33.479,26.248,18.641,14.060,0.000,0.000
15.7503,34.408,24.872,19.747,13.744,0.000,0.000
15.7819,36.137,22.446,20.063,11.848,0.000,0.000
15.8175,38.228,18.292,21.800,9.636,0.000,0.000
15.8486,40.449,12.325,22.432,6.319,0.000,0.000
15.8820,41.537,4.443,23.696,1.264,0.000,0.000
15.9155,41.202,-5.614,23.538,-3.317,0.000,0.000
15.9511,37.828,-16.897,20.695,-9.478,0.000,0.000
16.0189,18.477,-37.299,11.058,-20.695,0.000,0.000
16.0480,3.885,-41.806,3.002,-22.906,0.000,0.000
16.0889,-10.614,-40.961,-5.845,-22.590,0.000,0.000
16.1167,-24.147,-35.152,-13.902,-19.431,0.000,0.000
16.1876,-40.431,-15.224,-22.590,-8.689,0.000,0.000
16.2203,-43.257,-5.177,-22.590,-2.528,0.000,0.000
16.2502,-43.424,3.839,-24.170,1.896,0.000,0.000
16.2822,-42.122,11.283,-23.222,6.161,0.000,0.000
16.3173,-40.310,16.777,-22.116,9.005,0.000,0.000
16.3503,-38.730,20.615,-20.537,10.900,0.000,0.000
16.3842,-37.438,22.920,-21.011,12.322,0.000,0.000
16.4197,-36.862,23.803,-19.905,12.322,0.000,0.000
16.4837,-38.265,21.285,-21.484,11.216,0.000,0.000
16.5210,-40.133,17.743,-22.116,9.794,0.000,0.000
16.5517,-41.825,12.678,-22.748,6.319,0.000,0.000
16.6170,-43.442,-3.903,-24.012,-2.844,0.000,0.000
16.6905,-34.204,-26.210,-18.483,-14.376,0.000,0.000
16.7508,-9.155,-41.063,-4.739,-23.222,0.000,0.000
16.8211,19.100,-37.280,10.268,-20.853,0.000,0.000
16.8585,29.993,-28.831,16.745,-16.113,0.000,0.000
16.8876,36.592,-19.165,20.695,-11.216,0.000,0.000
16.9529,41.732,-0.399,23.538,-1.106,0.000,0.000
16.9887,41.295,7.008,22.748,3.475,0.000,0.000
17.0254,40.291,12.678,22.274,6.319,0.000,0.000
17.0584,38.814,16.637,21.326,8.689,0.000,0.000
17.0879,37.847,19.175,20.537,9.636,0.000,0.000
17.1225,37.419,20.085,21.168,10.900,0.000,0.000
