t_s,red_x_cm,red_y_cm,green_x_cm,green_y_cm,blue_x_cm,blue_y_cm
11.5438,0.797,42.363,0.631,23.513,0.000,0.000
11.5758,1.285,42.363,0.789,23.513,0.000,0.000
11.6061,1.601,42.363,1.105,23.513,0.000,0.000
11.6424,2.089,42.197,1.262,23.513,0.000,0.000
11.6728,2.570,42.197,1.578,23.513,0.000,0.000
11.7091,3.216,42.197,1.894,23.513,0.000,0.000
11.7426,3.855,42.039,2.367,23.355,0.000,0.000
11.7783,4.659,41.882,2.840,23.197,0.000,0.000
11.8127,5.794,41.716,3.314,23.197,0.000,0.000
11.8468,7.079,41.559,4.103,23.039,0.000,0.000
11.8782,8.522,41.235,5.050,22.881,0.000,0.000
11.9134,10.296,40.754,5.997,22.566,0.000,0.000
11.9451,12.543,40.108,7.417,22.250,0.000,0.000
11.9758,14.962,38.981,8.679,21.619,0.000,0.000
12.0083,18.344,37.530,10.573,20.830,0.000,0.000
12.0415,21.876,35.599,12.782,19.725,0.000,0.000
12.0731,25.912,32.540,14.833,17.990,0.000,0.000
12.1071,30.248,28.197,17.516,15.465,0.000,0.000
12.1409,34.757,22.079,20.041,11.993,0.000,0.000
12.1759,38.627,13.873,22.092,7.259,0.000,0.000
12.2080,40.559,3.089,23.197,1.105,0.000,0.000
12.2463,39.266,-9.484,22.566,-5.681,0.000,0.000
12.2733,33.322,-22.688,18.936,-13.098,0.000,0.000
12.3060,21.884,-33.795,12.624,-19.410,0.000,0.000
12.3401,6.553,-40.236,4.734,-23.039,0.000,0.000
12.3753,-9.214,-40.055,-4.418,-23.355,0.000,0.000
12.4080,-24.153,-33.637,-13.571,-19.252,0.000,0.000
12.4404,-34.630,-23.154,-19.252,-13.729,0.000,0.000
12.4758,-40.416,-11.423,-22.724,-6.628,0.000,0.000
12.5100,-42.197,0.481,-23.513,0.316,0.000,0.000
12.5441,-41.070,10.626,-22.881,5.997,0.000,0.000
12.5752,-38.011,18.840,-21.146,10.573,0.000,0.000
12.6090,-34.149,25.288,-18.936,14.044,0.000,0.000
12.6420,-30.286,29.797,-16.727,16.569,0.000,0.000
12.6757,-26.746,33.014,-14.676,18.463,0.000,0.000
12.7077,-23.845,35.276,-13.098,19.568,0.000,0.000
12.7440,-21.591,36.726,-11.835,20.357,0.000,0.000
12.7726,-19.975,37.530,-11.046,20.830,0.000,0.000
12.8081,-19.171,38.019,-10.573,20.988,0.000,0.000
12.8476,-19.171,38.019,-10.573,20.988,0.000,0.000
12.8761,-19.817,37.696,-10.888,20.830,0.000,0.000
12.9107,-21.102,36.892,-11.677,20.357,0.000,0.000
12.9420,-23.192,35.607,-12.940,19.568,0.000,0.000
12.9752,-26.092,33.668,-14.518,18.621,0.000,0.000
13.0113,-29.474,30.609,-16.412,16.885,0.000,0.000
13.0398,-33.502,26.265,-18.621,14.360,0.000,0.000
13.0746,-37.530,20.148,-20.830,10.888,0.000,0.000
13.1103,-41.070,11.611,-22.881,6.154,0.000,0.000
13.1451,-42.332,0.661,-24.144,0.000,0.000,0.000
13.1758,-42.332,0.661,-24.144,0.000,0.000,0.000
13.2115,-33.487,-24.800,-18.936,-13.887,0.000,0.000
13.2452,-21.531,-35.276,-13.098,-19.568,0.000,0.000
13.2726,-21.531,-35.276,-13.098,-19.568,0.000,0.000
13.3128,9.710,-39.424,4.418,-22.724,0.000,0.000
13.3450,23.372,-33.134,12.624,-19.410,0.000,0.000
13.3742,23.372,-33.134,12.624,-19.410,0.000,0.000
13.4134,38.477,-11.881,21.777,-7.417,0.000,0.000
13.4417,40.401,-1.105,23.039,-1.105,0.000,0.000
13.4711,40.401,-1.105,23.039,-1.105,0.000,0.000
13.5119,37.508,16.270,21.303,8.995,0.000,0.000
13.5379,37.508,16.270,21.303,8.995,0.000,0.000
13.5686,34.772,22.230,19.725,12.309,0.000,0.000
13.5987,31.706,26.408,18.147,14.833,0.000,0.000
13.6451,27.047,31.571,15.307,17.516,0.000,0.000
