Time,Angular velocity
0,3.15682
0.0166667,3.15423
0.0333333,3.14917
0.05,3.14657
0.0666667,3.1436
0.0833333,3.14201
0.1,3.14034
0.116667,3.13863
0.133333,3.13679
0.15,3.13506
0.166667,3.13331
0.183333,3.13146
0.2,3.12959
0.216667,3.12773
0.233333,3.12584
0.25,3.12393
0.266667,3.12207
0.283333,3.11538
0.3,3.11376
0.316667,3.11205
0.333333,3.11076
0.35,3.09462
0.366667,3.09242
0.383333,3.08993
0.4,3.08773
0.416667,3.08766
0.433333,3.08378
0.45,3.08134
0.466667,3.07889
0.483333,3.07552
0.5,3.0728
0.516667,3.07033
0.533333,3.06703
0.55,3.06432
0.566667,3.06138
0.583333,3.05872
0.6,3.05584
0.616667,3.05346
0.633333,3.05033
0.65,3.04759
0.666667,3.04478
0.683333,3.04208
0.7,3.03965
0.716667,3.03677
0.733333,3.03418
0.75,3.02782
0.766667,3.02488
0.783333,3.00498
0.8,2.9979
0.816667,2.99481
0.833333,2.99084
0.85,2.98811
0.866667,2.9856
0.883333,2.98383
0.9,2.98109
0.916667,2.97873
0.933333,2.97623
0.95,2.97392
0.966667,2.97165
0.983333,2.96915
1,2.96929
1.01667,2.9651
1.03333,2.96421
1.05,2.96262
1.06667,2.96065
1.08333,2.95889
1.1,2.95825
1.11667,2.95538
1.13333,2.934
1.15,2.93104
1.16667,2.92726
1.18333,2.92447
1.2,2.92183
1.21667,2.91954
1.23333,2.91731
1.25,2.91559
1.26667,2.91386
1.28333,2.88944
1.3,2.88301
1.31667,2.8596
1.33333,2.86186
1.35,2.86143
1.36667,2.85252
1.38333,2.84997
1.4,2.84795
1.41667,2.84587
1.43333,2.84278
1.45,2.83954
1.46667,2.83722
1.48333,2.83522
1.5,2.83365
1.51667,2.83052
1.53333,2.82626
1.55,2.82321
1.56667,2.82044
1.58333,2.82057
1.6,2.80296
1.61667,2.80139
1.63333,2.79762
1.65,2.79512
1.66667,2.79253
1.68333,2.7905
1.7,2.78886
1.71667,2.78914
1.73333,2.78162
1.75,2.78794
1.76667,2.78626
1.78333,2.77213
1.8,2.75951
1.81667,2.75308
1.83333,2.74768
1.85,2.74264
1.86667,2.70633
1.88333,2.70321
1.9,2.70094
1.91667,2.69842
1.93333,2.69702
1.95,2.69514
1.96667,2.6926
1.98333,2.68871
2,2.68568
2.01667,2.68346
2.03333,2.68163
2.05,2.6786
2.06667,2.676
2.08333,2.67387
2.1,2.6718
2.11667,2.66872
2.13333,2.66668
2.15,2.66422
2.16667,2.66102
2.18333,2.65525
2.2,2.65692
