Time,Angular velocity
7.73333,0.460377
7.75,0.457504
7.76667,0.468096
7.78333,0.450612
7.8,0.446847
7.81667,0.455379
7.83333,0.457251
7.85,0.472733
7.86667,0.464117
7.88333,0.463499
7.9,0.458885
7.91667,0.469675
7.93333,0.491197
7.95,0.534983
7.96667,0.529089
7.98333,0.520844
8,0.500166
8.01667,0.470477
8.03333,0.457546
8.05,0.496385
8.06667,0.470763
8.08333,0.462011
8.1,0.455745
8.11667,0.448853
8.13333,0.451319
8.15,0.447449
8.16667,0.441148
8.18333,0.444415
8.2,0.447549
8.21667,0.427017
8.23333,0.442531
8.25,0.436438
8.26667,0.434847
8.28333,0.41422
8.3,0.424994
8.31667,0.421809
8.33333,0.422866
8.35,0.438253
8.36667,0.421468
8.38333,0.424012
8.4,0.425306
8.41667,0.421325
8.43333,0.420084
8.45,0.418963
8.46667,0.419661
8.48333,0.426119
8.5,0.429538
8.51667,0.433809
8.53333,0.432018
8.55,0.433764
8.56667,0.437065
8.58333,0.435196
8.6,0.425496
8.61667,0.424828
8.63333,0.422193
8.65,0.425131
8.66667,0.429418
8.68333,0.42983
8.7,0.427785
8.71667,0.429436
8.73333,0.422032
8.75,0.41891
8.76667,0.416033
8.78333,0.406685
8.8,0.404239
8.81667,0.388265
8.83333,0.384324
8.85,0.386218
8.86667,0.391297
8.88333,0.380076
8.9,0.365805
8.91667,0.365359
8.93333,0.367603
8.95,0.370031
8.96667,0.372639
8.98333,0.372678
9,0.36607
9.01667,0.366498
9.03333,0.366751
9.05,0.367379
9.06667,0.369596
9.08333,0.370691
9.1,0.367367
9.11667,0.365385
9.13333,0.363528
9.15,0.368133
9.16667,0.369513
9.18333,0.378617
9.2,0.388982
9.21667,0.378225
9.23333,0.373841
9.25,0.372069
9.26667,0.378327
9.28333,0.381402
9.3,0.38041
9.31667,0.376243
9.33333,0.378342
9.35,0.380061
9.36667,0.391325
9.38333,0.400868
9.4,0.404432
9.41667,0.405458
9.43333,0.407433
9.45,0.411706
9.46667,0.420178
9.48333,0.42712
9.5,0.429686
9.51667,0.43205
9.53333,0.444125
9.55,0.443741
9.56667,0.441084
9.58333,0.449403
9.6,0.449454
9.61667,0.448803
9.63333,0.451921
9.65,0.45208
9.66667,0.465476
9.68333,0.47258
9.7,0.473849
9.71667,0.47751
9.73333,0.484831
9.75,0.483645
9.76667,0.477695
9.78333,0.4742
9.8,0.47921
9.81667,0.493798
9.83333,0.507178
9.85,0.514783
9.86667,0.52364
9.88333,0.52589
9.9,0.522069
9.91667,0.51834
9.93333,0.519084
9.95,0.525146
9.96667,0.53655
9.98333,0.535521
10,0.539931
10.0167,0.550618
10.0333,0.550239
10.05,0.58128
10.0667,0.590871
10.0833,0.585051
10.1,0.587183
10.1167,0.585098
10.1333,0.58132
10.15,0.573791
10.1667,0.580983
10.1833,0.581361
10.2,0.583948
10.2167,0.599278
10.2333,0.627526
10.25,0.629539
10.2667,0.625424
10.2833,0.618081
10.3,0.610291
10.3167,0.630207
10.3333,0.641376
10.35,0.65186
10.3667,0.649942
10.3833,0.665017
10.4,0.681011
10.4167,0.687233
10.4333,0.681471
10.45,0.682555
10.4667,0.682707
10.4833,0.616902
10.5,0.614924
10.5167,0.618446
10.5333,0.636746
10.55,0.646177
10.5667,0.659412
10.5833,0.662788
10.6,0.670025
10.6167,0.669296
10.6333,0.666204
10.65,0.662139
10.6667,0.657741
10.6833,0.650786
10.7,0.642059
10.7167,0.688101
10.7333,0.67842
10.75,0.676259
10.7667,0.672247
10.7833,0.663224
10.8,0.669627
10.8167,0.664122
10.8333,0.672626
10.85,0.636527
10.8667,0.634652
10.8833,0.665809
10.9,0.671702
10.9167,0.654535
10.9333,0.648625
10.95,0.638303
10.9667,0.633438
10.9833,0.632183
11,0.634672
11.0167,0.61442
11.0333,0.61422
11.05,0.609798
11.0667,0.602255
11.0833,0.594306
11.1,0.589393
11.1167,0.578818
11.1333,0.582514
11.15,0.579869
11.1667,0.572733
11.1833,0.571585
11.2,0.552143
11.2167,0.551911
11.2333,0.544695
11.25,0.54074
11.2667,0.525126
11.2833,0.525271
11.3,0.519253
11.3167,0.517855
11.3333,0.524323
11.35,0.535563
11.3667,0.534446
11.3833,0.516668
11.4,0.505746
11.4167,0.499926
11.4333,0.492123
11.45,0.493086
11.4667,0.533571
11.4833,0.526052
11.5,0.516502
11.5167,0.508024
11.5333,0.498261
11.55,0.494577
11.5667,0.495585
11.5833,0.492511
11.6,0.530899
11.6167,0.528893
11.6333,0.52329
11.65,0.520111
11.6667,0.516717
11.6833,0.510052
11.7,0.531004
11.7167,0.507711
11.7333,0.527032
11.75,0.509812
11.7667,0.510081
11.7833,0.494355
11.8,0.497898
11.8167,0.512874
11.8333,0.496702
11.85,0.489228
11.8667,0.48772
11.8833,0.477693
11.9,0.499419
11.9167,0.49079
11.9333,0.495676
11.95,0.495022
11.9667,0.493554
11.9833,0.498724
12,0.508481
12.0167,0.514656
12.0333,0.522027
12.05,0.519221
12.0667,0.520528
12.0833,0.525836
12.1,0.519095
12.1167,0.506708
12.1333,0.498499
12.15,0.494106
12.1667,0.496292
12.1833,0.499607
12.2,0.505412
12.2167,0.51619
12.2333,0.513247
12.25,0.511601
12.2667,0.511187
12.2833,0.51275
12.3,0.524718
12.3167,0.541464
12.3333,0.537177
12.35,0.525175
12.3667,0.520561
12.3833,0.51955
12.4,0.514881
12.4167,0.504698
12.4333,0.494563
12.45,0.480931
12.4667,0.456157
12.4833,0.453833
12.5,0.455726
12.5167,0.452091
12.5333,0.451402
12.55,0.449553
12.5667,0.45054
12.5833,0.451355
12.6,0.452484
12.6167,0.438152
12.6333,0.421062
12.65,0.40964
12.6667,0.406065
12.6833,0.410193
12.7,0.41286
12.7167,0.421701
12.7333,0.421329
12.75,0.417983
12.7667,0.411854
12.7833,0.417953
12.8,0.422916
12.8167,0.433338
12.8333,0.440374
12.85,0.430854
12.8667,0.424991
12.8833,0.414561
12.9,0.413687
12.9167,0.373251
12.9333,0.364979
12.95,0.368612
12.9667,0.358294
12.9833,0.361279
13,0.36448
13.0167,0.357594
13.0333,0.341699
13.05,0.315858
13.0667,0.294179
13.0833,0.266195
13.1,0.271721
13.1167,0.280623
13.1333,0.27166
13.15,0.259254
13.1667,0.249249
13.1833,0.240148
13.2,0.252037
13.2167,0.265207
13.2333,0.271342
13.25,0.282904
13.2667,0.288216
13.2833,0.303087
13.3,0.31298
13.3167,0.319468
13.3333,0.355538
13.35,0.366161
13.3667,0.383843
13.3833,0.383487
13.4,0.390079
13.4167,0.390687
13.4333,0.405241
13.45,0.436689
13.4667,0.441319
13.4833,0.441313
13.5,0.453879
13.5167,0.466499
13.5333,0.486249
13.55,0.503867
13.5667,0.537104
13.5833,0.549096
13.6,0.546952
13.6167,0.547428
13.6333,0.539081
13.65,0.573654
13.6667,0.573727
13.6833,0.616315
13.7,0.615439
13.7167,0.605683
13.7333,0.62702
13.75,0.633916
13.7667,0.645349
13.7833,0.584653
13.8,0.600939
13.8167,0.614334
13.8333,0.652073
13.85,0.661746
13.8667,0.656343
13.8833,0.651218
13.9,0.672445
