Time,Position (y)
0,1.50561
0.0166667,1.51056
0.0333333,1.51496
0.05,1.5222
0.0666667,1.5309
0.0833333,1.5387
0.1,1.54604
0.116667,1.55288
0.133333,1.55938
0.15,1.5653
0.166667,1.57063
0.183333,1.57515
0.2,1.57908
0.216667,1.58229
0.233333,1.58473
0.25,1.58655
0.266667,1.59078
0.283333,1.5972
0.3,1.60279
0.316667,1.61093
0.333333,1.62135
0.35,1.63354
0.366667,1.64711
0.383333,1.6588
0.4,1.67137
0.416667,1.68496
0.433333,1.69859
0.45,1.71264
0.466667,1.72599
0.483333,1.73862
0.5,1.75108
0.516667,1.76326
0.533333,1.77442
0.55,1.78481
0.566667,1.79439
0.583333,1.80283
0.6,1.81007
0.616667,1.81591
0.633333,1.82039
0.65,1.82355
0.666667,1.82517
0.683333,1.82767
0.7,1.83074
0.716667,1.83154
0.733333,1.83021
0.75,1.83723
0.766667,1.8526
0.783333,1.86595
0.8,1.87852
0.816667,1.8902
0.833333,1.89974
0.85,1.90746
0.866667,1.91326
0.883333,1.91714
0.9,1.91929
0.916667,1.91951
0.933333,1.9177
0.95,1.91439
0.966667,1.90951
0.983333,1.90795
1,1.90982
1.01667,1.90981
1.03333,1.90793
1.05,1.904
1.06667,1.89759
1.08333,1.88937
1.1,1.87956
1.11667,1.86812
1.13333,1.85504
1.15,1.84244
1.16667,1.83033
1.18333,1.81613
1.2,1.80014
1.21667,1.78229
1.23333,1.77824
1.25,1.78913
1.26667,1.79883
1.28333,1.80581
1.3,1.81121
1.31667,1.81502
1.33333,1.81615
1.35,1.81478
1.36667,1.81143
1.38333,1.80593
1.4,1.79824
1.41667,1.78837
1.43333,1.77632
1.45,1.76235
1.46667,1.7541
1.48333,1.75246
1.5,1.74941
1.51667,1.74405
1.53333,1.73877
1.55,1.73371
1.56667,1.7266
1.58333,1.71744
1.6,1.71173
1.61667,1.7095
1.63333,1.70524
1.65,1.69897
1.66667,1.69034
1.68333,1.67955
1.7,1.6701
1.71667,1.66182
1.73333,1.6516
1.75,1.6394
1.76667,1.62521
1.78333,1.61403
1.8,1.61771
1.81667,1.63088
1.83333,1.64251
1.85,1.6528
1.86667,1.66093
1.88333,1.66949
1.9,1.67861
1.91667,1.6861
1.93333,1.69206
1.95,1.69628
1.96667,1.69981
1.98333,1.70286
2,1.70452
2.01667,1.7048
2.03333,1.704
2.05,1.70224
2.06667,1.69914
2.08333,1.69452
2.1,1.68871
2.11667,1.68643
2.13333,1.68988
2.15,1.69408
2.16667,1.6962
2.18333,1.69677
2.2,1.69587
2.21667,1.69321
2.23333,1.68884
2.25,1.68321
2.26667,1.67612
2.28333,1.66728
2.3,1.65793
2.31667,1.6478
2.33333,1.63921
2.35,1.63272
2.36667,1.62476
2.38333,1.61542
2.4,1.60855
2.41667,1.60399
2.43333,1.59788
2.45,1.59031
2.46667,1.58127
2.48333,1.57018
2.5,1.56779
2.51667,1.57419
2.53333,1.57904
2.55,1.58246
2.56667,1.5843
2.58333,1.5878
2.6,1.59282
2.61667,1.59622
2.63333,1.59821
2.65,1.59848
2.66667,1.59744
2.68333,1.59719
2.7,1.59746
2.71667,1.59697
2.73333,1.59614
2.75,1.59482
2.76667,1.59295
2.78333,1.59022
2.8,1.5869
2.81667,1.58331
2.83333,1.5792
2.85,1.57519
2.86667,1.57443
2.88333,1.57648
2.9,1.57915
2.91667,1.58161
2.93333,1.58287
2.95,1.58316
2.96667,1.58193
2.98333,1.58097
3,1.58357
3.01667,1.58807
3.03333,1.59193
3.05,1.59518
3.06667,1.59773
3.08333,1.59983
3.1,1.60114
3.11667,1.60319
3.13333,1.60597
3.15,1.60802
3.16667,1.60994
3.18333,1.61172
3.2,1.61334
3.21667,1.61479
3.23333,1.61605
3.25,1.61733
3.26667,1.61802
3.28333,1.61858
3.3,1.61919
3.31667,1.61946
3.33333,1.61885
3.35,1.61822
3.36667,1.61794
3.38333,1.61709
3.4,1.61563
3.41667,1.61369
3.43333,1.61179
3.45,1.60971
3.46667,1.60686
3.48333,1.60348
3.5,1.60014
3.51667,1.59887
3.53333,1.59962
3.55,1.59981
3.56667,1.59861
3.58333,1.59659
3.6,1.597
3.61667,1.59905
3.63333,1.59951
3.65,1.59841
3.66667,1.59756
3.68333,1.59729
3.7,1.59665
3.71667,1.59574
3.73333,1.59416
3.75,1.59208
3.76667,1.58964
3.78333,1.58656
3.8,1.58311
3.81667,1.57943
3.83333,1.57578
3.85,1.57219
3.86667,1.56823
3.88333,1.56419
3.9,1.55971
3.91667,1.55461
