Time,Position (x)
0,-2.00803
0.0166667,-1.99126
0.0333333,-1.97253
0.05,-1.95533
0.0666667,-1.94177
0.0833333,-1.9287
0.1,-1.91609
0.116667,-1.90394
0.133333,-1.89214
0.15,-1.88073
0.166667,-1.86969
0.183333,-1.85901
0.2,-1.84865
0.216667,-1.83858
0.233333,-1.82875
0.25,-1.81913
0.266667,-1.80893
0.283333,-1.79813
0.3,-1.78753
0.316667,-1.77826
0.333333,-1.77022
0.35,-1.75667
0.366667,-1.73779
0.383333,-1.71926
0.4,-1.70326
0.416667,-1.6898
0.433333,-1.67753
0.45,-1.66676
0.466667,-1.65698
0.483333,-1.64817
0.5,-1.6409
0.516667,-1.63518
0.533333,-1.63044
0.55,-1.627
0.566667,-1.62494
0.583333,-1.62402
0.6,-1.62423
0.616667,-1.62544
0.633333,-1.62775
0.65,-1.63123
0.666667,-1.63567
0.683333,-1.64025
0.7,-1.64474
0.716667,-1.65007
0.733333,-1.65648
0.75,-1.65618
0.766667,-1.6491
0.783333,-1.64266
0.8,-1.63687
0.816667,-1.63179
0.833333,-1.62724
0.85,-1.62333
0.866667,-1.62002
0.883333,-1.61727
0.9,-1.61519
0.916667,-1.61365
0.933333,-1.61529
0.95,-1.62007
0.966667,-1.62522
0.983333,-1.63231
1,-1.64137
1.01667,-1.65094
1.03333,-1.66101
1.05,-1.67146
1.06667,-1.68216
1.08333,-1.69319
1.1,-1.70482
1.11667,-1.71703
1.13333,-1.72967
1.15,-1.74385
1.16667,-1.75948
1.18333,-1.77536
1.2,-1.79174
1.21667,-1.80869
1.23333,-1.81141
1.25,-1.80024
1.26667,-1.78963
1.28333,-1.77901
1.3,-1.7689
1.31667,-1.75931
1.33333,-1.75268
1.35,-1.74914
1.36667,-1.74597
1.38333,-1.74301
1.4,-1.74022
1.41667,-1.7376
1.43333,-1.73514
1.45,-1.73293
1.46667,-1.72839
1.48333,-1.72209
1.5,-1.71665
1.51667,-1.71152
1.53333,-1.71195
1.55,-1.71792
1.56667,-1.72402
1.58333,-1.73035
1.6,-1.73689
1.61667,-1.74413
1.63333,-1.75212
1.65,-1.76034
