Time,Angular velocity
0,3.15682
0.0166667,3.14725
0.0333333,3.11428
0.05,3.076
0.0666667,3.07142
0.0833333,3.06906
0.1,3.069
0.116667,3.06031
0.133333,3.05687
0.15,3.05258
0.166667,3.0495
0.183333,3.04527
0.2,3.04101
0.216667,3.03743
0.233333,3.03285
0.25,3.02847
0.266667,3.04158
0.283333,3.03831
0.3,3.03408
0.316667,2.93808
0.333333,2.93635
0.35,2.75517
0.366667,2.75736
0.383333,2.75829
0.4,2.7986
0.416667,2.79541
0.433333,2.75404
0.45,2.75071
0.466667,2.74464
0.483333,2.73895
0.5,2.70897
0.516667,2.70256
0.533333,2.6965
0.55,2.67675
0.566667,2.66722
0.583333,2.65636
0.6,2.64553
0.616667,2.63903
0.633333,2.62231
0.65,2.6132
0.666667,2.6037
0.683333,2.52049
0.7,2.51739
0.716667,2.5189
0.733333,2.51259
0.75,2.45428
0.766667,2.44576
0.783333,2.41069
0.8,2.40508
0.816667,2.3968
0.833333,2.37183
0.85,2.36436
0.866667,2.3276
0.883333,2.30312
0.9,2.28484
0.916667,2.25315
0.933333,2.2964
0.95,2.27967
0.966667,2.27235
0.983333,2.26016
1,2.24954
1.01667,2.23568
1.03333,2.22626
1.05,2.21147
1.06667,2.20214
1.08333,2.19542
1.1,2.17286
1.11667,2.16352
1.13333,2.15405
1.15,2.13242
1.16667,2.12342
1.18333,2.11777
1.2,2.0995
1.21667,2.09241
1.23333,1.91936
1.25,1.91113
1.26667,1.90967
1.28333,1.90823
1.3,1.88916
1.31667,1.88726
1.33333,1.92327
1.35,1.9151
1.36667,1.90943
1.38333,1.90797
1.4,1.90004
1.41667,1.89733
1.43333,1.88893
1.45,1.88233
1.46667,1.90321
1.48333,1.87471
1.5,1.85816
1.51667,1.80029
1.53333,1.95068
1.55,1.9412
1.56667,1.92139
1.58333,1.75132
1.6,1.71492
1.61667,1.70879
1.63333,1.69766
1.65,1.66622
1.66667,1.6307
1.68333,1.63441
1.7,1.63754
1.71667,1.63609
1.73333,1.65605
1.75,1.65647
1.76667,1.6548
1.78333,1.36115
1.8,1.49019
1.81667,1.50592
1.83333,1.50468
1.85,1.48401
1.86667,1.47771
1.88333,1.51504
1.9,1.50584
1.91667,1.49676
1.93333,1.49523
1.95,1.48211
1.96667,1.47555
1.98333,1.4602
2,1.44865
2.01667,1.44379
2.03333,1.47242
2.05,1.46308
2.06667,1.45344
2.08333,1.36438
2.1,1.35512
2.11667,1.3522
2.13333,1.34435
2.15,1.33768
2.16667,1.3349
2.18333,1.31216
2.2,1.26809
2.21667,1.26879
2.23333,1.26152
2.25,1.22255
2.26667,1.20828
2.28333,1.19351
2.3,1.17649
2.31667,1.28245
2.33333,1.24073
2.35,1.20622
2.36667,1.17078
2.38333,1.15801
2.4,1.14439
2.41667,1.11962
2.43333,1.09675
2.45,1.0805
2.46667,1.06794
2.48333,1.06025
2.5,1.04569
2.51667,1.03347
2.53333,1.02535
2.55,1.0298
2.56667,1.05664
2.58333,1.06919
2.6,1.03538
2.61667,1.00636
2.63333,0.940332
2.65,0.904498
2.66667,0.870173
2.68333,0.873995
2.7,0.848346
2.71667,0.79517
2.73333,0.763483
2.75,0.762026
2.76667,0.729199
2.78333,0.719699
2.8,0.693957
2.81667,0.672563
2.83333,0.654051
2.85,0.641392
2.86667,0.630821
2.88333,0.4359
2.9,0.483463
2.91667,0.461031
2.93333,0.446965
2.95,0.448384
2.96667,0.473134
2.98333,0.476479
3,0.471247
3.01667,0.455432
3.03333,0.421572
3.05,0.413923
3.06667,0.39826
3.08333,0.380218
3.1,0.373736
3.11667,0.384584
3.13333,0.384268
3.15,0.377446
3.16667,0.369457
3.18333,0.378061
3.2,0.378303
3.21667,0.372835
3.23333,0.36985
3.25,0.388301
3.26667,0.38675
3.28333,0.380066
3.3,0.388596
3.31667,0.379305
3.33333,0.377761
3.35,0.3802
3.36667,0.378956
3.38333,0.368664
3.4,0.359538
3.41667,0.3609
3.43333,0.353105
3.45,0.349323
3.46667,0.34348
3.48333,0.337905
3.5,0.328323
3.51667,0.338257
3.53333,0.319052
3.55,0.316847
3.56667,0.314087
3.58333,0.30856
3.6,0.317978
3.61667,0.321184
3.63333,0.276185
3.65,0.277482
3.66667,0.274588
3.68333,0.290114
3.7,0.268969
3.71667,0.278511
3.73333,0.27442
3.75,0.272065
3.76667,0.271813
3.78333,0.274566
3.8,0.288218
3.81667,0.302108
3.83333,0.241427
3.85,0.24376
3.86667,0.24132
3.88333,0.28094
3.9,0.24777
3.91667,0.254496
3.93333,0.233941
3.95,0.175076
3.96667,0.200789
3.98333,0.188814
4,0.184793
4.01667,0.172393
4.03333,0.174748
4.05,0.173998
4.06667,0.160923
4.08333,0.156854
4.1,0.151388
4.11667,0.092963
4.13333,0.0877167
4.15,0.0873544
4.16667,0.0875592
4.18333,0.0857761
4.2,0.0807986
4.21667,0.0741781
4.23333,0.0512229
4.25,0.0308335
4.26667,0.025785
4.28333,0.0207458
4.3,0.0159066
4.31667,0.0139798
4.33333,0.0212242
4.35,0.0215036
4.36667,0.0338085
4.38333,0.0336863
4.4,0.0371671
4.41667,0.0416046
4.43333,0.0577953
4.45,0.0588823
4.46667,0.0522236
4.48333,0.0512281
4.5,0.0471278
4.51667,0.0436136
4.53333,0.0335996
4.55,0.0344081
4.56667,0.0374713
4.58333,0.0393583
4.6,0.0335865
4.61667,0.0200205
4.63333,0.0141903
4.65,0.00326897
4.66667,-0.0252487
4.68333,-0.0359986
4.7,-0.0562728
4.71667,-0.0585917
4.73333,-0.0580907
4.75,-0.0670786
4.76667,-0.0821778
4.78333,-0.0854615
4.8,-0.0896081
4.81667,-0.0941415
4.83333,-0.0950372
4.85,-0.0905918
4.86667,-0.0905216
4.88333,-0.093701
4.9,-0.0857644
4.91667,-0.0752108
4.93333,-0.0675696
4.95,-0.0658624
4.96667,-0.0669221
4.98333,-0.0657986
5,-0.0778998
5.01667,-0.104785
5.03333,-0.112058
5.05,-0.116886
5.06667,-0.113104
5.08333,-0.120368
5.1,-0.128069
5.11667,-0.124039
5.13333,-0.112901
5.15,-0.11937
