Time,Position (y)
0,1.50561
0.0166667,1.51053
0.0333333,1.51482
0.05,1.52089
0.0666667,1.52824
0.0833333,1.53542
0.1,1.54242
0.116667,1.54861
0.133333,1.55411
0.15,1.56037
0.166667,1.56723
0.183333,1.57371
0.2,1.57988
0.216667,1.5855
0.233333,1.59083
0.25,1.59595
0.266667,1.60048
0.283333,1.60639
0.3,1.61354
0.316667,1.61986
0.333333,1.62738
0.35,1.63989
0.366667,1.65521
0.383333,1.66939
0.4,1.68245
0.416667,1.69595
0.433333,1.71052
0.45,1.72513
0.466667,1.73948
0.483333,1.75361
0.5,1.76762
0.516667,1.78113
0.533333,1.79421
0.55,1.80685
0.566667,1.81889
0.583333,1.83028
0.6,1.8408
0.616667,1.85032
0.633333,1.85888
0.65,1.86648
0.666667,1.8729
0.683333,1.87809
0.7,1.88194
0.716667,1.88444
0.733333,1.88556
0.75,1.89321
0.766667,1.90736
0.783333,1.91982
0.8,1.9305
0.816667,1.94023
0.833333,1.94939
0.85,1.95762
0.866667,1.96486
0.883333,1.97101
0.9,1.97618
0.916667,1.98046
0.933333,1.98376
0.95,1.98613
0.966667,1.98747
0.983333,1.98764
1,1.98622
1.01667,1.9833
1.03333,1.97963
1.05,1.97487
1.06667,1.96857
1.08333,1.96097
1.1,1.95188
1.11667,1.9416
1.13333,1.93913
1.15,1.94399
1.16667,1.94725
1.18333,1.94892
1.2,1.94915
1.21667,1.94805
1.23333,1.94558
1.25,1.94197
1.26667,1.93724
1.28333,1.93316
1.3,1.93043
1.31667,1.92718
1.33333,1.92369
1.35,1.92017
1.36667,1.9174
1.38333,1.91499
1.4,1.91249
1.41667,1.91133
1.43333,1.91019
1.45,1.90882
1.46667,1.9083
1.48333,1.9091
1.5,1.90976
1.51667,1.90994
1.53333,1.91172
1.55,1.91351
1.56667,1.91474
1.58333,1.91623
1.6,1.92456
1.61667,1.93881
1.63333,1.95267
1.65,1.966
1.66667,1.97798
1.68333,1.98978
1.7,2.0004
1.71667,2.00917
1.73333,2.01968
1.75,2.02917
1.76667,2.03431
1.78333,2.03801
1.8,2.04046
1.81667,2.04194
1.83333,2.04299
1.85,2.04317
1.86667,2.04267
1.88333,2.04201
1.9,2.04157
1.91667,2.04066
1.93333,2.03909
1.95,2.03776
1.96667,2.03716
1.98333,2.03625
2,2.03462
2.01667,2.03329
2.03333,2.03256
2.05,2.0315
2.06667,2.02977
2.08333,2.0289
