Time,Position (x)
0,-2.00803
0.0166667,-1.99112
0.0333333,-1.97198
0.05,-1.95394
0.0666667,-1.93887
0.0833333,-1.92394
0.1,-1.90948
0.116667,-1.89576
0.133333,-1.88253
0.15,-1.86963
0.166667,-1.85722
0.183333,-1.84528
0.2,-1.83377
0.216667,-1.82253
0.233333,-1.81152
0.25,-1.80079
0.266667,-1.79024
0.283333,-1.78049
0.3,-1.77147
0.316667,-1.76272
0.333333,-1.75461
0.35,-1.74254
0.366667,-1.72643
0.383333,-1.71093
0.4,-1.69612
0.416667,-1.68369
0.433333,-1.67311
0.45,-1.66314
0.466667,-1.65459
0.483333,-1.64707
0.5,-1.6406
0.516667,-1.63525
0.533333,-1.63115
0.55,-1.62856
0.566667,-1.62728
0.583333,-1.6273
0.6,-1.62855
0.616667,-1.63087
0.633333,-1.63452
0.65,-1.63952
0.666667,-1.64555
0.683333,-1.6526
0.7,-1.66081
0.716667,-1.67011
0.733333,-1.68039
0.75,-1.68559
0.766667,-1.68558
0.783333,-1.6865
0.8,-1.68829
0.816667,-1.69124
0.833333,-1.69555
0.85,-1.70081
0.866667,-1.7068
0.883333,-1.7134
0.9,-1.72055
0.916667,-1.72834
0.933333,-1.73679
0.95,-1.74589
0.966667,-1.75568
0.983333,-1.76616
1,-1.77564
1.01667,-1.78396
1.03333,-1.79279
1.05,-1.80175
1.06667,-1.81048
1.08333,-1.81922
1.1,-1.82751
1.11667,-1.83562
1.13333,-1.84159
1.15,-1.84456
1.16667,-1.8468
1.18333,-1.84807
1.2,-1.84845
1.21667,-1.8479
1.23333,-1.84626
1.25,-1.84346
1.26667,-1.83949
1.28333,-1.83643
1.3,-1.83388
1.31667,-1.83078
1.33333,-1.82749
1.35,-1.82352
1.36667,-1.81879
1.38333,-1.81379
1.4,-1.80886
1.41667,-1.8037
1.43333,-1.7986
1.45,-1.79394
1.46667,-1.78985
1.48333,-1.7864
1.5,-1.78328
1.51667,-1.78077
1.53333,-1.77947
1.55,-1.77909
1.56667,-1.77963
1.58333,-1.77906
1.6,-1.77466
1.61667,-1.76768
1.63333,-1.76066
1.65,-1.75379
1.66667,-1.74691
1.68333,-1.74105
1.7,-1.7353
1.71667,-1.73122
1.73333,-1.7299
1.75,-1.73135
1.76667,-1.73476
1.78333,-1.73695
1.8,-1.73795
1.81667,-1.73831
1.83333,-1.73768
1.85,-1.73632
1.86667,-1.7345
1.88333,-1.73197
1.9,-1.72855
1.91667,-1.72456
1.93333,-1.72055
1.95,-1.71639
1.96667,-1.71195
1.98333,-1.70735
2,-1.70305
2.01667,-1.6992
2.03333,-1.69576
2.05,-1.69283
2.06667,-1.6905
2.08333,-1.68907
2.1,-1.68843
2.11667,-1.68848
2.13333,-1.68964
2.15,-1.69238
2.16667,-1.69641
2.18333,-1.70234
2.2,-1.7054
2.21667,-1.70891
2.23333,-1.71706
2.25,-1.72465
2.26667,-1.73226
2.28333,-1.73566
2.3,-1.73479
2.31667,-1.73366
2.33333,-1.73216
2.35,-1.73062
2.36667,-1.72888
2.38333,-1.72685
2.4,-1.72405
2.41667,-1.72074
2.43333,-1.717
2.45,-1.71235
2.46667,-1.70731
2.48333,-1.70242
2.5,-1.69726
2.51667,-1.69172
2.53333,-1.68604
2.55,-1.6806
2.56667,-1.67553
2.58333,-1.67055
2.6,-1.66603
2.61667,-1.66244
2.63333,-1.65941
2.65,-1.6572
2.66667,-1.65625
2.68333,-1.65659
2.7,-1.65808
2.71667,-1.66042
2.73333,-1.66418
2.75,-1.67386
2.76667,-1.68898
2.78333,-1.70468
2.8,-1.72067
2.81667,-1.73096
2.83333,-1.73539
2.85,-1.74002
2.86667,-1.74179
2.88333,-1.74006
2.9,-1.7372
2.91667,-1.73335
2.93333,-1.72907
2.95,-1.72401
2.96667,-1.71796
2.98333,-1.71094
3,-1.70304
3.01667,-1.69606
3.03333,-1.68968
3.05,-1.68324
3.06667,-1.67714
3.08333,-1.67062
