t_s,red_x_cm,red_y_cm,green_x_cm,green_y_cm,blue_x_cm,blue_y_cm
10.3449,-0.194,43.468,0.157,23.461,0.000,0.000
10.3814,-0.194,43.468,0.157,23.461,0.000,0.000
10.4140,-0.018,43.468,0.157,23.461,0.000,0.000
10.4463,0.139,43.468,0.315,23.461,0.000,0.000
10.4817,0.297,43.468,0.472,23.461,0.000,0.000
10.5159,0.472,43.468,0.472,23.461,0.000,0.000
10.5518,0.648,43.468,0.472,23.461,0.000,0.000
10.5808,0.630,43.292,0.630,23.461,0.000,0.000
10.6151,0.787,43.292,0.787,23.461,0.000,0.000
10.6516,0.963,43.292,0.787,23.461,0.000,0.000
10.6818,1.138,43.292,0.787,23.461,0.000,0.000
10.7149,1.296,43.292,0.945,23.461,0.000,0.000
10.7486,1.786,43.310,1.260,23.304,0.000,0.000
10.7820,1.962,43.310,1.260,23.304,0.000,0.000
10.8151,2.295,43.310,1.417,23.304,0.000,0.000
10.8507,2.942,43.310,1.890,23.304,0.000,0.000
10.8826,3.433,43.135,2.204,23.304,0.000,0.000
10.9137,3.941,43.135,2.362,23.304,0.000,0.000
10.9483,4.765,43.135,2.834,23.304,0.000,0.000
10.9834,5.764,42.977,3.307,23.147,0.000,0.000
11.0144,7.077,42.644,4.094,22.989,0.000,0.000
11.0477,8.567,42.311,4.881,22.832,0.000,0.000
11.0834,10.371,41.978,5.983,22.674,0.000,0.000
11.1132,12.508,41.330,7.243,22.202,0.000,0.000
11.1506,15.153,40.332,8.660,21.729,0.000,0.000
11.1820,18.465,38.842,10.392,20.942,0.000,0.000
11.2156,22.091,36.863,12.439,19.840,0.000,0.000
11.2467,26.208,33.727,14.801,18.108,0.000,0.000
11.2846,30.833,29.295,17.321,15.431,0.000,0.000
11.3145,35.459,23.005,19.840,12.124,0.000,0.000
11.3504,39.261,14.753,21.887,7.558,0.000,0.000
11.3813,41.398,4.013,23.147,1.732,0.000,0.000
11.4188,40.417,-9.021,22.517,-5.511,0.000,0.000
11.4468,34.478,-22.600,19.210,-12.597,0.000,0.000
