Time,Position (x)
7.9,-1.95885
7.91667,-1.9687
7.93333,-1.97876
7.95,-1.98432
7.96667,-1.98541
7.98333,-1.9867
8,-1.98821
8.01667,-1.99002
8.03333,-1.99219
8.05,-1.99611
8.06667,-2.00176
8.08333,-2.00769
8.1,-2.01395
8.11667,-2.02054
8.13333,-2.02742
8.15,-2.03251
8.16667,-2.03585
8.18333,-2.03943
8.2,-2.0432
8.21667,-2.04713
8.23333,-2.05137
8.25,-2.05592
8.26667,-2.05891
8.28333,-2.06033
8.3,-2.06227
8.31667,-2.06475
8.33333,-2.06739
8.35,-2.06867
8.36667,-2.06868
8.38333,-2.06895
8.4,-2.06864
8.41667,-2.06787
8.43333,-2.06741
8.45,-2.06716
8.46667,-2.06671
8.48333,-2.06555
8.5,-2.06389
8.51667,-2.06225
8.53333,-2.06053
8.55,-2.05831
8.56667,-2.05574
8.58333,-2.05302
8.6,-2.05011
8.61667,-2.04701
8.63333,-2.0449
8.65,-2.04388
8.66667,-2.0428
8.68333,-2.04165
8.7,-2.04044
8.71667,-2.03917
8.73333,-2.03788
8.75,-2.03655
8.76667,-2.03519
8.78333,-2.03392
8.8,-2.03276
8.81667,-2.03162
8.83333,-2.03051
8.85,-2.02937
8.86667,-2.02819
8.88333,-2.02703
8.9,-2.02591
8.91667,-2.02489
8.93333,-2.02395
8.95,-2.023
8.96667,-2.0221
8.98333,-2.02121
9,-2.0198
9.01667,-2.01789
9.03333,-2.01592
9.05,-2.01392
9.06667,-2.01183
9.08333,-2.00969
9.1,-2.00754
9.11667,-2.00534
9.13333,-2.00309
9.15,-2.00075
9.16667,-1.99833
9.18333,-1.99582
9.2,-1.99319
9.21667,-1.99051
9.23333,-1.98781
9.25,-1.98508
9.26667,-1.98228
9.28333,-1.97942
9.3,-1.9765
9.31667,-1.97355
9.33333,-1.97058
9.35,-1.96755
9.36667,-1.96446
9.38333,-1.96128
9.4,-1.95804
9.41667,-1.95476
9.43333,-1.95145
9.45,-1.94811
9.46667,-1.94473
9.48333,-1.94128
9.5,-1.93781
9.51667,-1.93432
9.53333,-1.93078
9.55,-1.92722
9.56667,-1.92368
9.58333,-1.92013
9.6,-1.91657
9.61667,-1.91303
9.63333,-1.90951
9.65,-1.90601
9.66667,-1.90249
9.68333,-1.89895
9.7,-1.89543
9.71667,-1.89194
9.73333,-1.88846
9.75,-1.88501
9.76667,-1.88163
9.78333,-1.87833
9.8,-1.87509
9.81667,-1.87186
9.83333,-1.86862
9.85,-1.8654
9.86667,-1.86219
9.88333,-1.85902
9.9,-1.85591
9.91667,-1.85288
9.93333,-1.84993
9.95,-1.84704
9.96667,-1.84417
9.98333,-1.84136
10,-1.83863
10.0167,-1.83594
10.0333,-1.83332
10.05,-1.83069
10.0667,-1.82805
10.0833,-1.82547
10.1,-1.823
10.1167,-1.82062
10.1333,-1.81834
10.15,-1.81615
10.1667,-1.81405
10.1833,-1.81206
10.2,-1.81015
10.2167,-1.80827
10.2333,-1.80638
10.25,-1.8045
10.2667,-1.80271
10.2833,-1.80105
10.3,-1.79948
10.3167,-1.79797
10.3333,-1.7965
10.35,-1.79507
10.3667,-1.7937
10.3833,-1.79239
10.4,-1.7911
10.4167,-1.78982
10.4333,-1.78861
10.45,-1.78753
10.4667,-1.78653
10.4833,-1.78295
10.5,-1.77675
10.5167,-1.77061
10.5333,-1.76513
10.55,-1.7603
10.5667,-1.75558
10.5833,-1.75103
10.6,-1.7467
10.6167,-1.7426
10.6333,-1.73876
10.65,-1.7352
10.6667,-1.73195
10.6833,-1.72901
10.7,-1.72639
10.7167,-1.7241
10.7333,-1.72218
10.75,-1.72063
10.7667,-1.71942
10.7833,-1.71865
10.8,-1.71835
10.8167,-1.71844
10.8333,-1.7189
10.85,-1.71868
10.8667,-1.71798
10.8833,-1.71787
10.9,-1.71817
10.9167,-1.71902
10.9333,-1.72045
10.95,-1.72209
10.9667,-1.72401
10.9833,-1.72637
11,-1.72903
11.0167,-1.73207
11.0333,-1.73565
11.05,-1.73968
11.0667,-1.74409
11.0833,-1.74892
11.1,-1.754
11.1167,-1.75959
11.1333,-1.76577
11.15,-1.77225
11.1667,-1.7792
11.1833,-1.78649
11.2,-1.79419
11.2167,-1.80244
11.2333,-1.81116
11.25,-1.82021
11.2667,-1.82959
11.2833,-1.83952
11.3,-1.84996
11.3167,-1.86069
11.3333,-1.87175
11.35,-1.88326
11.3667,-1.89515
11.3833,-1.9073
11.4,-1.91993
11.4167,-1.93311
11.4333,-1.94651
11.45,-1.96032
11.4667,-1.96915
11.4833,-1.97276
11.5,-1.97662
11.5167,-1.98077
11.5333,-1.9835
11.55,-1.98473
11.5667,-1.98604
11.5833,-1.98739
11.6,-1.99067
11.6167,-1.99589
11.6333,-2.00118
11.65,-2.00653
11.6667,-2.01193
11.6833,-2.01739
11.7,-2.02327
11.7167,-2.02961
11.7333,-2.03457
11.75,-2.03813
11.7667,-2.04184
11.7833,-2.04568
11.8,-2.0498
11.8167,-2.05219
11.8333,-2.05262
11.85,-2.05306
11.8667,-2.05313
11.8833,-2.05281
11.9,-2.05343
11.9167,-2.05488
11.9333,-2.05598
11.95,-2.05604
11.9667,-2.05544
11.9833,-2.05478
12,-2.0539
12.0167,-2.0526
12.0333,-2.05077
12.05,-2.04873
12.0667,-2.04637
12.0833,-2.04366
12.1,-2.04067
12.1167,-2.0374
12.1333,-2.03384
12.15,-2.03004
12.1667,-2.02583
12.1833,-2.02118
12.2,-2.01624
12.2167,-2.01095
12.2333,-2.00529
12.25,-1.99933
12.2667,-1.9945
12.2833,-1.99091
12.3,-1.98724
12.3167,-1.98338
12.3333,-1.97938
12.35,-1.97533
12.3667,-1.97123
12.3833,-1.96706
12.4,-1.96282
12.4167,-1.95854
12.4333,-1.95549
12.45,-1.95368
12.4667,-1.95189
12.4833,-1.95009
12.5,-1.9482
12.5167,-1.94608
12.5333,-1.94375
12.55,-1.94141
12.5667,-1.9391
12.5833,-1.93683
12.6,-1.93463
12.6167,-1.93256
12.6333,-1.93067
12.65,-1.92888
12.6667,-1.92722
12.6833,-1.92566
12.7,-1.92355
12.7167,-1.92089
12.7333,-1.91815
12.75,-1.91538
12.7667,-1.91259
12.7833,-1.90954
12.8,-1.9062
12.8167,-1.90279
12.8333,-1.89919
12.85,-1.89545
12.8667,-1.89164
12.8833,-1.88776
12.9,-1.88379
12.9167,-1.87978
12.9333,-1.87585
12.95,-1.87185
12.9667,-1.86779
12.9833,-1.86368
13,-1.85948
13.0167,-1.85522
13.0333,-1.85097
13.05,-1.84677
13.0667,-1.84266
13.0833,-1.83863
13.1,-1.83462
13.1167,-1.83116
13.1333,-1.82836
13.15,-1.82567
13.1667,-1.823
13.1833,-1.82033
13.2,-1.81778
13.2167,-1.81528
13.2333,-1.81274
13.25,-1.81017
13.2667,-1.8077
13.2833,-1.80533
13.3,-1.80295
13.3167,-1.80061
13.3333,-1.79824
13.35,-1.79585
13.3667,-1.79348
13.3833,-1.79117
13.4,-1.78893
13.4167,-1.78678
13.4333,-1.78469
13.45,-1.7826
13.4667,-1.78053
13.4833,-1.77856
13.5,-1.77668
13.5167,-1.7748
13.5333,-1.77298
13.55,-1.77121
13.5667,-1.76942
13.5833,-1.76765
13.6,-1.76594
13.6167,-1.76436
13.6333,-1.76295
13.65,-1.76162
13.6667,-1.76035
13.6833,-1.75913
13.7,-1.75802
13.7167,-1.75709
13.7333,-1.75629
