Time,Position (y)
8.08333,1.5319
8.1,1.52813
8.11667,1.52398
8.13333,1.51926
8.15,1.51865
8.16667,1.52268
8.18333,1.5262
8.2,1.52883
8.21667,1.53042
8.23333,1.53128
8.25,1.53167
8.26667,1.53238
8.28333,1.53314
8.3,1.533
8.31667,1.53215
8.33333,1.53001
8.35,1.5295
8.36667,1.53082
8.38333,1.53125
8.4,1.53148
8.41667,1.53136
8.43333,1.53036
8.45,1.5285
8.46667,1.52606
8.48333,1.52433
8.5,1.52308
8.51667,1.52074
8.53333,1.5179
8.55,1.51563
8.56667,1.51349
8.58333,1.51105
8.6,1.5084
8.61667,1.50563
8.63333,1.50567
8.65,1.50819
8.66667,1.51
8.68333,1.51118
8.7,1.51173
8.71667,1.51156
8.73333,1.51068
8.75,1.5092
8.76667,1.50678
8.78333,1.50615
8.8,1.50751
8.81667,1.50805
8.83333,1.50787
8.85,1.50783
8.86667,1.50817
8.88333,1.50835
8.9,1.50813
8.91667,1.50799
8.93333,1.50816
8.95,1.5082
8.96667,1.50784
8.98333,1.50746
9,1.50785
9.01667,1.50825
9.03333,1.50793
9.05,1.50783
9.06667,1.5081
9.08333,1.50815
9.1,1.50822
9.11667,1.50828
9.13333,1.50836
9.15,1.50847
9.16667,1.50856
9.18333,1.50866
9.2,1.50877
9.21667,1.50887
9.23333,1.50899
9.25,1.50911
9.26667,1.50924
9.28333,1.50938
9.3,1.50954
9.31667,1.50971
9.33333,1.50989
9.35,1.51009
9.36667,1.51031
9.38333,1.51056
9.4,1.51083
9.41667,1.51112
9.43333,1.51144
9.45,1.51178
9.46667,1.51215
9.48333,1.51255
9.5,1.51298
9.51667,1.51343
9.53333,1.51392
9.55,1.51445
9.56667,1.51499
9.58333,1.51557
9.6,1.51618
9.61667,1.51681
9.63333,1.51747
9.65,1.51816
9.66667,1.51888
9.68333,1.51964
9.7,1.52043
9.71667,1.52125
9.73333,1.52209
9.75,1.52297
9.76667,1.52385
9.78333,1.52475
9.8,1.52567
9.81667,1.52661
9.83333,1.52759
9.85,1.52861
9.86667,1.52969
9.88333,1.53081
9.9,1.53194
9.91667,1.53307
9.93333,1.5342
9.95,1.53535
9.96667,1.53652
9.98333,1.5377
10,1.53889
10.0167,1.54009
10.0333,1.54136
10.05,1.5427
10.0667,1.54408
10.0833,1.54545
10.1,1.5468
10.1167,1.54815
10.1333,1.54956
10.15,1.5507
10.1667,1.55196
10.1833,1.55356
10.2,1.55501
10.2167,1.55649
10.2333,1.55808
10.25,1.55968
10.2667,1.56124
10.2833,1.56285
10.3,1.56419
10.3167,1.56565
10.3333,1.56746
10.35,1.56921
10.3667,1.571
10.3833,1.57278
10.4,1.57467
10.4167,1.57635
10.4333,1.57811
10.45,1.58016
10.4667,1.58213
10.4833,1.58466
10.5,1.58737
10.5167,1.58942
10.5333,1.59184
10.55,1.59479
10.5667,1.59756
10.5833,1.60038
10.6,1.60327
10.6167,1.60617
10.6333,1.60905
10.65,1.61189
10.6667,1.61469
10.6833,1.61742
10.7,1.61974
10.7167,1.62223
10.7333,1.6251
10.75,1.62769
10.7667,1.62985
10.7833,1.63202
10.8,1.63441
10.8167,1.6365
10.8333,1.63808
10.85,1.64001
10.8667,1.64244
10.8833,1.64455
10.9,1.64617
10.9167,1.64768
10.9333,1.64897
10.95,1.65015
10.9667,1.65152
10.9833,1.65246
11,1.65283
11.0167,1.65277
11.0333,1.65287
11.05,1.6529
11.0667,1.65246
11.0833,1.65169
11.1,1.6498
11.1167,1.64792
11.1333,1.64652
11.15,1.64444
11.1667,1.64202
11.1833,1.63896
11.2,1.63536
11.2167,1.63169
11.2333,1.62775
11.25,1.62309
11.2667,1.61756
11.2833,1.61202
11.3,1.60651
11.3167,1.6001
11.3333,1.59311
11.35,1.58594
11.3667,1.57839
11.3833,1.56985
11.4,1.56098
11.4167,1.55197
