Time,Angular velocity
0,3.15682
0.0166667,3.14725
0.0333333,3.11428
0.05,3.076
0.0666667,3.07142
0.0833333,3.06906
0.1,3.069
0.116667,3.06031
0.133333,3.05687
0.15,3.05259
0.166667,3.0495
0.183333,3.04527
0.2,3.04101
0.216667,3.03743
0.233333,3.03285
0.25,3.02847
0.266667,3.04158
0.283333,3.03831
0.3,3.03408
0.316667,2.93808
0.333333,2.93635
0.35,2.75517
0.366667,2.75736
0.383333,2.75829
0.4,2.7986
0.416667,2.79541
0.433333,2.75404
0.45,2.75071
0.466667,2.74464
0.483333,2.73894
0.5,2.70897
0.516667,2.70256
0.533333,2.6965
0.55,2.67675
0.566667,2.66722
0.583333,2.65635
0.6,2.64553
0.616667,2.63903
0.633333,2.62231
0.65,2.61319
0.666667,2.6037
0.683333,2.52056
0.7,2.51492
0.716667,2.51532
0.733333,2.50853
0.75,2.45309
0.766667,2.43976
0.783333,2.43255
0.8,2.38874
0.816667,2.38089
0.833333,2.36788
0.85,2.3509
0.866667,2.29644
0.883333,2.28951
0.9,2.27621
0.916667,2.26512
0.933333,2.32797
0.95,2.3004
0.966667,2.29117
0.983333,2.29168
1,2.27897
1.01667,2.2662
1.03333,2.2535
1.05,2.2442
1.06667,2.24282
1.08333,2.21727
1.1,2.20644
1.11667,2.18527
1.13333,2.17612
1.15,2.15933
1.16667,2.15086
1.18333,2.14248
1.2,2.13284
1.21667,2.12487
1.23333,1.93869
1.25,1.93169
1.26667,1.92974
1.28333,1.92814
1.3,1.90994
1.31667,1.90732
1.33333,1.9209
1.35,1.89002
1.36667,1.8615
1.38333,1.82157
1.4,1.81238
1.41667,1.80921
1.43333,1.80242
1.45,1.79346
1.46667,1.86488
1.48333,1.84502
1.5,1.84408
1.51667,1.8353
1.53333,1.95302
1.55,1.93406
1.56667,1.91116
1.58333,1.89422
1.6,1.73193
1.61667,1.72029
1.63333,1.71148
1.65,1.69604
1.66667,1.69875
1.68333,1.68193
1.7,1.67548
1.71667,1.67574
1.73333,1.67068
1.75,1.67028
1.76667,1.62771
1.78333,1.40595
1.8,1.44883
1.81667,1.43746
1.83333,1.42127
1.85,1.41613
1.86667,1.41731
1.88333,1.43794
1.9,1.4321
1.91667,1.42253
1.93333,1.41259
1.95,1.40801
1.96667,1.39356
1.98333,1.38501
2,1.37339
2.01667,1.36899
2.03333,1.35447
2.05,1.34725
2.06667,1.33754
2.08333,1.33172
2.1,1.31582
2.11667,1.369
2.13333,1.25802
2.15,1.20578
2.16667,1.21113
2.18333,1.1714
2.2,1.16362
2.21667,1.15759
2.23333,1.14529
2.25,1.13167
2.26667,1.13633
2.28333,1.13063
2.3,1.08191
2.31667,1.07669
2.33333,1.17768
2.35,1.16107
2.36667,1.15313
2.38333,1.14105
2.4,1.13992
2.41667,1.12748
2.43333,1.121
2.45,1.11228
2.46667,1.10338
2.48333,1.08229
2.5,1.09643
2.51667,1.06439
2.53333,1.03174
2.55,1.02123
2.56667,1.00904
2.58333,1.00277
2.6,0.984894
2.61667,0.923232
2.63333,0.903748
2.65,0.890829
2.66667,0.887689
2.68333,0.880494
2.7,0.86795
2.71667,0.887104
2.73333,0.853061
2.75,0.868606
2.76667,0.859908
2.78333,0.849966
2.8,0.865644
2.81667,0.863643
2.83333,0.857346
2.85,0.855887
2.86667,0.853981
2.88333,0.83541
2.9,0.652814
2.91667,0.662536
2.93333,0.646224
2.95,0.644589
2.96667,0.636987
2.98333,0.648211
3,0.651963
3.01667,0.646037
3.03333,0.64882
3.05,0.648293
3.06667,0.642634
3.08333,0.641793
3.1,0.625374
3.11667,0.624783
3.13333,0.617537
3.15,0.613983
3.16667,0.618326
3.18333,0.617812
3.2,0.622139
3.21667,0.615479
3.23333,0.613165
3.25,0.605041
3.26667,0.59439
3.28333,0.594391
3.3,0.585668
3.31667,0.605955
3.33333,0.603577
3.35,0.593446
3.36667,0.594534
3.38333,0.593834
3.4,0.601537
3.41667,0.585859
3.43333,0.590318
3.45,0.585657
3.46667,0.589419
3.48333,0.569303
3.5,0.578386
3.51667,0.610162
3.53333,0.598822
3.55,0.589788
3.56667,0.588459
3.58333,0.56918
3.6,0.511705
3.61667,0.504479
3.63333,0.497142
3.65,0.4899
3.66667,0.527873
3.68333,0.515323
3.7,0.51369
3.71667,0.513165
3.73333,0.512357
3.75,0.512027
3.76667,0.511043
3.78333,0.514826
3.8,0.507913
3.81667,0.509176
3.83333,0.461594
3.85,0.480978
3.86667,0.475011
3.88333,0.459114
3.9,0.463197
3.91667,0.458223
3.93333,0.457684
3.95,0.465599
3.96667,0.456418
3.98333,0.460573
4,0.43855
4.01667,0.445637
4.03333,0.442579
4.05,0.440668
4.06667,0.440552
4.08333,0.44111
4.1,0.446983
4.11667,0.449374
4.13333,0.449162
4.15,0.445808
4.16667,0.44617
4.18333,0.444487
4.2,0.438374
4.21667,0.42412
4.23333,0.425459
4.25,0.425038
4.26667,0.421741
4.28333,0.420701
4.3,0.419708
4.31667,0.418843
4.33333,0.41802
4.35,0.41741
4.36667,0.431455
4.38333,0.434204
4.4,0.426182
4.41667,0.422004
4.43333,0.420125
4.45,0.417583
4.46667,0.416531
4.48333,0.41766
4.5,0.417294
4.51667,0.417292
4.53333,0.417365
4.55,0.418214
4.56667,0.412014
4.58333,0.40101
4.6,0.395124
4.61667,0.404332
4.63333,0.403418
4.65,0.40626
4.66667,0.409434
4.68333,0.418254
4.7,0.431858
4.71667,0.441062
4.73333,0.441066
4.75,0.441103
4.76667,0.443697
4.78333,0.441746
4.8,0.443397
4.81667,0.44295
4.83333,0.438537
4.85,0.437614
4.86667,0.43256
4.88333,0.426681
4.9,0.431305
4.91667,0.433046
4.93333,0.433686
4.95,0.438755
4.96667,0.439056
4.98333,0.442968
5,0.45551
5.01667,0.457864
5.03333,0.456219
5.05,0.469975
5.06667,0.476378
5.08333,0.472094
5.1,0.467044
5.11667,0.457268
5.13333,0.455378
5.15,0.462479
5.16667,0.462764
5.18333,0.457463
5.2,0.452754
5.21667,0.46662
5.23333,0.462472
5.25,0.467443
5.26667,0.470665
5.28333,0.465784
