Time,x_CM,y_CM,omega,theta
1.2,-1.78999,1.80014,2.13284,3.1567484660384992
4.4,-2.01746,1.50786,0.426182,6.285364159438499
11.9167,-2.04915,1.5498,0.477573,9.431959262233514
20.1167,-2.05083,1.50942,0.358372,12.570301884783508
27.6833,-2.05568,1.55215,0.359918,15.7100106196035
34.6,-1.98996,1.54629,0.458695,18.8556179128035
45.4,-1.94438,1.53653,-0.445077,17.278131513281508
52.3667,-1.96968,1.51406,-0.325703,14.134477001231495
59.3,-1.98974,1.50549,-0.622157,10.993254947631495
65.0333,-1.97437,1.50872,-0.333771,7.848748020281507
71.8667,-1.98155,1.50724,-0.440519,4.710744884631513
78.3,-1.93878,1.54421,-0.497596,1.566457328031517
84.6167,-1.94779,1.50996,-0.243776,-1.5714792198184828
91.6333,-1.97221,1.51188,-0.378697,-4.713451400318492
98.35,-1.94683,1.50995,-0.261533,-7.857001420468488
105.533,-1.93859,1.53159,-0.432653,-10.99688736461849
111.717,-1.95981,1.50786,-0.429636,-14.141828840618482
119.7,-2.02242,1.50523,-0.109089,-17.280062396518485
125.4,-1.98594,1.55141,0.465402,-15.703581341452466
132.5,-2.08253,1.53892,0.32659,-12.561904337452482
140.0,-2.07297,1.52036,0.255755,-9.423033476952481
147.467,-2.05437,1.53928,0.63206,-6.275086502952479
152.667,-2.06981,1.53438,0.438467,-3.1349448454524844
159.767,-2.01843,1.54912,0.535872,0.006340534547512365
167.383,-2.01842,1.54621,0.485619,3.146915272547517
178.217,-1.98771,1.50662,-0.427464,1.5700882862425003
