Time,Position (y)
0,1.50561
0.0166667,1.51056
0.0333333,1.51496
0.05,1.5222
0.0666667,1.5309
0.0833333,1.5387
0.1,1.54604
0.116667,1.55288
0.133333,1.55938
0.15,1.5653
0.166667,1.57063
0.183333,1.57515
0.2,1.57908
0.216667,1.58229
0.233333,1.58473
0.25,1.58655
0.266667,1.59078
0.283333,1.5972
0.3,1.60279
0.316667,1.61093
0.333333,1.62135
0.35,1.63354
0.366667,1.64711
0.383333,1.6588
0.4,1.67137
0.416667,1.68496
0.433333,1.69859
0.45,1.71264
0.466667,1.72599
0.483333,1.73862
0.5,1.75108
0.516667,1.76326
0.533333,1.77442
0.55,1.78481
0.566667,1.79439
0.583333,1.80283
0.6,1.81007
0.616667,1.81591
0.633333,1.82039
0.65,1.82355
0.666667,1.82517
0.683333,1.82767
0.7,1.83074
0.716667,1.83155
0.733333,1.83022
0.75,1.83728
0.766667,1.85271
0.783333,1.86709
0.8,1.88025
0.816667,1.89118
0.833333,1.90051
0.85,1.90824
0.866667,1.91406
0.883333,1.91797
0.9,1.92013
0.916667,1.9205
0.933333,1.91904
0.95,1.91579
0.966667,1.91028
0.983333,1.90844
1,1.9104
1.01667,1.9104
1.03333,1.90853
1.05,1.90459
1.06667,1.89841
1.08333,1.89009
1.1,1.88004
1.11667,1.86828
1.13333,1.8545
1.15,1.84177
1.16667,1.82993
1.18333,1.81582
1.2,1.79985
1.21667,1.78208
1.23333,1.77809
1.25,1.78912
1.26667,1.79899
1.28333,1.80614
1.3,1.81174
1.31667,1.81579
1.33333,1.81722
1.35,1.81626
1.36667,1.81344
1.38333,1.80851
1.4,1.80141
1.41667,1.79213
1.43333,1.78068
1.45,1.7673
1.46667,1.75885
1.48333,1.75547
1.5,1.75031
1.51667,1.74321
1.53333,1.73622
1.55,1.72981
1.56667,1.72157
1.58333,1.7167
1.6,1.71513
1.61667,1.71095
1.63333,1.70443
1.65,1.69589
1.66667,1.68858
1.68333,1.68251
1.7,1.67409
1.71667,1.66354
1.73333,1.65182
1.75,1.6391
1.76667,1.62516
1.78333,1.61596
1.8,1.62054
1.81667,1.63256
1.83333,1.64268
1.85,1.65154
1.86667,1.65929
1.88333,1.66717
1.9,1.67524
1.91667,1.68187
1.93333,1.6868
1.95,1.69063
1.96667,1.69353
1.98333,1.69543
2,1.69652
2.01667,1.69619
2.03333,1.69843
2.05,1.70344
2.06667,1.7072
2.08333,1.71174
2.1,1.71697
2.11667,1.72038
2.13333,1.72241
2.15,1.72317
2.16667,1.7219
2.18333,1.71953
2.2,1.71684
2.21667,1.71288
2.23333,1.7073
2.25,1.70069
2.26667,1.69281
2.28333,1.68346
2.3,1.67282
2.31667,1.66482
2.33333,1.65971
2.35,1.6531
2.36667,1.64488
2.38333,1.64028
2.4,1.63911
2.41667,1.63646
2.43333,1.63227
2.45,1.62656
2.46667,1.61934
2.48333,1.61066
2.5,1.60049
2.51667,1.58883
2.53333,1.57587
2.55,1.56124
2.56667,1.55613
2.58333,1.56373
2.6,1.57281
2.61667,1.58051
2.63333,1.58656
2.65,1.59099
2.66667,1.59407
2.68333,1.59736
2.7,1.60093
2.71667,1.60316
2.73333,1.6048
2.75,1.60599
2.76667,1.60634
2.78333,1.60619
2.8,1.60509
2.81667,1.60344
2.83333,1.60159
2.85,1.59924
2.86667,1.59634
2.88333,1.59344
2.9,1.59033
2.91667,1.58634
2.93333,1.58126
2.95,1.57584
2.96667,1.57668
2.98333,1.58255
3,1.5879
3.01667,1.59269
3.03333,1.59668
3.05,1.59988
3.06667,1.60236
3.08333,1.60433
3.1,1.60544
3.11667,1.60585
3.13333,1.6056
3.15,1.60465
3.16667,1.60299
3.18333,1.60373
3.2,1.60687
3.21667,1.60927
3.23333,1.61091
3.25,1.61185
3.26667,1.61208
3.28333,1.61155
3.3,1.61201
3.31667,1.61345
3.33333,1.61411
3.35,1.61399
3.36667,1.61415
3.38333,1.61455
3.4,1.61412
3.41667,1.61382
3.43333,1.6138
3.45,1.6134
3.46667,1.61277
3.48333,1.61201
3.5,1.6108
3.51667,1.60922
3.53333,1.608
3.55,1.60692
3.56667,1.60525
3.58333,1.60344
3.6,1.60141
3.61667,1.59929
3.63333,1.59855
3.65,1.59834
3.66667,1.59729
3.68333,1.59583
3.7,1.59428
3.71667,1.59293
3.73333,1.59158
3.75,1.58983
3.76667,1.58779
3.78333,1.5855
3.8,1.5827
3.81667,1.57948
3.83333,1.57654
3.85,1.57363
3.86667,1.57029
3.88333,1.56876
3.9,1.5692
3.91667,1.56914
