Time,Position (x)
0,-2.00803
0.0166667,-1.99126
0.0333333,-1.97253
0.05,-1.95533
0.0666667,-1.94177
0.0833333,-1.9287
0.1,-1.91609
0.116667,-1.90394
0.133333,-1.89214
0.15,-1.88073
0.166667,-1.86969
0.183333,-1.85901
0.2,-1.84865
0.216667,-1.83858
0.233333,-1.82875
0.25,-1.81913
0.266667,-1.80893
0.283333,-1.79813
0.3,-1.78753
0.316667,-1.77826
0.333333,-1.77022
0.35,-1.75667
0.366667,-1.73779
0.383333,-1.71926
0.4,-1.70326
0.416667,-1.6898
0.433333,-1.67753
0.45,-1.66676
0.466667,-1.65698
0.483333,-1.64817
0.5,-1.6409
0.516667,-1.63518
0.533333,-1.63044
0.55,-1.627
0.566667,-1.62494
0.583333,-1.62402
0.6,-1.62423
0.616667,-1.62543
0.633333,-1.62773
0.65,-1.63121
0.666667,-1.63564
0.683333,-1.64021
0.7,-1.64471
0.716667,-1.65003
0.733333,-1.65644
0.75,-1.65611
0.766667,-1.64898
0.783333,-1.64257
0.8,-1.63679
0.816667,-1.63159
0.833333,-1.62693
0.85,-1.62294
0.866667,-1.61957
0.883333,-1.61676
0.9,-1.61463
0.916667,-1.61301
0.933333,-1.61437
0.95,-1.6188
0.966667,-1.62378
0.983333,-1.63066
1,-1.63946
1.01667,-1.64879
1.03333,-1.65865
1.05,-1.6689
1.06667,-1.67957
1.08333,-1.69084
1.1,-1.70251
1.11667,-1.71439
1.13333,-1.72701
1.15,-1.74127
1.16667,-1.75654
1.18333,-1.77213
1.2,-1.78845
1.21667,-1.80527
1.23333,-1.80767
1.25,-1.79612
1.26667,-1.78516
1.28333,-1.7742
1.3,-1.76373
1.31667,-1.75375
1.33333,-1.74666
1.35,-1.74287
1.36667,-1.7395
1.38333,-1.73628
1.4,-1.73329
1.41667,-1.73049
1.43333,-1.72788
1.45,-1.7255
1.46667,-1.72166
1.48333,-1.71633
1.5,-1.71195
1.51667,-1.70856
1.53333,-1.70535
1.55,-1.70609
1.56667,-1.71121
1.58333,-1.71692
1.6,-1.72289
1.61667,-1.72899
1.63333,-1.73523
1.65,-1.74221
