Time,Angular velocity
0,3.15682
0.0166667,3.14725
0.0333333,3.11428
0.05,3.076
0.0666667,3.07142
0.0833333,3.06906
0.1,3.069
0.116667,3.06031
0.133333,3.05687
0.15,3.05259
0.166667,3.0495
0.183333,3.04527
0.2,3.04101
0.216667,3.03743
0.233333,3.03285
0.25,3.02847
0.266667,3.04158
0.283333,3.03831
0.3,3.03408
0.316667,2.93808
0.333333,2.93635
0.35,2.75517
0.366667,2.75736
0.383333,2.75829
0.4,2.7986
0.416667,2.79541
0.433333,2.75404
0.45,2.75071
0.466667,2.74464
0.483333,2.73894
0.5,2.70897
0.516667,2.70256
0.533333,2.6965
0.55,2.67675
0.566667,2.66722
0.583333,2.65635
0.6,2.64553
0.616667,2.63903
0.633333,2.62231
0.65,2.61319
0.666667,2.6037
0.683333,2.51925
0.7,2.51612
0.716667,2.51763
0.733333,2.51136
0.75,2.45513
0.766667,2.44725
0.783333,2.41248
0.8,2.40881
0.816667,2.37089
0.833333,2.34682
0.85,2.34228
0.866667,2.29261
0.883333,2.28558
0.9,2.25054
0.916667,2.23733
0.933333,2.28764
0.95,2.27615
0.966667,2.26995
0.983333,2.26539
1,2.25797
1.01667,2.25398
1.03333,2.24488
1.05,2.23438
1.06667,2.22175
1.08333,2.21811
1.1,2.19465
1.11667,2.17807
1.13333,2.17038
1.15,2.15039
1.16667,2.14002
1.18333,2.13598
1.2,2.12241
1.21667,2.11096
1.23333,1.93555
1.25,1.93448
1.26667,1.92486
1.28333,1.92305
1.3,1.90689
1.31667,1.90495
1.33333,1.90352
1.35,1.94139
1.36667,1.93808
1.38333,1.93346
1.4,1.92635
1.41667,1.93186
1.43333,1.93075
1.45,1.91681
1.46667,1.90826
1.48333,1.9016
1.5,1.89452
1.51667,1.87505
1.53333,2.02301
1.55,1.8405
1.56667,1.82411
1.58333,1.81635
1.6,1.78309
1.61667,1.74442
1.63333,1.71926
1.65,1.68058
1.66667,1.66487
1.68333,1.66596
1.7,1.66288
1.71667,1.66683
1.73333,1.66683
1.75,1.66697
1.76667,1.58371
1.78333,1.37206
1.8,1.37259
1.81667,1.5111
1.83333,1.51572
1.85,1.52291
1.86667,1.52539
1.88333,1.56656
1.9,1.56393
1.91667,1.50471
1.93333,1.50244
1.95,1.49567
1.96667,1.49039
1.98333,1.48829
2,1.45779
2.01667,1.42351
2.03333,1.4177
2.05,1.4136
2.06667,1.39565
2.08333,1.44791
2.1,1.43576
2.11667,1.34905
2.13333,1.35381
2.15,1.34595
2.16667,1.32812
2.18333,1.31577
2.2,1.30825
2.21667,1.29873
2.23333,1.28992
2.25,1.25548
2.26667,1.25088
2.28333,1.24892
2.3,1.2432
2.31667,1.24748
2.33333,1.23789
2.35,1.33804
2.36667,1.33606
2.38333,1.33954
2.4,1.3304
2.41667,1.32219
2.43333,1.31339
2.45,1.29988
2.46667,1.28728
2.48333,1.28252
2.5,1.27186
2.51667,1.27264
2.53333,1.26308
2.55,1.28037
2.56667,1.28025
2.58333,1.27454
2.6,1.26611
2.61667,1.23754
2.63333,1.24203
2.65,1.2346
2.66667,1.22676
2.68333,1.20837
2.7,1.20901
2.71667,1.20558
2.73333,1.18232
2.75,1.18527
2.76667,1.16816
2.78333,1.14965
2.8,1.15314
2.81667,1.14533
2.83333,0.944803
2.85,0.970257
2.86667,0.951105
2.88333,0.949372
2.9,0.98814
2.91667,0.98134
2.93333,1.01004
2.95,1.00032
2.96667,0.996981
2.98333,1.03288
3,1.03842
3.01667,1.04119
3.03333,1.04759
3.05,1.03106
3.06667,1.03
3.08333,1.0275
3.1,1.02447
3.11667,1.02125
3.13333,1.02272
3.15,1.02746
3.16667,1.01406
3.18333,0.999803
3.2,0.988654
3.21667,0.98378
3.23333,0.980794
3.25,0.974057
3.26667,0.902606
3.28333,0.898349
3.3,0.895
3.31667,0.899969
3.33333,0.898953
3.35,0.893627
3.36667,0.892544
3.38333,0.886723
3.4,0.885295
3.41667,0.8819
3.43333,0.848254
3.45,0.868767
3.46667,0.856731
3.48333,0.849081
3.5,0.833218
3.51667,0.851512
3.53333,0.837301
3.55,0.826332
3.56667,0.834028
3.58333,0.822465
3.6,0.822406
3.61667,0.817771
3.63333,0.808563
3.65,0.810987
3.66667,0.815073
3.68333,0.822385
3.7,0.818652
3.71667,0.815236
3.73333,0.812311
3.75,0.812876
3.76667,0.811644
3.78333,0.798554
3.8,0.796082
3.81667,0.793799
3.83333,0.787889
3.85,0.79336
3.86667,0.795215
3.88333,0.811049
3.9,0.808764
3.91667,0.805594
3.93333,0.801192
3.95,0.802232
3.96667,0.801699
3.98333,0.802519
4,0.79631
4.01667,0.806146
4.03333,0.80271
4.05,0.798524
4.06667,0.798725
4.08333,0.752354
4.1,0.767776
4.11667,0.764554
4.13333,0.761197
4.15,0.754801
4.16667,0.76034
4.18333,0.759834
4.2,0.761795
4.21667,0.752957
4.23333,0.625375
4.25,0.61497
4.26667,0.612942
4.28333,0.604695
4.3,0.62306
4.31667,0.634008
4.33333,0.635518
4.35,0.642165
4.36667,0.646516
4.38333,0.646939
4.4,0.675117
4.41667,0.677251
4.43333,0.679359
4.45,0.680194
4.46667,0.673583
4.48333,0.670003
4.5,0.655644
4.51667,0.648771
4.53333,0.655784
4.55,0.670863
4.56667,0.677306
4.58333,0.676658
4.6,0.680878
4.61667,0.702782
4.63333,0.699536
4.65,0.712613
4.66667,0.718406
4.68333,0.722931
4.7,0.726731
4.71667,0.729545
4.73333,0.731563
4.75,0.733447
4.76667,0.735375
4.78333,0.737395
4.8,0.738186
4.81667,0.741664
4.83333,0.763
4.85,0.75074
4.86667,0.747768
4.88333,0.747873
4.9,0.749487
4.91667,0.754905
4.93333,0.758357
4.95,0.763666
4.96667,0.779673
4.98333,0.77385
5,0.771766
5.01667,0.770916
5.03333,0.773036
5.05,0.776746
5.06667,0.772972
5.08333,0.772501
5.1,0.782536
5.11667,0.676262
5.13333,0.68005
5.15,0.681515
5.16667,0.69328
5.18333,0.695351
5.2,0.701168
5.21667,0.692982
5.23333,0.69597
5.25,0.699393
5.26667,0.694128
5.28333,0.699905
